country,gdp,agriculture,service,industry,inflation
B,197000.0,2.0,28.0,70.0,1.6
По,49200.0,21.0,49.0,30.0,244.0
Чешская Республика,106200.0,5.8,40.7,53.5,9.1
"Добро пожаловать в наш чат-бот! Я с радостью помогу вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я постараюсь дать точный и естественный перевод.",1452200.0,1.0,34.2,64.8,
"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время. Я могу перевести для вас текст с английского на русский язык. Как я могу вам помочь сегодня?",565000.0,3.6,33.6,62.8,4.3
"Добро пожаловать в Coral, искусственный интеллект, который поможет вам с переводом. Я могу помочь перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который нужно перевести.",1173000.0,2.4,26.5,71.1,1.7
Хорошо,1138400.0,1.7,27.7,70.6,3.1
ГР,101700.0,11.8,22.2,66.0,8.1
"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст для перевода.",72500.0,7.3,37.5,55.2,28.3
я,1088600.0,2.9,31.6,65.5,5.4
"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",301900.0,3.4,26.9,69.7,2.25
ПЛ,226700.0,7.0,38.0,55.0,21.6
"Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",796000.0,6.0,41.0,53.0,7.0
Р,105700.0,19.6,36.3,44.1,25.0
Тр,345700.0,15.5,33.2,51.3,94.0
УА,174600.0,31.0,43.0,26.0,9.0
ВГ,1100.0,27.0,15.0,58.0,1.7
АЛ,4100.0,55.0,,,16.0
МНТС,29.0,1.2,23.1,75.7,2.6
SF,92400.0,4.6,28.0,67.4,2.0
РП,179700.0,22.0,30.0,48.0,8.1
