sea,country,province
Тихоокеанский океан,ТO,Тонга
Средиземное море,ГР,Ионийские острова
Бангла-Бей,БД,Бангладеш
Море Сулавеси,Ри,Индонезия
Карибское море,ПА,Колон
Индийский океан,Австралийский союз,Виктория
Тихоокеанский океан,США,Вашингтон
Норвежское море,Да,Финнмарк
Тихоокеанский океан,МЕХ,Баха-Калифорния-Сюр
Канал,Хорошо,Вест-Сассекс
Тихоокеанский океан,Здравствуйте! Как я могу вам помочь?,Ибараки
Норвежское море,Хорошо,Шетланд
Средиземное море,ET,Ель-Искандария
Балтийское море,"Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Лeningрадская область
Красный море,ET,Океан
Мεξиканское залив,С,Гавана
Тихоокеанский океан,Здравствуйте! Как я могу вам помочь?,Чиба
Северное море,Хорошо,Кент
Море Азовское,"Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Ростовская область
Атлантический океан,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время. Я могу перевести для вас текст с английского на русский язык. Как я могу вам помочь сегодня?",Канарские острова
Море Японии,"Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Сахалинская область
Оманский залив,ПК,Пакистан
Тихоокеанский океан,Ри,Индонезия
Атлантический океан,Анг,Заир
Атлантический океан,Спи,Сан-Пьер и Микелон
Тихоокеанское море,Тут,Восточного Тимора
Море Японии,Здравствуйте! Как я могу вам помочь?,Тоттори
Чёрное море,УА,Николаевская
Тихоокеанский океан,ПЕ,Ариста
Северное море,Да,Хордаланд
Карибское море,МЕХ,Куэнтана-Роо
Карибское море,ХСА,Спасибо Богу
Норвежское море,ИС,Исландия
Тихоокеанский океан,МЕХ,Герреро
Море Японии,Здравствуйте! Как я могу вам помочь?,Хёго
Охотское море,"Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Камчатский край
Атлантический океан,С,Святого Духа
Восточное море,ТЖ,Зхэцзян
Бангла-Бей,КЛ,Шри-Ланка
Атлантический океан,Бр,Рио-Гранде-ду-Сул
Скагерак,ДК,Дания
Андаманское море,МЯ,Янгон
Атлантический океан,П,Лиссабон
Море Японии,Рок,Южная Корея
Атлантический океан,США,Нью-Джерси
Атлантический океан,ВЛ,Сент-Люсия
Атлантический океан,БВИР,Британские Виргинские острова
Тихоокеанский океан,ПЕ,Пять
Средиземное море,ГР,Нотион Айяион
Персидский залив,ЕАЭ,Рас-al-Хайма
Море Японии,Здравствуйте! Как я могу вам помочь?,Ямагата
Средиземное море,HR,Хорватия
Средиземное море,Тр,Айдин
Средиземное море,ET,Ель-Дакахлийя
Северное море,Хорошо,Грань
Атлантический океан,Гей,Гайана
Тихоокеанский океан,МВ,Мальдивы
Тихоокеанский океан,Здравствуйте! Как я могу вам помочь?,Аиити
Канал,Хорошо,Гэмпшир
Ирландское море,В реальной жизни,Ирландия
Тихоокеанский океан,МЕХ,Сонора
Бангла-Бей,Необходим перевод?,Орисса
Атлантический океан,П,Алгарве
Средиземное море,Я,Тель-Авив
Море Японии,Здравствуйте! Как я могу вам помочь?,Шимане
Средиземное море,МНЕ,Черногория
Скагерак,Да,Оестфолд
Северное море,Да,Телемарк
Атлантический океан,GBZ,Гибралтар
Средиземное море,я,Абруццо
Атлантический океан,Р А,Рио-Негро
Море Японии,Здравствуйте! Как я могу вам помочь?,Ишикава
Атлантический океан,США,Северная Каролина
Атлантический океан,GНБ,Гвинея-Бисау
Средиземное море,"Добро пожаловать в Coral, искусственный интеллект, который поможет вам с переводом. Я могу помочь перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который нужно перевести.",Лангедок-Руссильон
Чёрное море,ГЕ,Грузия
Средиземное море,GBZ,Гибралтар
Тихоокеанский океан,Здравствуйте! Как я могу вам помочь?,Кочи
Атлантический океан,Осьа,Ангилья
