country,continent,percentage
А,Европа,100.0
АЛ,Европа,100.0
И,Европа,100.0
B,Европа,100.0
"Извините, но я не понимаю ваш запрос. Можете ли вы уточнить, что именно вам нужно?",Европа,100.0
БиХ,Европа,100.0
По,Европа,100.0
ЧХ,Европа,100.0
Да,Европа,100.0
Чешская Республика,Европа,100.0
"Добро пожаловать в наш чат-бот! Я с радостью помогу вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я постараюсь дать точный и естественный перевод.",Европа,100.0
ДК,Европа,100.0
"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время. Я могу перевести для вас текст с английского на русский язык. Как я могу вам помочь сегодня?",Европа,100.0
ОК,Европа,100.0
"Добро пожаловать в Coral, искусственный интеллект, который поможет вам с переводом. Я могу помочь перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который нужно перевести.",Европа,100.0
Фаркс,Европа,100.0
ФЛ,Европа,100.0
Хорошо,Европа,100.0
ГБГ,Европа,100.0
ГБДЖ,Европа,100.0
GMK,Европа,100.0
GBZ,Европа,100.0
ГР,Европа,100.0
"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст для перевода.",Европа,100.0
HR,Европа,100.0
я,Европа,100.0
В реальной жизни,Европа,100.0
ИС,Европа,100.0
КОС,Европа,100.0
"Hello, how are you? I can translate for you, but please provide me with some text or context to work with.",Европа,100.0
"Извините, но я не понимаю ваш запрос. Можете ли вы уточнить, что именно вы хотите перевести?",Европа,100.0
LV,Европа,100.0
"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время! Я могу переводить тексты с английского на русский язык и наоборот. Просто дайте мне текст, который нужно перевести, и я сделаю это для вас!",Европа,100.0
МЧ,Европа,100.0
МД,Европа,100.0
МК,Европа,100.0
МНЕ,Европа,100.0
Да,Европа,100.0
"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Европа,100.0
П,Европа,100.0
ПЛ,Европа,100.0
"Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Европа,20.0
Р,Европа,100.0
СМР,Европа,100.0
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Европа,100.0
SF,Европа,100.0
"Скажите, пожалуйста, что вы хотите перевести?",Европа,100.0
SLO,Европа,100.0
SRB,Европа,100.0
СВАЗ,Европа,100.0
Тр,Европа,5.0
УА,Европа,100.0
В,Европа,100.0
Анг,Африка,100.0
Ком,Африка,100.0
ВГ,Америка,100.0
Воссоединение,Австралия/Океания,100.0
ET,Африка,90.0
РВА,Африка,100.0
БЕН,Африка,100.0
НЕП,Азия,100.0
Гей,Америка,100.0
Лаос,Азия,100.0
WD,Америка,100.0
КВТ,Азия,100.0
COК,Австралия/Океания,100.0
Макс,Азия,100.0
KGZ,Азия,100.0
СГП,Азия,100.0
Фиджи,Австралия/Океания,100.0
ЛС,Африка,100.0
ПИТЦ,Австралия/Океания,100.0
НУ,Австралия/Океания,100.0
