coachid,award,year,lgid,note
irvindi01c,First Team All-Star,1945,NHL,
patrile01c,First Team All-Star,1930,NHL,
demerja01c,Jack Adams,1987,NHL,
irvindi01c,First Team All-Star,1943,NHL,
bylsmda01c,Jack Adams,2010,NHL,
thomppa01c,Second Team All-Star,1941,NHL,
bouchfr01c,First Team All-Star,1941,NHL,
dineebi01c,Schmertz,1976,WHA,
huculsa01c,Schmertz,1974,WHA,
kelleja01c,Baldwin,1972,WHA,
dayha01c,Second Team All-Star,1943,NHL,
bowmasc01c,Jack Adams,1976,NHL,
sherofr01c,Jack Adams,1973,NHL,
duttore01c,Second Team All-Star,1938,NHL,
cherrdo01c,Jack Adams,1975,NHL,
brophjo01c,Schmertz,1978,WHA,
juliecl01c,Jack Adams,2008,NHL,
boudrbr01c,Jack Adams,2007,NHL,
krommbo01c,Jack Adams,1977,NHL,
burnspa01c,Jack Adams,1992,NHL,
rossar01c,Second Team All-Star,1937,NHL,
hitchke01c,Jack Adams,2011,NHL,
suttebr01c,Jack Adams,1990,NHL,
sathegl01c,Jack Adams,1985,NHL,
patrile01c,First Team All-Star,1931,NHL,
lemaija01c,Jack Adams,1993,NHL,
vigneal01c,Jack Adams,2006,NHL,
tippeda01c,Jack Adams,2009,NHL,
nolante01c,Jack Adams,1996,NHL,
bouchfr01c,Second Team All-Star,1939,NHL,
rossar01c,Second Team All-Star,1942,NHL,
berenre01c,Jack Adams,1980,NHL,
patrile01c,First Team All-Star,1933,NHL,
irvindi01c,Second Team All-Star,1934,NHL,
weilaco01c,First Team All-Star,1940,NHL,
bowmasc01c,Jack Adams,1995,NHL,
rossar01c,First Team All-Star,1938,NHL,
irvindi01c,Second Team All-Star,1931,NHL,
gormato01c,Second Team All-Star,1935,NHL,
tortojo01c,Jack Adams,2003,NHL,
francbo01c,Jack Adams,2001,NHL,
burnspa01c,Jack Adams,1997,NHL,
tessior01c,Jack Adams,1982,NHL,
quinnpa01c,Jack Adams,1991,NHL,
hartce01c,Second Team All-Star,1936,NHL,
patrile01c,First Team All-Star,1937,NHL,
lemaija01c,Jack Adams,2002,NHL,
gottsjo01c,Second Team All-Star,1945,NHL,
patrile01c,First Team All-Star,1932,NHL,
irvindi01c,First Team All-Star,1944,NHL,
irvindi01c,Second Team All-Star,1932,NHL,
quinnpa01c,Jack Adams,1979,NHL,
arboual01c,Jack Adams,1978,NHL,
irvindi01c,Second Team All-Star,1930,NHL,
barbebi01c,Jack Adams,2000,NHL,
martija02c,Jack Adams,1998,NHL,
wattto01c,Jack Adams,1981,NHL,
murrabr01c,Jack Adams,1983,NHL,
demerja01c,Jack Adams,1986,NHL,
thomppa01c,First Team All-Star,1939,NHL,
ruffli01c,Jack Adams,2005,NHL,
adamsja01c,Second Team All-Star,1944,NHL,
irvindi01c,Second Team All-Star,1933,NHL,
burnspa01c,Jack Adams,1988,NHL,
adamsja01c,First Team All-Star,1936,NHL,
irvindi01c,Second Team All-Star,1940,NHL,
crawfma01c,Jack Adams,1994,NHL,
keenami01c,Jack Adams,1984,NHL,
krommbo01c,Schmertz,1975,WHA,
adamsja01c,First Team All-Star,1942,NHL,
harribi01c,Baldwin,1973,WHA,
dineebi01c,Schmertz,1977,WHA,
patrile01c,First Team All-Star,1935,NHL,
pulfobo01c,Jack Adams,1974,NHL,
murdobo01c,Jack Adams,1989,NHL,
patrile01c,First Team All-Star,1934,NHL,
