targetid,raceid,driverid,win
1402,80,11,0
1599,89,22,0
1614,89,30,0
4335,194,35,0
5369,239,55,0
6893,292,123,0
6896,292,122,0
10679,208,64,0
10684,208,63,0
10815,214,56,0
11231,184,44,0
11689,155,14,0
11805,126,21,0
12262,116,2,0
12611,99,17,0
12914,58,8,0
13160,68,26,0
13903,49,2,0
17235,310,117,0
17774,5,10,0
18037,12,69,0
18354,361,127,0
18706,369,129,0
18709,369,112,0
19893,402,158,0
20093,409,160,0
20324,416,145,0
22091,467,172,0
22125,468,158,0
29863,17,18,0
43242,834,789,0
43298,835,795,0
43305,835,732,0
43752,827,675,0
44444,822,509,0
44835,810,593,0
44973,812,655,0
45138,814,664,0
45223,815,555,0
46212,795,475,0
46617,787,586,0
46716,788,525,0
47128,779,514,0
48476,732,455,0
48596,735,364,0
49829,749,513,0
49981,751,522,0
50009,752,477,0
50050,752,516,0
50236,754,541,0
51736,803,478,0
52068,807,526,0
52933,659,304,0
52937,659,262,0
53803,675,365,0
53867,677,374,0
54998,612,293,0
55025,613,331,0
56565,562,187,0
57157,527,223,0
57664,541,197,0
57699,542,207,0
57782,544,253,0
57951,549,212,0
58103,553,254,0
58829,524,206,0
59018,501,222,0
62058,758,512,0
62101,759,347,0
63359,719,435,0
64504,847,20,0
64741,854,4,0
65908,896,3,0
66393,267,108,0
66982,916,820,0
68084,966,838,0
