resultid,raceid,driverid,constructorid,number,grid,position,positiontext,positionorder,points,laps,time,milliseconds,fastestlap,rank,fastestlaptime,fastestlapspeed,statusid
188,26,14,9,9,11,,Р,20,0.0,0,,,,,,,4
2134,120,35,16,16,16,,Р,20,0.0,14,,,,,,,9
2292,128,15,4,14,9,10.0,10,10,0.0,63,,,,,,,5
2802,152,21,22,7,17,4.0,4,4,3.0,45,+1:03.477,4761350.0,,,,,1
5447,268,84,1,8,15,5.0,5,5,2.0,53,"+1:25,575",4768775.0,,,,,1
5489,269,109,22,5,14,,Р,19,0.0,60,,,,,,,20
5495,269,79,25,3,6,,Р,25,0.0,26,,,,,,,6
6873,316,105,29,9,0,,F,27,0.0,0,,,,,,,81
7013,321,55,25,4,4,2.0,2,2,6.0,72,+8.685,6761514.0,,,,,1
8042,360,102,1,1,1,,Р,15,0.0,44,,,,,,,10
8113,362,137,32,11,20,8.0,8,8,0.0,78,,,,,,,12
8625,376,110,48,22,12,9.0,9,9,0.0,66,,,,,,,60
8872,384,159,18,24,19,8.0,8,8,0.0,68,,,,,,,12
10025,428,117,1,2,3,2.0,2,2,6.0,67,+11.661,5742998.0,,,,,1
10348,440,84,25,3,23,,D,14,0.0,76,,,,,,,2
11685,487,177,56,20,11,,Р,21,0.0,10,,,,,,,6
12086,501,163,4,16,2,9.0,9,9,0.0,78,,,,,,,12
12126,502,217,34,6,22,,Р,22,0.0,5,,,,,,,6
12947,532,231,1,7,6,,Р,23,0.0,0,,,,,,,3
13059,536,206,57,22,15,,Р,20,0.0,30,,,,,,,36
14917,603,278,66,15,25,,Н,17,0.0,70,,,,,,,62
14960,604,306,66,14,0,,F,30,0.0,0,,,,,,,81
16640,680,341,11,7,3,,Р,10,0.0,32,,,,,,,5
16716,684,328,66,3,12,,Р,17,0.0,20,,,,,,,7
16718,684,346,167,17,18,,Р,19,0.0,10,,,,,,,5
16839,691,389,167,22,12,,Н,6,0.0,24,,,,,,,62
17491,723,289,66,1,3,3.0,3,3,4.0,82,+37.6,8087200.0,,,,,1
19015,790,506,105,21,11,,D,6,0.0,20,,,,,,,2
19231,799,496,105,36,9,,W,18,0.0,0,,,,,,,54
19234,800,658,113,2,1,3.0,3,3,5.0,200,"+1:19,73",13837000.0,,,,,1
19424,808,689,87,20,12,9.0,9,9,0.0,87,,,,,,,88
20108,836,589,105,26,16,9.0,9,9,0.0,39,,,,,,,13
20328,337,30,131,3,7,6.0,6,6,8.0,49,+44.163,6004559.0,45.0,11.0,2:00.204,188.649,1
20441,341,811,164,21,21,,Р,23,0.0,0,,,,,,,3
20575,347,807,3,10,10,13.0,13,13,0.0,66,,,61.0,11.0,1:16.836,214.305,11
22219,904,3,131,6,2,2.0,2,2,18.0,66,"+0,636",6065791.0,51.0,2.0,1:29.236,187.794,1
22334,909,807,10,27,9,7.0,7,7,6.0,67,+1:04.178,5687092.0,44.0,13.0,1:22.098,200.57,1
22543,926,817,9,3,6,6.0,6,6,8.0,57,,,46.0,10.0,1:32.797,205.726,11
23124,957,826,5,26,15,10.0,10,10,1.0,52,+1:32 600,5788431.0,35.0,13.0,1:37.667,217.141,1
