constructorresultsid,raceid,constructorid,points,status
135,31,5,10.0,
139,31,6,3.0,
318,48,6,6.0,
326,48,5,0.0,
405,56,6,15.0,
412,56,5,0.0,
526,67,6,10.0,
534,67,5,0.0,
601,74,6,8.0,
608,74,18,0.0,
714,85,6,0.0,
717,85,18,0.0,
788,93,6,13.0,
796,93,18,0.0,
898,104,6,18.0,
907,104,18,0.0,
968,111,6,16.0,
977,111,18,0.0,
1068,121,6,16.0,
1076,121,18,0.0,
1131,127,6,16.0,
1137,127,18,0.0,
1250,138,6,16.0,
1258,138,18,0.0,
1315,144,6,4.0,
1322,144,22,0.0,
1323,144,18,0.0,
1435,155,6,9.0,
1440,155,22,0.0,
1442,155,18,0.0,
