statusid,status
1,Завершено
2,Дисквалифицированные
3,Несчастный случай
4,Столкновение
7,Передача
8,Сцепление
11,+1 лап
12,+2 лапы
13,+3 лапы
17,+7 лапы
18,+8 лапы
19,+9 лап
21,Радиатор
22,Приостановление действия
23,Тормозные системы
26,Механическая
28,Сиденье водителя
29,Прокол
30,Водитель
31,Выбыли в отставку
32,Давление топлива
34,Давление воды
35,Заправка топливом
37,Дроссельная заслонка
38,Рулевое управление
39,Технические вопросы
41,Разбитое крыло
44,Утечка нефти
47,Утечка воды
49,Железнодорожный стержень
50,+17 Лапы
51,Давление масла
55,+12 лапы
60,Закончилось топливо
61,Колесный орех
62,Не классифицированы
63,Пневматические
64,Обработка
65,Заднее крыло
66,Огонь
67,Колесный подшипник
69,Топливная система
71,Топливная установка
72,Контроль за запуском
74,Топливо
75,Потеря мощности
76,Вибрации
77,107% Правило
78,Безопасность
80,3.2 Зажигание
84,Аккумуляторная батарея
85,Стационарная
87,Кранкшафт
88,+10 лапы
90,Не возобновляется
91,Переносчик
92,Пониженный вес
94,Нефтяной насос
95,Утечка топлива
96,Исключено
97,Не проходил предквалификационный отбор
99,Распределитель
100,Водитель нездоров
101,Турбо
103,Водонасыщенный насос
104,несчастный случай со смертельным исходом
105,Свечи зажигания
106,Топливная труба
109,5.1.1 Мост
110,Водяная труба
111,+14 лап
112,+15 лапы
113,+25 лап
116,+16 лапы
117,+24 лапы
118,+29 лап
120,+21 лап
122,+44 лапы
123,+30 лап
124,+19 лап
125,+46 лапы
126,Сверхзарядное устройство
127,+20 лап
128,+42 лапы
129,Пропуск зажигания в двигателе
131,Мощность
134,+38 лапы
135,Тормозной трубопровод
