constructorid,constructorref,name,nationality,url
1,Макларен,МакЛарен,Британские,http://en.wikipedia.org/wiki/McLaren
2,bmw_sauber,BMW Sauber,Немецкий,http://en.wikipedia.org/wiki/BMW_Sauber
3,Уильямы,Уильямс,Британские,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
4,resnault,Рено,Французский,http://en.wikipedia.org/wiki/Renault_F1
5,Torro_rosso,Торо Россо,Итальянский,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
6,ferrari,Феррари,Итальянский,http://en.wikipedia.org/wiki/Scuderia_Ferrari
7,Toyota,Тойота,Японский,http://en.wikipedia.org/wiki/Toyota_Racing
8,супер_aguri,Супер Агури,Японский,http://en.wikipedia.org/wiki/Super_Aguri_F1
9,красный_булль,Красный Бык,Австрия,http://en.wikipedia.org/wiki/Red_Bull_Racing
10,сила_индиа,Войдите в Индию,Индейцы,http://en.wikipedia.org/wiki/Force_India
11,хонда,Хонда,Японский,http://en.wikipedia.org/wiki/Honda_Racing_F1
12,Спайкер,Спайкер,Датч,http://en.wikipedia.org/wiki/Spyker_F1
13,mf1,MF1,Русский,http://en.wikipedia.org/wiki/Midland_F1_Racing
14,Spyker_mf1,Спайкер MF1,Датч,http://en.wikipedia.org/wiki/Midland_F1_Racing
15,Щекотливый,Саубер,Швейцария,http://en.wikipedia.org/wiki/Sauber
16,бар,БАР,Британские,http://en.wikipedia.org/wiki/British_American_Racing
17,Джордан,Иордания,Ирландский,http://en.wikipedia.org/wiki/Jordan_Grand_Prix
18,Минарди,Минарди,Итальянский,http://en.wikipedia.org/wiki/Minardi
19,Ягуар,Ягуар,Британские,http://en.wikipedia.org/wiki/Jaguar_Racing
20,Прост,Прост,Французский,http://en.wikipedia.org/wiki/Prost_Grand_Prix
21,стрелки,Стрелы,Британские,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International
22,Бенеттон,Бенеттон,Итальянский,http://en.wikipedia.org/wiki/Benetton_Formula
28,Форти,Форти,Итальянский,http://en.wikipedia.org/wiki/Forti
35,Даллара,Даллара,Итальянский,http://en.wikipedia.org/wiki/Dallara
36,eldimetal,Фондметалл,Итальянский,http://en.wikipedia.org/wiki/Fondmetal
38,Мода,Андреа Мода,Итальянский,http://en.wikipedia.org/wiki/Andrea_Moda_Formula
40,Ламбо,Ламбо,Итальянский,http://en.wikipedia.org/wiki/Modena_(gacing_team)
42,колония,Колони,Итальянский,http://en.wikipedia.org/wiki/Enzo_Coloni_Racing_Car_Systems
44,Евробрун,Евро Брун,Итальянский,http://en.wikipedia.org/wiki/euro_Brun
45,Оселла,Оселла,Итальянский,http://en.wikipedia.org/wiki/Osella
47,жизнь,Жизнь,Итальянский,http://en.wikipedia.org/wiki/Life_(Racing_Team)
51,Alfa,Alfa Romeo,Итальянский,http://en.wikipedia.org/wiki/Alfa_Romeo_(Формула_One)
54,ats,САР,Итальянский,http://en.wikipedia.org/wiki/ATS_(колесы)
60,Мерзарио,Мерзарио,Итальянский,http://en.wikipedia.org/wiki/Merzario
81,текно,Текно,Итальянский,http://en.wikipedia.org/wiki/Tecno
86,Томасо,Де Томасо,Итальянский,http://en.wikipedia.org/wiki/De_Tomaso
104,Бехра-порше,Бехра-Порше,Итальянский,http://en.wikipedia.org/wiki/Behra-Porsche
105,Мазерати,Мазерати,Итальянский,http://en.wikipedia.org/wiki/Maserati
174,Де-томасо-оска,Де Томасо-Оска,Итальянский,http://en.wikipedia.org/wiki/De_Tomaso
175,de_tomaso-alfa_romeo,Де Томасо-Альфа Ромео,Итальянский,http://en.wikipedia.org/wiki/De_Tomaso
179,de_tomaso-ferrari,Де Томасо-Феррари,Итальянский,http://en.wikipedia.org/wiki/De_Tomaso
