statement_no,member_no,statement_dt,due_dt,statement_amt,statement_code
844,844,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,4253.0,
862,862,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,0.0,
1200,1200,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,0.0,
1663,1663,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,0.0,
1795,1795,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,1418.0,
1873,1873,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,0.0,
1892,1892,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,10050.0,
1940,1940,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,0.0,
2032,2032,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,5493.0,
2497,2497,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,634.0,
3209,3209,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,6437.0,
3379,3379,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,8352.0,
3783,3783,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,5870.0,
4274,4274,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,1236.0,
4395,4395,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,9231.0,
4427,4427,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,2796.0,
4478,4478,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,3765.0,
4745,4745,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,4444.0,
6412,6412,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,7074.0,
6545,6545,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,12610.0,
6625,6625,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,9549.0,
6778,6778,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,3091.0,
7318,7318,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,6172.0,
7416,7416,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,31191.0,
7785,7785,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,15825.0,
8073,8073,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,7982.0,
8351,8351,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,13430.0,
8732,8732,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,3686.0,
9047,9047,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,31133.0,
9053,9053,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,25215.0,
9793,9793,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,52140.0,
10217,217,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,1040.0,
10240,240,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,0.0,
10354,354,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,0.0,
10490,490,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,0.0,
10503,503,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,3705.0,
10749,749,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,0.0,
10767,767,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,2398.0,
11167,1167,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,0.0,
11209,1209,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,1683.0,
11283,1283,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,0.0,
12290,2290,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,5419.0,
12555,2555,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,0.0,
12907,2907,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,0.0,
13022,3022,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,8275.0,
13177,3177,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,1396.0,
13337,3337,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,0.0,
13771,3771,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,0.0,
13874,3874,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,0.0,
14125,4125,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,0.0,
14540,4540,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,4775.0,
14768,4768,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,1974.0,
15205,5205,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,2826.0,
