provider_no,provider_name,street,city,state_prov,mail_code,country,phone_no,issue_dt,expr_dt,region_no,provider_code
15,Prov. Boston Op, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,8,
20,Prov. Boston Tr, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,9,
22,Prov. Computer, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,5,
24,Prov. Computer, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,9,
36,Prov. Driven Pe, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,9,
38,Prov. Driven Re, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,8,
42,Prov. Expert Li, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,7,
55,Prov. Famous Op, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,5,
71,Prov. Humble Ke, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,8,
89,Prov. Imperial, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,6,
92,Prov. Just Ligh, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,8,
101,Prov. Apex Key, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,7,
106,Prov. Apex Petr, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,5,
107,Prov. Apex Ques, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,9,
108,Prov. Apex Rest, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,9,
110,Prov. Apex Tran, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,9,
111,Prov. Boston Ke, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,8,
123,Prov. Computer, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,9,
132,Prov. Driven Li, , ,,,,,1999-10-13T10:41:20,2000-10-12T10:41:20,8,
141,Prov. Expert Ke, , ,,,,,1999-10-13T10:41:20,2000-10-12T10:41:20,9,
156,Prov. Famous Pe, , ,,,,,1999-10-13T10:41:20,2000-10-12T10:41:20,8,
159,Prov. Famous Sa, , ,,,,,1999-10-13T10:41:20,2000-10-12T10:41:20,9,
166,Prov. Giant Pet, , ,,,,,1999-10-13T10:41:20,2000-10-12T10:41:20,8,
168,Prov. Giant Res, , ,,,,,1999-10-13T10:41:20,2000-10-12T10:41:20,5,
172,Prov. Humble Li, , ,,,,,1999-10-13T10:41:20,2000-10-12T10:41:20,9,
187,Prov. Imperial, , ,,,,,1999-10-13T10:41:20,2000-10-12T10:41:20,4,
192,Prov. Just Ligh, , ,,,,,1999-10-13T10:41:20,2000-10-12T10:41:20,8,
201,Prov. Apex Key, , ,,,,,1999-10-13T10:41:20,2000-10-12T10:41:20,9,
217,Prov. Boston Qu, , ,,,,,1999-10-13T10:41:20,2000-10-12T10:41:20,9,
221,Prov. Computer, , ,,,,,1999-10-13T10:41:21,2000-10-12T10:41:21,8,
245,Prov. Expert Op, , ,,,,,1999-10-13T10:41:21,2000-10-12T10:41:21,9,
250,Prov. Expert Tr, , ,,,,,1999-10-13T10:41:21,2000-10-12T10:41:21,9,
