driverid,driverref,number,forename,surname,dob,nationality,url
17,webber,,Mark,Webber,1976-08-27,Australian,http://en.wikipedia.org/wiki/Mark_Webber
42,pizzonia,,Antônio,Pizzonia,1980-09-11,Brazilian,http://en.wikipedia.org/wiki/Ant%C3%B4nio_Pizzonia
68,takagi,,Toranosuke,Takagi,1974-02-12,Japanese,http://en.wikipedia.org/wiki/Toranosuke_Takagi
89,inoue,,Taki,Inoue,1963-09-05,Japanese,http://en.wikipedia.org/wiki/Taki_Inoue
92,gachot,,Bertrand,Gachot,1962-12-23,Belgian,http://en.wikipedia.org/wiki/Bertrand_Gachot
96,boullion,,Jean-Christophe,Boullion,1969-12-27,French,http://en.wikipedia.org/wiki/Jean-Christophe_Boullion
100,comas,,Érik,Comas,1963-09-28,French,http://en.wikipedia.org/wiki/%C3%89rik_Comas
143,bartels,,Michael,Bartels,1968-03-08,German,http://en.wikipedia.org/wiki/Michael_Bartels
182,lauda,,Niki,Lauda,1949-02-22,Austrian,http://en.wikipedia.org/wiki/Niki_Lauda
234,brancatelli,,Gianfranco,Brancatelli,1950-01-18,Italian,http://en.wikipedia.org/wiki/Gianfranco_Brancatelli
235,ickx,,Jacky,Ickx,1945-01-01,Belgian,http://en.wikipedia.org/wiki/Jacky_Ickx
238,peterson,,Ronnie,Peterson,1944-02-14,Swedish,http://en.wikipedia.org/wiki/Ronnie_Peterson
244,colombo,,Alberto,Colombo,1946-02-23,Italian,http://en.wikipedia.org/wiki/Alberto_Colombo
272,takahashi,,Kunimitsu,Takahashi,1940-01-29,Japanese,http://en.wikipedia.org/wiki/Kunimitsu_Takahashi
288,donohue,,Mark,Donohue,1937-03-18,American,http://en.wikipedia.org/wiki/Mark_Donohue
345,rodriguez,,Pedro,Rodríguez,1940-01-18,Mexican,http://en.wikipedia.org/wiki/Pedro_Rodr%C3%ADguez_(racing_driver)
361,courage,,Piers,Courage,1942-05-27,British,http://en.wikipedia.org/wiki/Piers_Courage
403,phil_hill,,Phil,Hill,1927-04-20,American,http://en.wikipedia.org/wiki/Phil_Hill
476,trips,,Wolfgang,von Trips,1928-05-04,German,http://en.wikipedia.org/wiki/Wolfgang_Graf_Berghe_von_Trips
541,flockhart,,Ron,Flockhart,1923-06-16,British,http://en.wikipedia.org/wiki/Ron_Flockhart_(auto_racing)
601,gibson,,Dick,Gibson,1918-04-16,British,http://en.wikipedia.org/wiki/Dick_Gibson
640,graffenried,,Toulo,de Graffenried,1914-05-18,Swiss,http://en.wikipedia.org/wiki/Toulo_de_Graffenried
673,nazaruk,,Mike,Nazaruk,1921-10-02,American,http://en.wikipedia.org/wiki/Mike_Nazaruk
733,miller,,Chet,Miller,1902-07-19,American,http://en.wikipedia.org/wiki/Chet_Miller
753,klenk,,Hans,Klenk,1919-10-28,German,http://en.wikipedia.org/wiki/Hans_Klenk
762,rol,,Franco,Rol,1908-06-05,Italian,http://en.wikipedia.org/wiki/Franco_Rol
782,jover,,Juan,Jover,1903-11-23,Spanish,http://en.wikipedia.org/wiki/Juan_Jover
788,fry,,Joe,Fry,1915-10-26,British,http://en.wikipedia.org/wiki/Joe_Fry
804,mantz,,Johnny,Mantz,1918-09-18,American,http://en.wikipedia.org/wiki/Johnny_Mantz
833,merhi,98.0,Roberto,Merhi,1991-03-22,Spanish,http://en.wikipedia.org/wiki/Roberto_Merhi
