constructorstandingsid,raceid,constructorid,points,position,positiontext,wins
95,27,1,86.0,3,3,4
96,27,2,89.0,2,2,1
97,27,3,16.0,7,7,0
98,27,4,23.0,6,6,0
99,27,5,8.0,9,9,0
100,27,6,105.0,1,1,5
101,27,7,25.0,4,4,0
102,27,9,24.0,5,5,0
103,27,11,14.0,8,8,0
104,27,10,0.0,10,10,0
105,27,8,0.0,11,11,0
621,77,4,76.0,1,1,5
622,77,6,31.0,5,5,0
623,77,9,19.0,6,6,0
624,77,3,43.0,4,4,0
625,77,1,53.0,2,2,2
626,77,7,44.0,3,3,0
627,77,15,7.0,7,7,0
628,77,17,0.0,8,8,0
629,77,18,0.0,10,10,0
630,77,16,0.0,9,9,0
671,82,4,117.0,1,1,7
672,82,6,78.0,3,3,1
673,82,9,24.0,6,6,0
674,82,3,47.0,5,5,0
675,82,1,95.0,2,2,4
676,82,7,57.0,4,4,0
677,82,15,14.0,8,8,0
678,82,17,11.0,9,9,0
679,82,18,7.0,10,10,0
680,82,16,15.0,7,7,0
1501,163,6,62.0,1,1,4
1502,163,3,15.0,3,3,0
1503,163,16,6.0,6,6,0
1504,163,22,10.0,4,4,0
1505,163,18,0.0,10,10,0
1506,163,20,0.0,11,11,0
1507,163,17,9.0,5,5,0
1508,163,21,1.0,8,8,0
1509,163,1,52.0,2,2,2
1510,163,15,1.0,7,7,0
1511,163,19,0.0,9,9,0
1556,168,6,102.0,2,2,6
1557,168,3,22.0,3,3,0
1558,168,16,12.0,5,5,0
1559,168,22,18.0,4,4,0
1560,168,18,0.0,10,10,0
1561,168,20,0.0,11,11,0
1562,168,17,11.0,6,6,0
1563,168,21,4.0,8,8,0
1564,168,1,108.0,1,1,5
1565,168,15,6.0,7,7,0
1566,168,19,3.0,9,9,0
5701,149,6,94.0,1,1,5
5702,149,1,53.0,2,2,2
5703,149,15,15.0,4,4,0
5704,149,17,13.0,5,5,0
5705,149,16,12.0,6,6,0
5706,149,19,5.0,7,7,0
5707,149,20,3.0,8,8,0
5708,149,21,1.0,9,9,0
5709,149,18,0.0,11,11,0
5710,149,22,1.0,10,10,0
5711,149,3,37.0,3,3,2
5734,152,6,124.0,1,1,6
5735,152,1,66.0,2,2,3
5736,152,15,19.0,4,4,0
5737,152,17,15.0,6,6,0
5738,152,16,16.0,5,5,0
5739,152,19,5.0,8,8,0
5740,152,20,4.0,9,9,0
5741,152,21,1.0,10,10,0
5742,152,18,0.0,11,11,0
5743,152,22,6.0,7,7,0
5744,152,3,56.0,3,3,3
5883,132,6,102.0,1,1,7
5884,132,3,57.0,2,2,1
5885,132,1,37.0,3,3,1
