qualifyid,raceid,driverid,constructorid,number,position,q1,q2,q3
121,23,2,2,3,13,1:16.650,1:16.455,
204,27,6,3,8,16,1:16.083,,
234,29,20,5,15,6,1:38.141,1:37.842,1:40.142
300,32,18,11,16,12,1:45.660,1:45.133,
338,34,7,5,14,10,1:36.239,1:35.478,1:38.885
381,36,5,4,4,13,1:27.529,1:26.964,
443,39,14,9,14,9,1:22.491,1:21.488,1:22.749
709,51,24,5,18,11,1:37.047,1:36.862,
852,57,36,8,23,22,1:46.505,,
897,60,4,4,1,1,1:21.018,1:20.271,1:20.253
909,60,24,5,20,13,1:22.685,1:21.699,
919,61,4,4,1,1,1:15.350,1:14.726,1:14.942
1110,69,27,14,19,16,1:32.221,1:33.750,
1160,78,30,6,1,2,1:15.475,,
1396,89,27,18,21,18,1:39.105,,
1586,173,41,16,23,18,1:38.269,,
1651,177,37,21,14,18,1:29.293,,
1659,191,35,3,1,4,1:30.919,,
1718,193,75,18,22,19,1:30.054,,
1770,201,71,17,9,5,1:43.183,,
1962,213,79,18,20,22,1:21.034,,
2116,228,14,1,8,4,1:27.688,,
2225,241,90,28,22,24,2:04.481,,
2382,248,22,17,14,5,1:45.765,,
2576,256,22,17,14,7,,,
2715,262,104,29,9,16,1:28.882,,
2769,264,110,15,29,18,1:28.212,,
2883,269,71,3,0,2,1:20.766,,
3021,2,13,6,3,16,1:35.642,,
3101,6,1,1,1,16,1:16.264,,
3212,12,10,7,10,7,1:45.450,1:44.877,1:46.677
3240,13,2,2,6,15,1:23.584,1:24.275,
3246,14,1,1,1,1,1:46.977,1:46.657,1:47.891
3388,339,5,205,19,15,1:52.875,1:52.270,
3407,340,16,10,14,10,1:36.671,1:35.665,1:35.963
3431,341,155,15,23,10,1:22.577,1:21.725,1:21.984
3602,348,16,10,14,13,1:22.080,1:21.517,
3622,349,807,3,10,9,1:55.442,1:47.821,1:47.053
3629,349,5,205,19,16,2:01.343,1:50.980,
3970,118,42,19,15,10,1:22.634,,
4039,121,53,18,18,19,1:26.778,,
4152,93,13,15,12,12,1:21.532,,
4242,98,30,6,1,2,1:10.400,,
4513,75,39,17,19,13,1:18.557,1:20.711,
4547,841,30,131,7,11,1:25.962,1:25.971,
4599,843,30,131,7,14,1:35.508,1:36.457,
4606,843,816,166,25,21,1:39.119,,
4970,860,17,9,2,5,1:27.117,1:26.597,1:25.651
5007,861,818,5,17,18,1:39.077,,
5041,863,18,1,3,4,1:34.792,1:33.416,1:32.711
5077,864,817,5,16,16,1:23.906,1:23.442,
5268,872,818,5,17,17,1:25.649,1:25.441,
5287,873,13,6,6,13,1:49.767,1:48.344,
5295,873,10,206,24,21,1:51.370,,
5366,876,10,206,24,21,1:29.613,,
5483,881,819,207,20,20,1:39.314,,
5494,882,20,9,1,9,1:36.537,1:35.343,
5531,884,1,131,10,2,1:21.728,1:21.001,1:20.972
5532,884,20,9,1,3,1:22.158,1:21.602,1:21.054
5533,884,8,208,7,4,1:22.210,1:21.676,1:21.177
5534,884,4,6,3,5,1:22.264,1:21.646,1:21.218
5594,886,820,206,23,21,1:27.062,,
5613,887,821,15,12,18,1:32.666,,
5698,892,813,3,16,15,1:24.905,1:25.011,
5717,893,818,5,18,12,1:45.657,1:44.588,
5844,899,817,5,19,7,1:27.209,1:27.078,1:28.052
5903,901,828,207,9,22,2:04.407,,
6001,905,825,1,20,8,1:17.978,1:17.609,1:17.555
6036,906,828,207,9,21,1:19.820,,
6122,910,820,206,4,19,1:27.819,,
6210,914,828,207,9,19,1:36.813,,
6267,917,154,208,8,15,1:12.037,,
6380,929,830,5,33,15,1:35.611,1:35.103,
6560,939,828,15,9,17,1:47.088,,
6769,951,837,209,88,21,1:39.463,,
6914,958,8,6,7,14,1:36.853,1:25.435,
6974,961,807,10,27,9,1:23.259,1:22.951,1:22.836
7063,965,815,10,11,11,1:37.345,1:37.353,
7074,965,839,209,31,22,1:38.806,,
7091,966,821,210,21,17,1:21.401,,
7120,968,817,9,3,3,1:41.002,1:40.429,1:39.589
7168,970,826,5,26,9,1:34.440,1:34.034,1:33.719
7205,972,13,3,19,6,1:35.828,1:35.049,1:35.110
7274,975,835,4,30,15,1:13.990,1:14.293,
7320,978,1,131,44,1,1:39.069,1:27.893,1:26.600
7324,978,830,9,33,5,1:38.912,1:29.431,1:28.130
7357,979,836,15,94,18,1:19.839,,
7376,980,826,5,26,17,1:46.028,,
