targetid,raceid,driverid,win
322,33,14,0
3814,74,15,0
5306,236,50,0
9697,287,88,0
11060,175,22,0
11701,155,23,0
11846,128,15,0
12401,123,30,0
13166,68,21,0
13697,40,21,0
16136,328,110,0
17091,305,142,0
19238,380,110,0
22360,475,119,0
44430,822,669,0
44763,809,679,0
44848,810,501,0
45087,814,498,0
45116,814,449,0
48152,741,478,0
49135,769,479,1
49552,774,523,0
49877,750,502,0
51589,801,632,0
54522,649,359,0
56164,582,251,0
56173,583,224,0
56363,587,187,0
61951,756,356,1
63435,722,408,0
63885,342,3,0
65206,870,819,0
66026,257,71,0
66673,902,828,0
