driverstandingsid,raceid,driverid,points,position,positiontext,wins
65,21,11,0.0,19,19,0
369,35,21,0.0,19,19,0
4442,199,49,8.0,8,8,0
4560,204,65,1.0,15,15,0
5186,231,73,0.0,20,20,0
5214,232,69,0.0,21,21,0
9419,277,77,2.0,14,14,0
9428,277,105,0.0,22,22,0
9616,284,123,0.0,23,23,0
9689,287,55,13.0,6,6,0
10301,245,65,12.0,5,5,0
10485,251,84,7.0,12,12,0
10547,253,84,7.0,12,12,0
10908,218,15,3.0,16,16,0
11281,186,63,6.0,10,10,0
11625,152,50,1.0,17,17,0
12241,115,22,31.0,6,6,0
12334,120,30,72.0,1,1,4
13122,66,9,0.0,23,23,0
13806,45,8,52.0,4,4,3
13938,50,18,2.0,16,16,0
13980,52,15,8.0,13,13,0
16167,329,90,0.0,29,29,0
16266,331,92,0.0,36,36,0
17161,307,128,0.0,20,20,0
17330,312,109,4.0,11,11,0
17444,315,100,0.0,27,27,0
18216,357,131,0.0,26,26,0
19066,374,160,0.0,24,24,0
19605,392,77,9.0,6,6,0
19673,394,133,0.0,24,24,0
21378,447,184,0.0,23,23,0
21458,449,173,32.0,3,3,0
21755,458,119,0.0,23,23,0
21967,464,186,0.0,32,32,0
22016,465,181,0.0,26,26,0
22077,467,177,2.0,5,5,0
23115,492,215,0.0,33,33,0
43219,833,789,0.0,20,20,0
43391,836,788,0.0,31,31,0
43573,839,770,3.0,17,17,0
44494,822,456,0.0,34,34,0
45324,816,659,0.0,96,96,0
46828,790,586,0.0,49,49,0
47028,777,610,0.0,29,29,0
49908,750,522,0.0,40,40,0
51586,801,475,4.0,8,8,0
52070,807,615,0.0,30,30,0
52145,807,638,0.0,68,68,0
53002,662,289,19.0,4,4,1
53226,635,312,0.0,17,17,0
53623,670,328,3.0,13,13,0
53652,671,347,0.0,19,19,0
53674,672,304,12.0,4,4,0
54297,631,223,15.0,7,7,0
54701,654,289,7.0,13,13,0
55554,597,251,0.0,27,27,0
55742,601,231,8.0,12,12,0
56319,586,293,0.0,33,33,0
56464,589,187,0.0,23,23,0
56614,564,233,3.0,10,10,0
56695,566,250,1.0,16,16,0
56702,566,230,0.0,21,21,0
57159,527,233,0.0,17,17,0
57386,534,233,0.0,26,26,0
58201,555,200,18.0,7,7,0
58516,513,219,0.0,15,15,0
58897,526,178,40.0,3,3,4
62336,762,549,0.0,40,40,0
62366,762,561,0.0,63,63,0
62418,763,549,0.0,41,41,0
63629,727,347,5.0,10,10,0
63748,337,16,0.0,12,12,0
63804,339,10,0.0,22,22,0
63980,346,20,121.0,4,4,2
64824,857,808,36.0,9,9,0
65263,872,39,0.0,24,24,0
65517,880,20,15.0,3,3,0
65600,883,3,14.0,9,9,0
65749,888,824,0.0,19,19,0
66491,270,100,2.0,22,22,0
66870,911,813,0.0,19,19,0
67847,960,1,232.0,1,1,6
