id,draftyear,draftround,draftselection,draftoverall,tmid,firstname,lastname,suffixname,playerid,draftfrom,lgid
1,1967,0,0,0,ANA,Даррелл,Харди,,hardyda01,Бэйлор,ABA
2,1967,0,0,0,ANA,Боб,Крулиш,,,Тихоокеанский регион,ABA
3,1967,0,0,0,ANA,Боб,Льюис,,lewisbo01,Северная Каролина,ABA
4,1967,0,0,0,ANA,Майк,Линн,,lynnmi01,ОАКЛА,ABA
5,1967,0,0,0,ANA,Том,Рабочий,,workmto01,Сиэтл,ABA
17,1967,0,0,0,DNR,Байрон,Бек,,beckby01,Денвер,ABA
18,1967,0,0,0,DNR,Вон,Харпер,,,Сиракуз,ABA
21,1967,0,0,0,DNR,Дэйв,Латтин,,lattida01,Западный Техас,ABA
29,1967,0,0,0,DLC,Джейми,Томпсон,,,Штат Уичита,ABA
30,1967,0,0,0,DLC,Пол,Братрис,,,Теннесси Уэслиан,ABA
31,1967,0,0,0,DLC,Джефф,Фитч,,,Восточно-Техасский штат,ABA
32,1967,0,0,0,DLC,Тед,Манифест,,,Северная Каролина АиТ,ABA
35,1967,0,0,0,DLC,Джерри,Саутвуд,,,Вандербильт,ABA
36,1967,0,0,0,DLC,Том,Буря,,,Штат Монтана,ABA
37,1967,0,0,0,HSM,Боб,Бенфилд,,,Западная Вирджиния,ABA
46,1967,0,0,0,HSM,Майк,Нау,,,Государство Орегон,ABA
47,1967,0,0,0,HSM,Джерри,Петтвей,,pettwje01,Нортвудский институт,ABA
50,1967,0,0,0,INA,Джим,Доусон,,dawsoja01,Иллинойс,ABA
53,1967,0,0,0,INA,Джим,Уолкер,,walkeji01,Провидение,ABA
59,1967,0,0,0,INA,Билл,Рассел,,,Индианаa,ABA
62,1967,0,0,0,KEN,Клем,Хаскинс,,haskicl01,Западный Кентукки,ABA
63,1967,0,0,0,KEN,Дуайт,Смит,,,Западный Кентукки,ABA
64,1967,0,0,0,KEN,Вилли,Волны,,,Бостонский колледж,ABA
68,1967,0,0,0,KEN,Кен,Гиббс,,,Вандербильт,ABA
70,1967,0,0,0,KEN,Гвенделл,МакСвен,,,Государство Вальдоста,ABA
72,1967,0,0,0,KEN,Джон,Смит,,,Государство Кент,ABA
73,1967,0,0,0,MNM,Мэл,Дэниелс,,danieme01,Новая Мексика,ABA
76,1967,0,0,0,MNM,Тим,Полномочия,,,Крейтон,ABA
77,1967,0,0,0,MNM,Сэм,Смит,,smithsa01,Кентукки Вестерн,ABA
78,1967,0,0,0,MNM,Al,Кларк,,,Восточный Кентукки,ABA
79,1967,0,0,0,MNM,Гэри,Грегор,,gregoga01,Южная Каролина,ABA
80,1967,0,0,0,MNM,Эрв,Иннижер,,,Индианаa,ABA
81,1967,0,0,0,MNM,Богатый,Джонс,,jonesri01,Иллинойс,ABA
82,1967,0,0,0,MNM,Линдберг,Муди,,,Штат Южная Каролина,ABA
83,1967,0,0,0,MNM,Эррол,Палмер,,palmeer01,Де Поль,ABA
86,1967,0,0,0,NJA,Маль,Грэм,,grahama01,Нью-Йоркский университет,ABA
88,1967,0,0,0,NJA,Дик,Пруетт,,,Джексонвилль,ABA
90,1967,0,0,0,NJA,Тим,Эдвардс,,,Амхерст,ABA
94,1967,0,0,0,NOB,Роберт,Аллен,,,Арканзас АМ&Н,ABA
95,1967,0,0,0,NOB,Джон,Диксон,,dicksjo01,Арканзасский штат,ABA
97,1967,0,0,0,NOB,Пол,Длинные,,longpa01,Уэйк Форест,ABA
101,1967,0,0,0,NOB,Карл,Глава,,,Западная Вирджиния,ABA
103,1967,0,0,0,NOB,Джефф,Рэмси,,,Флорида,ABA
105,1967,0,0,0,NOB,Декстер,Вестбрук,,westbde01,Провидение,ABA
106,1967,0,0,0,OAK,Уэс,Биалосукния,,bialowe01,Коннектикут,ABA
107,1967,0,0,0,OAK,Горди,Харрис,,,Вашингтон,ABA
111,1967,0,0,0,OAK,Искусство,Аллен,,,Бетун-Кукман,ABA
113,1967,0,0,0,OAK,Майк,Дэвис,,davismi01,Союз Вирджинии,ABA
115,1967,0,0,0,OAK,Рон,Франц,,franzro01,Канзас,ABA
117,1967,0,0,0,OAK,Марлберт,Падд,,praddma01,Диллард,ABA
118,1967,0,0,0,PTP,Клифф,Андерсон,,andercl01,Св. Иосифа (ПА),ABA
119,1967,0,0,0,PTP,Барри,Либовиц,,lieboba01,Лонг-Айленд,ABA
120,1967,0,0,0,PTP,Эрл,Монро,,monroea01,Уинстон-Салем,ABA
125,1967,0,0,0,PTP,Крис,Кефалос,,,Храм,ABA
126,1967,0,0,0,PTP,Майк,Риордан,,riordmi01,Провидение,ABA
128,1967,0,0,0,PTP,Стив,Салливан,,,Джорджтаун,ABA
129,1967,0,0,0,PTP,Джим,Южное Королевство,,,Клемсон,ABA
133,1968,0,0,0,DNR,Хэл,Букер,,bookebu01,Шейнейское государство,ABA
134,1968,0,0,0,DNR,Гарри,Холлины,,,Денвер,ABA
137,1968,0,0,0,DNR,Вилли,Роджеры,,,Оклахома,ABA
140,1968,0,0,0,DNR,Мелвин,Джонс,,,Государство Олбани (ГА),ABA
142,1968,0,0,0,DNR,Микки,Смит,,,Государство Мемфис,ABA
144,1968,0,0,0,DLC,Шелер,Галимон,,halimsh01,Штат Юта,ABA
145,1968,0,0,0,DLC,Богатый,Джонс,,jonesri01,Государство Мемфис,ABA
148,1968,0,0,0,DLC,Джо Чжо,Белый,,whitejo01,Канзас,ABA
