statement_no,member_no,statement_dt,due_dt,statement_amt,statement_code
679,679,1999-08-13T00:00:00,1999-09-02T00:00:00,0.0,
2177,2177,1999-08-13T00:00:00,1999-09-02T00:00:00,3156.0,
2335,2335,1999-08-13T00:00:00,1999-09-02T00:00:00,1177.0,
2671,2671,1999-08-13T00:00:00,1999-09-02T00:00:00,8023.0,
2705,2705,1999-08-13T00:00:00,1999-09-02T00:00:00,9019.0,
3566,3566,1999-08-13T00:00:00,1999-09-02T00:00:00,2017.0,
3864,3864,1999-08-13T00:00:00,1999-09-02T00:00:00,9060.0,
3888,3888,1999-08-13T00:00:00,1999-09-02T00:00:00,2403.0,
3890,3890,1999-08-13T00:00:00,1999-09-02T00:00:00,7462.0,
4162,4162,1999-08-13T00:00:00,1999-09-02T00:00:00,10470.0,
4344,4344,1999-08-13T00:00:00,1999-09-02T00:00:00,8573.0,
4610,4610,1999-08-13T00:00:00,1999-09-02T00:00:00,5009.0,
4631,4631,1999-08-13T00:00:00,1999-09-02T00:00:00,3779.0,
5673,5673,1999-08-13T00:00:00,1999-09-02T00:00:00,3510.0,
6494,6494,1999-08-13T00:00:00,1999-09-02T00:00:00,9112.0,
6628,6628,1999-08-13T00:00:00,1999-09-02T00:00:00,21951.0,
6989,6989,1999-08-13T00:00:00,1999-09-02T00:00:00,15856.0,
7008,7008,1999-08-13T00:00:00,1999-09-02T00:00:00,24437.0,
7682,7682,1999-08-13T00:00:00,1999-09-02T00:00:00,9736.0,
8671,8671,1999-08-13T00:00:00,1999-09-02T00:00:00,25259.0,
8750,8750,1999-08-13T00:00:00,1999-09-02T00:00:00,24642.0,
8847,8847,1999-08-13T00:00:00,1999-09-02T00:00:00,35370.0,
9272,9272,1999-08-13T00:00:00,1999-09-02T00:00:00,36403.0,
9595,9595,1999-08-13T00:00:00,1999-09-02T00:00:00,35603.0,
9800,9800,1999-08-13T00:00:00,1999-09-02T00:00:00,38885.0,
10026,26,1999-09-13T00:00:00,1999-10-03T00:00:00,0.0,
10350,350,1999-09-13T00:00:00,1999-10-03T00:00:00,0.0,
10529,529,1999-09-13T00:00:00,1999-10-03T00:00:00,0.0,
10599,599,1999-09-13T00:00:00,1999-10-03T00:00:00,0.0,
10625,625,1999-09-13T00:00:00,1999-10-03T00:00:00,0.0,
10856,856,1999-09-13T00:00:00,1999-10-03T00:00:00,0.0,
10931,931,1999-09-13T00:00:00,1999-10-03T00:00:00,4054.0,
11372,1372,1999-09-13T00:00:00,1999-10-03T00:00:00,3149.0,
12804,2804,1999-09-13T00:00:00,1999-10-03T00:00:00,488.0,
13001,3001,1999-09-13T00:00:00,1999-10-03T00:00:00,8935.0,
13202,3202,1999-09-13T00:00:00,1999-10-03T00:00:00,0.0,
13215,3215,1999-09-13T00:00:00,1999-10-03T00:00:00,2567.0,
13277,3277,1999-09-13T00:00:00,1999-10-03T00:00:00,0.0,
13528,3528,1999-09-13T00:00:00,1999-10-03T00:00:00,1094.0,
13882,3882,1999-09-13T00:00:00,1999-10-03T00:00:00,1162.0,
14497,4497,1999-09-13T00:00:00,1999-10-03T00:00:00,0.0,
14707,4707,1999-09-13T00:00:00,1999-10-03T00:00:00,10488.0,
15127,5127,1999-09-13T00:00:00,1999-10-03T00:00:00,3045.0,
15243,5243,1999-09-13T00:00:00,1999-10-03T00:00:00,1169.0,
15475,5475,1999-09-13T00:00:00,1999-10-03T00:00:00,7982.0,
15736,5736,1999-09-13T00:00:00,1999-10-03T00:00:00,9085.0,
15994,5994,1999-09-13T00:00:00,1999-10-03T00:00:00,0.0,
16279,6279,1999-09-13T00:00:00,1999-10-03T00:00:00,15262.0,
17221,7221,1999-09-13T00:00:00,1999-10-03T00:00:00,5598.0,
17573,7573,1999-09-13T00:00:00,1999-10-03T00:00:00,10815.0,
17599,7599,1999-09-13T00:00:00,1999-10-03T00:00:00,1756.0,
18121,8121,1999-09-13T00:00:00,1999-10-03T00:00:00,11684.0,
18185,8185,1999-09-13T00:00:00,1999-10-03T00:00:00,3022.0,
18549,8549,1999-09-13T00:00:00,1999-10-03T00:00:00,4399.0,
18807,8807,1999-09-13T00:00:00,1999-10-03T00:00:00,19209.0,
18912,8912,1999-09-13T00:00:00,1999-10-03T00:00:00,21368.0,
19837,9837,1999-09-13T00:00:00,1999-10-03T00:00:00,25576.0,
