charge_no,member_no,provider_no,category_no,charge_dt,charge_amt,statement_no,charge_code
34173,2835,462,3,1999-07-29T10:46:15,2177.0,2835,
513113,9233,479,6,1999-10-07T10:44:36,3643.0,29233,
531090,7809,485,7,1999-08-20T10:46:00,2622.0,17809,
598397,4763,498,4,1999-08-04T10:51:13,4616.0,4763,
625545,8175,349,5,1999-07-24T10:45:34,417.0,8175,
637323,5926,446,4,1999-06-24T10:46:30,3504.0,5926,
651327,4761,500,2,1999-08-26T10:47:34,2371.0,14761,
658587,9919,468,5,1999-08-17T10:48:07,3677.0,19919,
665216,7582,494,4,1999-08-09T10:48:38,3483.0,7582,
774055,4294,494,2,1999-06-21T10:49:19,197.0,4294,
786544,1929,338,10,1999-08-27T10:50:17,22.0,11929,
804760,8372,269,2,1999-10-05T10:43:59,3341.0,28372,
805870,4439,305,9,1999-07-14T10:44:03,4518.0,4439,
893396,4318,483,6,1999-08-24T10:50:49,1080.0,14318,
962980,9633,239,4,1999-07-13T10:48:27,2134.0,9633,
965512,8831,489,3,1999-06-24T10:48:39,869.0,8831,
985028,9769,488,10,1999-07-18T10:50:10,2341.0,9769,
992259,4232,474,7,1999-09-15T10:50:44,3276.0,24232,
1001169,7237,477,8,1999-07-07T10:43:43,1206.0,7237,
1001436,2236,403,4,1999-10-05T10:43:44,194.0,22236,
1055099,7536,391,6,1999-08-05T10:47:51,468.0,7536,
1060996,8055,480,4,1999-06-26T10:48:18,616.0,8055,
1074005,9435,221,9,1999-08-23T10:49:19,4600.0,19435,
1088188,4207,495,9,1999-08-05T10:50:25,2991.0,4207,
1206636,8069,360,10,1999-06-22T10:44:07,1856.0,8069,
1293754,7575,493,5,1999-07-15T10:50:51,4914.0,7575,
1302821,9610,476,7,1999-09-02T10:43:50,3611.0,19610,
1339970,8749,362,9,1999-07-03T10:46:41,2567.0,8749,
1398061,9130,433,4,1999-10-03T10:51:11,4994.0,29130,
1447853,1096,426,5,1999-10-04T10:47:18,2993.0,21096,
1474334,4211,482,10,1999-07-14T10:49:20,3630.0,4211,
1491631,9763,406,5,1999-06-20T10:50:41,823.0,9763,
1494509,7749,480,3,1999-08-25T10:50:55,917.0,17749,
1569101,6826,425,9,1999-09-04T10:48:56,577.0,16826,
1571694,9554,490,4,1999-08-29T10:49:08,801.0,19554,
1599914,8988,280,9,1999-07-04T10:51:19,660.0,8988,
1601313,7945,487,3,1999-07-28T10:43:43,2825.0,7945,
1657714,7270,465,9,1999-08-31T10:48:03,3765.0,17270,
1783780,8698,402,7,1999-07-11T10:50:04,4819.0,8698,
1819381,4288,382,4,1999-08-01T10:45:04,3913.0,4288,
1843316,5284,264,2,1999-09-22T10:46:57,2821.0,25284,
1844796,9453,446,9,1999-08-10T10:47:04,705.0,9453,
1862871,8395,156,5,1999-08-01T10:48:26,1779.0,8395,
1864647,9753,469,6,1999-10-08T10:48:35,3893.0,29753,
1893840,9928,403,7,1999-07-22T10:50:51,2846.0,9928,
1895595,9963,87,5,1999-09-01T10:50:59,2962.0,19963,
1951665,9393,353,2,1999-09-09T10:47:36,229.0,19393,
1952767,7686,440,2,1999-09-14T10:47:41,2040.0,27686,
1965573,9200,463,2,1999-07-22T10:48:39,140.0,9200,
1971771,5425,488,3,1999-07-22T10:49:08,2405.0,5425,
1974802,9927,443,4,1999-07-08T10:49:22,1566.0,9927,
