year,lgid,tmid,franchid,confid,divid,rank,confrank,playoff,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,o_tmrebound,d_tmrebound,homewon,homelost,awaywon,awaylost,neutwon,neutloss,confwon,confloss,divwon,divloss,pace,won,lost,games,min,arena,attendance,bbtmid
1983,NBA,CHI,CHI,EC,CD,5,10,,Чикаго Буллз,3305,6972,1871,2508,20,117,1141,2300,3441,2095,2196,687,1578,454,8501,3502,7082,1885,37,182,2471,1125,2388,3513,2235,2110,786,1513,514,8926,0,0,18,23,9,32,0,0,18,40,10,20,0,27,55,82,19980.0,Чикагский стадион,32767,CHI
1968,NBA,SFW,GSW,,WD,3,0,DS,Сан-Франциско Воины,3414,8218,2119,2949,0,0,0,0,5109,1822,2087,0,0,0,8947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9081,0,0,22,19,18,21,1,1,0,0,20,20,0,41,41,82,19905.0,Окленд-Аламеда Округ Колизей Арена,32767,SFW
2011,NBA,NOH,NOH,WC,SW,5,0,,Новый Орлеан Шершень,2300,5103,1057,1397,259,777,724,1991,2715,1368,1324,488,1024,316,5916,2305,5188,1129,1487,425,1342,731,1910,2641,1379,1235,523,915,380,6164,0,0,0,0,0,0,0,0,0,0,0,0,0,21,45,0,,,0,
1995,NBA,CLE,CLE,EC,CD,3,4,C1,Кливленд Кавальеры,2761,5998,1355,1775,596,1582,867,2055,2922,1818,1685,674,1073,340,7473,2674,5787,1400,513,1322,1844,874,2167,3041,1818,1667,504,1282,336,7261,0,0,26,15,21,20,0,0,29,25,13,15,0,47,35,82,19830.0,Гунд Арена,32767,CLE
1970,ABA,PTC,PTC,,ED,5,0,,Питтсбургские кондоры,3906,8661,2012,2659,177,578,0,0,4831,1619,2208,0,1724,0,10001,3965,8428,2132,167,504,2794,0,0,4751,1959,2094,0,1626,0,10229,0,0,24,16,11,28,1,4,0,0,27,27,0,36,48,84,20230.0,Pittsburgh Civil Arena,32767,PTC
1974,NBA,WSB,WAS,EC,CD,1,2,F,Вашингтонские пули,3555,7697,1475,1962,0,0,1133,2764,3897,2005,1961,929,1594,409,8585,3249,7415,1499,0,0,1967,1184,2819,4003,1811,2004,710,1842,259,7997,0,0,36,5,24,17,0,0,32,14,22,8,0,60,22,82,19805.0,Капитальный центр,32767,WAS
1980,NBA,NJN,NJN,EC,AT,5,10,,Нью-Джерси Nets,3477,7314,1780,2371,34,138,1092,2374,3466,2068,2204,750,1664,458,8768,3612,7159,2010,28,130,2663,1059,2499,3558,2144,2092,815,1637,502,9262,0,0,16,25,8,33,0,0,16,42,4,20,0,24,58,82,19805.0,Атлетический центр Rutgers,32767,NJN
1951,NBA,PHW,GSW,,ED,4,0,DS,Воины Филадельфии,2039,5367,1634,2143,0,0,0,0,3647,1593,1806,0,0,0,5712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5795,421,0,24,7,6,25,3,1,0,0,14,22,0,33,33,66,16015.0,Филадельфия Арена,32767,PHW
1995,NBA,GSW,GSW,WC,PC,6,9,,&quot; Золотые государственные войны &quot;,3056,6700,1775,2340,447,1199,1173,2285,3458,1889,1835,706,1343,470,8334,3206,6753,1564,477,1308,2097,1114,2292,3406,2098,1959,698,1375,385,8453,0,0,23,18,13,28,0,0,22,30,7,17,0,36,46,82,19755.0,Окленд-Аламеда Округ Колизей Арена,32767,GSW
1998,NBA,HOU,HOU,WC,MW,3,5,C1,Хьюстонские ракеты,1755,3798,865,1187,336,914,536,1539,2075,1058,960,386,812,260,4711,1793,4136,779,230,645,1062,664,1391,2055,1034,1030,441,653,245,4595,0,0,19,6,12,13,0,0,28,16,12,9,0,31,19,50,12075.0,Центр &quot; Компак &quot;,32767,HOU
1973,NBA,SEA,SEA,WC,PC,3,6,,Сиэтл Суперзоника,3584,8056,1606,2095,0,0,1323,2706,4029,2106,2074,689,1622,294,8774,3554,7675,1875,0,0,2427,1173,2932,4105,2255,2012,730,1796,355,8983,0,0,22,19,14,27,0,0,21,29,12,14,0,36,46,82,19755.0,Центр Сиэтла &lt; &lt; Колизей &gt; &gt;,32767,SEA
1990,NBA,LAC,LAC,WC,PC,6,10,,Лос-Анджелесские клипперы,3391,7315,1596,2273,113,434,1246,2500,3746,2119,2043,725,1438,507,8491,3337,7151,1901,199,593,2529,1115,2494,3609,1982,1887,773,1316,491,8774,0,0,23,18,8,33,0,0,26,30,10,18,0,31,51,82,19805.0,Лос-Анджелесская мемориальная спортивная арена,32767,LAC
1990,NBA,PHI,PHI,EC,AT,2,5,CS,Филадельфия 76 лет,3289,6925,1868,2366,195,618,984,2496,3480,1824,1629,678,1230,479,8641,3536,7432,1388,196,660,1794,1156,2519,3675,2220,1862,691,1177,391,8656,0,0,29,12,15,26,0,0,32,22,14,12,0,44,38,82,20080.0,Спектр,32767,PHI
1945,NBL,ROC,SAC,,EA,2,0,ВК,Рочестерские королевские власти,732,0,467,0,0,0,0,0,0,0,0,0,0,0,1931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1729,0,0,14,3,10,7,0,0,0,0,0,0,0,24,10,34,,,0,ROC
2006,NBA,NOK,NOH,WC,SW,4,10,,НЕТ/Оклахома Городские Шершени,2971,6673,1436,1941,455,1256,1024,2513,3537,1537,1620,522,1187,347,7833,3004,6579,1395,559,1575,1839,853,2493,3346,1703,1733,554,1119,391,7962,0,0,24,17,15,26,0,0,23,29,6,10,0,39,43,82,19880.0,Центр Форда,32767,
1956,NBA,SYR,PHI,,ED,2,0,DF,Национальные сиракузы,2550,6915,2075,2613,0,0,0,0,4350,1282,1809,0,0,0,7175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7277,413,0,22,9,12,19,4,6,0,0,20,16,0,38,34,72,17380.0,Мемориал войны в Онондаге,32767,SYR
2000,NBA,LAL,LAL,WC,PC,1,2,НС,Лос-Анджелес Лейкерс,3109,6685,1594,2333,439,1275,1085,2583,3668,1888,1872,564,1184,490,8251,2983,6815,1595,413,1168,2114,981,2407,3388,1659,2002,619,1073,324,7974,0,0,31,10,25,16,0,0,34,18,14,10,0,56,26,82,19905.0,Стейплс-центр,32767,LAL
1983,NBA,MIL,MIL,EC,CD,1,2,CF,Милуоки Бакс,3432,6970,1743,2354,59,232,1135,2385,3520,2113,2167,642,1415,489,8666,3207,7033,1869,42,203,2489,1252,2235,3487,1959,2093,653,1404,319,8325,0,0,30,11,20,21,0,0,35,23,19,10,0,50,32,82,19905.0,МЕККА Арена,32767,MIL
2001,NBA,PHI,PHI,EC,AT,4,6,C1,Филадельфия 76 лет,2804,6436,1639,2104,214,715,1092,2534,3626,1638,1645,705,1256,363,7461,2771,6500,1350,438,1322,1798,981,2348,3329,1768,1827,654,1208,458,7330,0,0,22,19,21,20,0,0,31,23,14,11,0,43,39,82,19730.0,Первый союзный центр,32767,PHI
1985,NBA,SEA,SEA,WC,PC,5,11,,Сиэтл Суперзоника,3335,7059,1815,2331,79,300,1145,2256,3401,1977,2168,745,1435,295,8564,3301,6774,1913,57,224,2491,1027,2308,3335,2038,2008,654,1467,406,8572,0,0,24,17,7,34,0,0,23,37,11,19,0,31,51,82,19930.0,Центр Сиэтла &lt; &lt; Колизей &gt; &gt;,32767,SEA
1973,NBA,CHI,CHI,WC,MW,2,2,CF,Чикаго Буллз,3292,7378,1784,2314,0,0,1143,2616,3759,1868,1874,764,1690,316,8368,3336,7246,1425,0,0,1847,1136,2734,3870,1830,2200,614,1880,406,8097,0,0,32,9,21,19,1,0,30,20,13,7,0,54,28,82,19780.0,Чикагский стадион,32767,CHI
1991,NBA,CHH,NOH,EC,CD,6,11,,Шарлотта Шерлотта,3613,7568,1637,2168,117,369,1164,2367,3531,2284,1819,822,1273,309,8980,3717,7495,1661,205,632,2241,1253,2581,3834,2366,1750,621,1392,524,9300,0,0,22,19,9,32,0,0,21,35,10,18,0,31,51,82,19805.0,Шарлотта Колизей,32767,CHA
1982,NBA,KCK,SAC,WC,MW,2,7,,Городские короли Канзаса,3719,7485,1839,2530,51,215,1256,2407,3663,2155,2432,765,1691,409,9328,3531,7250,2107,40,188,2885,1250,2403,3653,1997,2245,809,1716,439,9209,0,0,30,11,15,26,0,0,31,29,18,12,0,45,37,82,19780.0,Кемпер Арена,32767,KCK
1975,NBA,BOS,BOS,EC,AT,1,1,НС,Бостонская кельтика,3527,7901,1654,2120,0,0,1369,2972,4341,1980,2002,561,1609,260,8708,3489,7772,1538,0,0,2074,1037,2659,3696,1835,1895,650,1422,334,8516,0,0,31,10,23,18,0,0,30,16,13,8,0,54,28,82,19755.0,Бостонский сад,32767,BOS
1979,NBA,MIL,MIL,WC,MW,1,2,CS,Милуоки Бакс,3685,7553,1605,2102,50,155,1245,2396,3641,2277,1937,778,1496,510,9025,3456,7487,1714,76,305,2275,1360,2293,3653,2154,1912,717,1638,358,8702,0,0,28,13,21,20,0,0,39,21,15,9,0,49,33,82,19805.0,МЕККА Арена,32767,MIL
2002,NBA,ORL,ORL,EC,AT,4,8,C1,Волшебство Орландо,2947,6763,1616,2079,568,1590,958,2392,3350,1676,1888,696,1177,300,8078,3007,6602,1648,405,1211,2150,970,2596,3566,1837,1823,643,1341,411,8067,0,0,26,15,16,25,0,0,31,23,14,11,0,42,40,82,19805.0,TD Центр водных ресурсов,32767,ORL
1991,NBA,PHO,PHO,WC,PC,3,4,CS,Солнце Феникса,3553,7219,1861,2397,227,596,1088,2558,3646,2202,1852,673,1242,582,9194,3429,7477,1669,180,586,2207,1218,2345,3563,1909,1931,659,1258,493,8707,0,0,36,5,17,24,0,0,34,20,17,13,0,53,29,82,19805.0,Мемориал &lt; &lt; Колизей &gt; &gt; &lt; &lt; Аризона ветеранз &gt; &gt;,32767,PHO
1947,PBLA,CHT,CHT,,SO,4,0,,Чаттануга Майорс,112,0,75,119,0,0,0,0,0,0,102,0,0,0,299,123,0,81,122,0,0,0,0,0,0,97,0,0,0,327,0,0,3,1,0,2,0,0,0,0,0,0,0,3,3,6,,Мемориальная аудитория,0,
1983,NBA,POR,POR,WC,PC,2,3,C1,Портлендские шоссейные блейзеры,3632,7189,1988,2637,25,129,1251,2194,3445,2082,2134,814,1483,397,9277,3566,6943,1797,57,208,2366,1059,2185,3244,2119,2184,649,1633,440,8986,0,0,33,8,15,26,0,0,36,24,17,13,0,48,34,82,19805.0,Мемориал &lt; &lt; Колизей &gt; &gt;,32767,POR
2011,NBA,MIA,MIA,EC,SE,1,0,НС,Отопление в Майами,2446,5212,1238,1598,370,1030,686,2060,2746,1317,1282,585,1002,355,6500,2285,5267,1056,1457,479,1318,727,1897,2624,1297,1356,549,1107,280,6105,0,0,0,0,0,0,0,0,0,0,0,0,0,46,20,0,,,0,
1976,NBA,CHI,CHI,WC,MW,2,6,C1,Чикаго Буллз,3249,7186,1613,2159,0,0,1292,2705,3997,1989,1871,699,1552,364,8111,3306,7095,1425,0,0,1907,1055,2559,3614,1917,2166,723,1598,460,8037,0,0,31,10,13,28,0,0,19,21,10,10,0,44,38,82,19805.0,Чикагский стадион,32767,CHI
2011,NBA,POR,POR,WC,NW,4,0,,Портлендские шоссейные блейзеры,2402,5417,1133,1423,478,1382,735,1949,2684,1349,1251,528,935,322,6415,2476,5349,1062,1421,442,1217,730,2062,2792,1392,1306,499,982,314,6456,0,0,0,0,0,0,0,0,0,0,0,0,0,28,38,0,,,0,
