id,year,coachid,award,lgid,note
5,1966,kerrjo01,НБА Тренер года,NBA,
6,1967,cazzevi01,АБА Тренер года,ABA,
9,1968,shuege01,НБА Тренер года,NBA,
10,1969,sharmbi01,АБА Тренер года,ABA,галстук
13,1970,biancal01,АБА Тренер года,ABA,
14,1970,mottadi01,НБА Тренер года,NBA,
18,1972,heinsto01,НБА Тренер года,NBA,
19,1973,mccarba01,АБА Тренер года,ABA,галстук
20,1973,mullajo01,АБА Тренер года,ABA,галстук
21,1973,scottra01,НБА Тренер года,NBA,
22,1974,brownla01,АБА Тренер года,ABA,
23,1974,johnsph01,НБА Тренер года,NBA,
29,1979,fitchbi01,НБА Тренер года,NBA,
30,1980,mckinja01,НБА Тренер года,NBA,
33,1983,laydefr01,НБА Тренер года,NBA,
34,1984,nelsodo01,НБА Тренер года,NBA,
35,1985,fratemi01,НБА Тренер года,NBA,
44,1994,harride01,НБА Тренер года,NBA,
45,1995,jacksph01,НБА Тренер года,NBA,
47,1997,birdla01,НБА Тренер года,NBA,
48,1998,dunlemi01,НБА Тренер года,NBA,
49,1999,riverdo01,НБА Тренер года,NBA,
51,2001,carliri01,НБА Тренер года,NBA,
55,2005,johnsav01,НБА Тренер года,NBA,
56,2006,mitchsa01,НБА Тренер года,NBA,
61,2011,popovgr01,НБА Тренер года,NBA,
