name,river,lake,sea,length,sourcelongitude,sourcelatitude,mountains,sourcealtitude,estuarylongitude,estuarylatitude
Мурат,,Озеро Кебан,,720.0,44.1,39.55,Курдистан,1950.0,38.75,38.8
Убанги,Заир,,,1120.0,22.5,4.0,,,17.7,-0.8
Ривьер Ришелье,Река Святого Лоуренса,,,124.0,-73.3,45.0,,30.0,-73.1,46.0
&lt; &lt; Шатт аль-Араб &gt; &gt;,,,Персидский залив,193.0,47.44,31.0,,20.0,48.6,29.9
Арувими,Заир,,,1287.0,14.7,-11.3,,,29.5,2.5
Днестр,,,Черное море,1352.0,23.0,49.0,Карпатен,1000.0,30.23,46.35
Южная Морава,Морава,,,295.0,21.4,42.1,,,21.4,43.7
Санага,,Барьер &lt; &lt; Мбакау &gt; &gt;,Атлантический океан,918.0,,,,,9.65,3.55
Тобол,О,,,1591.0,60.8,51.2,Урал,,68.25,58.2
Аллер,Уэсер,,,211.0,11.23,52.1,,130.0,9.18,52.94
Куило,Ква,,,970.0,14.7,-11.3,,,17.4,3.3
Лувуа,Луалаба,,,350.0,28.7,-9.0,Восточноафриканский хребет,931.0,27.0,-7.0
Лулуа,Ква,,,970.0,14.7,-11.3,,,17.4,3.3
Иравадди,,,Андаманское море,2170.0,98.0,29.0,,4300.0,96.0,17.0
Тшуапа,Бусира,,,1300.0,24.5,-3.0,,,20.8,-0.2
Вуокси,,Ozero Ladoga,,162.0,28.75,61.2,,,31.54,60.81
Драу,Донау,,,749.0,12.26,46.73,Альпы,1450.0,18.93,45.54
Ишим,Иртыш,,,2450.0,71.5,52.0,,,71.5,58.0
Сенегал,,,Атлантический океан,1430.0,-12.0,11.5,,,-16.5,15.96
Сирдарья,,Ozero Aral,,2129.0,71.7,41.0,,,60.5,46.0
Po,,,Средиземное море,652.0,7.09,44.7,Альпы,2022.0,12.43,44.95
Парагвай,Парана,,,2549.0,-56.5,-14.5,,,-58.4,-27.3
Заир,,,Атлантический океан,4374.0,25.2,0.5,,,12.0,-6.0
Амур,,,Охотское море,2824.0,121.48,53.33,,305.0,140.73,53.1
Теннесси,Ривер Огайо,Озеро Чикамауга,,1049.0,-83.0,35.2,Аппалачские горы,,-88.63,37.07
Сон,Роун,,,480.0,6.2,48.1,Вогесен,451.0,4.8,45.7
Семлики,,Озеро Сесе Секо/Альбертзе,,230.0,29.6,-0.35,Восточноафриканский хребет,920.0,30.9,1.7
Атбара,Нил,,,1120.0,37.3,12.8,Эфиопские горы,,33.97,17.68
Бахр-эль-Гасаль,Белый Нил,,,716.0,,,,,30.43,9.5
Минсио,Po,,,75.0,10.7,45.4,Альпы,65.0,10.95,45.1
Гудзон Ривер,,,Атлантический океан,493.0,-73.95,44.1,Адирондаки,1309.0,-74.0,40.7
Габариты,,,Бенгальский залив,2511.0,79.5,30.5,,,90.0,22.0
Днепр,,,Черное море,2201.0,34.0,55.5,Уолдай-Хиллз,220.0,32.252,46.5257
Виктория Нил,,Озеро Сесе Секо/Альбертзе,,,33.0,-1.0,Восточноафриканский хребет,1134.0,30.9,1.7
Etsch,,,Средиземное море,415.0,10.5,46.7,Альпы,1525.0,7.09,44.8
Вёрм,Аммер,Старнбергер См.,,35.0,11.35,48.0,,596.0,11.5,48.3
Евфрат,&lt; &lt; Шатт аль-Араб &gt; &gt;,,,2736.0,38.75,38.8,,,47.44,31.0
Река Аллегени,Ривер Огайо,,,523.0,-77.9,41.9,Аппалачские горы,759.0,-80.0,40.42
Чатанга,,,Сибирианское море,1636.0,95.0,68.0,,,115.0,73.0
Вейксель,,,Балтийское море,1047.0,19.01,49.61,Бескиды,1100.0,18.95,54.36
Джубба,,,Индийский океан,1658.0,,,,,42.7,-0.5
Сальзах,Интенсивность,,,225.0,12.11,47.3,Альпы,2300.0,12.92,48.21
