river,country,province
Далаэльв,И,Гавлеборг
Виктория Нил,ЕАС,Уганда
Джокулса Фьоэллум,ИУ,Италия
Саскачеванская река,КН,Альберта
Западная Двина,ЛВ,Латвия
Бахр-эль-Джебель/Альберт-Нил,СУД,Бахр-эль-Газаль
Саар,D,Rheinland Pfalz
Ольт,RO,Харгита
Маас,Нл,Лимбург
Тейсс,Н,Заболки Сатмар
Гуадиана,E,Андалусия
Парана,РЭ,Миссионес
Замбези,МПК,Замбезия
Марн,F,Иль де Франция
Тичино,CH,TI
Брахмапутра,СИН,Ассам
Токантины,КР,Токантины
Паатшоки,SF,Лаппия
Санага,КАМ,Центр
Гуадиана,Р,Эвора
Донау,Н,Будапешт (муниципалитет)
Рио-Лерма,МЕКС,"Мексика, &lt; &lt; Эстадо де &gt; &gt;"
Лимпопо,RSA,Гаутенг
Лена,Р,Иркутская область
Уэлл,ЗРЕ,Уравнение
Рейн,CH,BL
Бенуэ,ВАН,Нигерия
Вааль,RSA,Мпумаланга
Маникуаган,КН,Квебек
Шабель,ЭТО,Эфиопия
Волга,Р,Нижегородская область
Парана,КР,Минас-Жерайс
Оранье,RSA,Свободное государство
&lt; &lt; Рио Гранде &gt; &gt;,США,Техас
Амазонки,КР,Пункт
Таджо,Р,Порталегри
Салуэн,ТДж,Юннан
Бахр-эль-Гасаль,СУД,Aali a Nil
