city,province,country,river,lake,sea
Ангинг,Анхуи,ТДж,Янгце,,
Майами,Флорида,США,,,Атлантический океан
Эль-Ариш,Сина пепел Шамалия,ЕТ,,,Средиземное море
Нагоя,Айти,J,,,Тихоокеанский океан
Братислава,Словакия,SK,Донау,,
Иньчуань,Нинксиа Хуидзу,ТДж,Хванхо,,
Суккур,Пакистан,ПК,Индус,,
Омск,Омская область,Р,Иртыш,,
Патраи,Дхитики Эллас,ГР,,,Средиземное море
Порт Святого Петра,Гернси,ГБГ,,,Канал
Город Джерси,Нью-Джерси,США,Гудзон Ривер,,
Эдмонтон,Альберта,КН,Саскачеванская река,,
Джинан,Шаньдун,ТДж,Хванхо,,
Фестиваль молотка,Финнмарк,Н,,,Море Баренцев
Карлстад,Вармленд,И,Клараэльв,Валенерн,
Сува,Фиджи,ФСО,,,Тихоокеанский океан
Рейноза,Тамаулипас,МЕКС,&lt; &lt; Рио Гранде &gt; &gt;,,
Пожар,Тоскана,I,Арно,,
Шарлотта Амали,Виргинские острова,ВИРГ,,,Карибское море
Может ли То?,Вьетнам,VN,Меконг,,
Будапешт,Будапешт (муниципалитет),Н,Донау,,
Манадо,Индонезия,РИ,,,Море Сулавеси
Банги,Центральноафриканская Республика,РСС,Убанги,,
Джуба,&lt; &lt; Истивайя &gt; &gt;,СУД,Бахр-эль-Джебель/Альберт-Нил,,
Кассель,Гессен,D,Фульда,,
Росарио,Санта-Фе,РЭ,Парана,,
Юйян,Хунан,ТДж,Янгце,,
Матади,Бас Заир,ЗРЕ,Заир,,
Онитша,Нигерия,ВАН,Нигер,,
Рим,Лацио,I,Тибер,,
Готеборг,Готеборг ох Бохус,И,Гётаэльв,,Каттегат
Кустанай,Кустанай,KAZ,Тобол,,
Святой Верхний,Джерси,GBJ,,,Канал
Сан-Висенте,Сан-Паулу,КР,,,Атлантический океан
Бриджпорт,Коннектикут,США,,,Атлантический океан
Аден,Йемен,ДА,,,Аденский залив
Комодоро Ривадавия,Чубут,РЭ,,,Атлантический океан
Хакодат,Хоккайдо,J,,,Японское море
Панаджи,Гоа,СИН,,,Арабское море
Хельван,Эль-Кахира,ЕТ,Нил,,
Tegal,Индонезия,РИ,,,Сундское море
Долина,Ангилья,AXA,,,Атлантический океан
Северный Хартум,Аль-Хартум,СУД,Нил,,
Нагасаки,Нагасаки,J,,,Восточно-Китайское море
Шарлоттаун,Остров принца Эдуарда,КН,,,Атлантический океан
Джибути,Джибути,ДСО,,,Аденский залив
Формоза,Формоза,РЭ,Парагвай,,
Кременчук,Полтавска,UA,Днепр,,
Панкал Пинанг,Индонезия,РИ,,,Южно-Китайское море
Лос-Анджелес,Калифорния,США,,,Тихоокеанский океан
Зальцбург,Зальцбург,A,Сальзах,,
Лулиа,Норрботтен,И,,,Балтийское море
Кил,Шлезвиг Гольштейн,D,,,Балтийское море
Сидней,Новый Южный Уэльс,AUS,,,Тихоокеанский океан
Летающая рыбная бухта,Остров Рождества,XMAS,,,Индийский океан
Корпус Кристи,Техас,США,,,Мексиканский залив
Сианнинг,Хабэй,ТДж,Янгце,,
Порто Вельо,Рондония,КР,Рио Мадейра,,
Гранд-Тёрк,Острова Тёркс и Кайкос,ТУКА,,,Атлантический океан
Райбинск,Ярославская область,Р,Волга,,
Пенанг,Пулау Пинанг,ТЗА,,,Малаккский пролив
Эль-Уксур,Кена,ЕТ,Нил,,
Хартфорд,Коннектикут,США,Река Коннектикут,,
Багдад,Багдад,ИРК,Тигр,,
Пиреус,Аттики,ГР,,,Средиземное море
Аль-Хиллах,Бабиль,ИРК,Евфрат,,
Хамар,Хедмарк,Н,,Мьоза-Смотри.,
Фукуока,Фукуока,J,,,Японское море
Хабаровский,Хабаровский крей,Р,Амур,,
Сан-Луис,Маранхао,КР,,,Атлантический океан
Пиза,Тоскана,I,Арно,,
Такамацу,Кагава,J,,,Тихоокеанский океан
Акита,Акита,J,,,Японское море
Kirkwall,Оркни,ГБ,,,Северное море
Туры,Центр,F,Луар,,
Оломоук,Североморавский,CZ,март,,
Вухан,Хабэй,ТДж,Янгце,,
Волы,Фессалия,ГР,,,Средиземное море
Сент-Пьер,Сент-Пьер и Микелон,СПМИ,,,Атлантический океан
Бодо,Нордленд,Н,,,Норвежское море
Хору,Бадахшони Куни,TAD,Пьэндш,,
Коломбо,Шри-Ланка,Кл,,,Индийский океан
Саскатун,Саскачеван,КН,Саскачеванская река,,
Каваратти,Лаксхадвип - это.,СИН,,,Арабское море
Белем,Пункт,КР,Токантины,,Атлантический океан
Лимон,Лимон,ЧР,,,Карибское море
