country,target
ГБЦ,Кристиан
КБК,Кристиан
SF,Кристиан
NAU,Кристиан
ФПОЛ,Кристиан
COCO,нехристианские
ФШМ,Кристиан
КИР,Кристиан
МПГ,нехристианские
КОК,Кристиан
NEP,нехристианские
РМ,Кристиан
BS,Кристиан
СП,нехристианские
RCH,Кристиан
Н,Кристиан
DZ,нехристианские
ТУКА,Кристиан
WS,Кристиан
Мэйо,нехристианские
ОМТС,Кристиан
ПК,нехристианские
D,Кристиан
РБ,Кристиан
РН,нехристианские
И,Кристиан
МАКХ,нехристианские
ЭТО,нехристианские
G,Кристиан
RO,Кристиан
ЛС,Кристиан
РШМ,Кристиан
ВАЛ,нехристианские
К,нехристианские
ЛБ,нехристианские
СУД,нехристианские
БиГ,нехристианские
Р,Кристиан
МСП,нехристианские
СПМИ,Кристиан
HCA,Кристиан
МНП,Кристиан
PL,Кристиан
С.А.,нехристианские
ЛАР,нехристианские
ТА,нехристианские
БРУ,нехристианские
ТТ,Кристиан
РИ,нехристианские
Кейм,Кристиан
КАМ,Кристиан
М,Кристиан
COM,нехристианские
AXA,Кристиан
БОЛ,Кристиан
РЭ,Кристиан
V,Кристиан
WL,Кристиан
