name,code,capital,province,area,population
Германия,D,Берлин,Берлин,356910.0,83536115
Свазиленд,УР,Мбабан,Свазиленд,17360.0,998730
Чешская Республика,CZ,Прага,Праха,78703.0,10321120
Румыния,RO,Бухарест,Букурести,237500.0,21657162
Мозамбик,МПК,Мапуту,Мапуту (муниципалитет),801590.0,17877927
Непал,NEP,Катманду,Непал,140800.0,22094033
Остров Св. Елены,HELX,Джеймстаун,Остров Св. Елены,413.0,7637
Китай,ТДж,Пекин,Пекин (муниципальный),9596960.0,1210004956
Италия,I,Рим,Лацио,301230.0,57460274
Руанда,РВА,Кигали,Руанда,26340.0,6853359
Литва,ЛТ,Вильнюс,Литва,65200.0,3646041
Туркменистан,ТМ,Ашхабад,Ахал,488100.0,4149283
Судан,СУД,Хартум,Аль-Хартум,2505810.0,31547543
Украина,UA,Киев,Киевска,603700.0,50864009
Гвинея,RG,Конакри,Гвинея,245860.0,7411981
Габон,G,Либревиль,Габон,267670.0,1172798
Южная Корея,ОК,Сеул,Южная Корея,98480.0,45482291
Гватемала,СУА,Город Гватемала,Гватемала,108890.0,11277614
Камбоджа,К,Пномпень,Камбоджа,181040.0,10861218
Сент-Китс и Невис,KN,Бастер,Сент-Китс и Невис,269.0,41369
Вьетнам,VN,Ханой,Вьетнам,329560.0,73976973
Аруба,ARU,Оранжестад,Аруба,193.0,103065
Острова Кука,КОК,Аваруа,Острова Кука,240.0,11870
Таджикистан,TAD,Душанбе,Душанбе (шум),143100.0,5916373
Аргентина,РЭ,Буэнос-Айрес,Федеральный департамент,2766890.0,34672997
Либерия,ЛБ,Монровия,Либерия,111370.0,2109789
Сингапур,SGP,Сингапур,Сингапур,632.6,3396924
Нидерланды,Нл,Амстердам,Норд Холланд,37330.0,15568034
Сирия,СИР,Дамаск,Сирия,185180.0,15608648
Грузия,ГЭ,Тбилиси,Грузия,69700.0,5219810
Центральноафриканская Республика,РСС,Банги,Центральноафриканская Республика,622980.0,3274426
Иран,IR,Тегеран,Тегеран,1648000.0,66094264
Самоа,WS,Апиа,Самоа,2860.0,214384
Французская Полинезия,ФПОЛ,Папа,Французская Полинезия,4167.0,287032
Йемен,ДА,Сана,Йемен,527970.0,13483178
Сент-Мартин,СМАРТ,Мариго,Сент-Мартин,54.0,29820
Эфиопия,ЭТО,Аддис-Абеба,Эфиопия,1127130.0,57171662
Кения,ЭАК,Найроби,Найроби,582650.0,28176686
Босния и Герцеговина,БиГ,Сараево,Босния и Герцеговина,51233.0,2656240
Чад,TCH,Нджамена,Чад,1284000.0,6976845
Индонезия,РИ,Джакарта,Индонезия,1919440.0,206611600
Колумбия,CO,Богота,"Санта-Фе де Богота, округ Колумбия",1138910.0,36813161
Бангладеш,БД,Дакка,Бангладеш,144000.0,123062800
Воссоединение,ВРЕМЯ,Сент-Денис,Воссоединение,2510.0,679198
Майотта,Мэйо,Мамуцу,Майотта,374.0,223765
Новая Каледония,НКА,Нумеа,Новая Каледония,19060.0,227436
Индией,СИН,Дели,Дели,3287590.0,952107694
