mountain,island
Ю Шан,Тайвань
Сильвисили,Саваи
Фого,Фого
Ла Суфриер,Басс-Терре
Виктория,Вити Леву
Г-н Бабель,Остров Рене Левассеур
Руапеху,Те Ика-а-Мауи (Северный остров)
Тамбора,Сумбава
Мерапи,Ява
Попоманасей,Гвадалканал
Пико Туркино,Куба
Вильгельм,Новая Гвинея
Piton des Neiges,Воссоединение
Суфриер Хиллз,Монтсеррат
Piton de la Fournaise,Воссоединение
Циафаявона,Мадагаскар
Гунунг Бинайя,Церам
Псилорит,Крета
Семеру,Ява
Гилуве,Новая Гвинея
Гунунг Агунг,Бали
Жима,Олкхон
Андрингитра,Мадагаскар
Пинатубо,Лузон
Снэфелл,Италия
Монт-Орохена,Таити
Монте Синто,Корс
Pico Basile,Биоко
Концепция,Айла да Ометепе
Панчак Джая,Новая Гвинея
Царатанана,Мадагаскар
Серро-де-Пунта,Пуэрто-Рико
Mt. Balbi,Бугенвиль
Мауна Луа,Гавайи
Халекала,Мауи
Пико де Сан-Томе,Сан-Томе
Бен Невис,Великобритании
Пели,Мартиника
Ринджани,Ломбок
Oraefajokull,Италия
Кинабалу,Борнео
Королева Марис Пик,Тристан-да-Кунья
Голубая гора,Чили
Г-н Один,Остров Баффин
Канлаон,Негры
Этна,Сицилия
Барбо Пик,Остров Эллесмир
Суфриер,Сент-Винсент
Рантекомбола,Сулавеси
Гора Апо,Минданао
Керинчи,Суматра
Пико де Тейд,Тенерифа
