country1,country2,length
A,D,784.0
B,D,167.0
CH,D,334.0
CZ,D,646.0
D,ДК,68.0
И ДОЛЖНОСТНЫЕ ЛИЦА,F,60.0
B,F,620.0
CH,F,573.0
D,F,451.0
E,F,623.0
B,Нл,450.0
D,Нл,577.0
Клянусь!,PL,605.0
CZ,PL,658.0
D,PL,456.0
ЛТ,PL,91.0
БВ,ТДж,470.0
РММ,SN,419.0
Ил,СИР,76.0
BZ,МЕКС,250.0
SN,ВАГ,740.0
КАМ,ВАН,1690.0
ЕАС,ЗРЕ,765.0
JOR,С.А.,728.0
КР,YV,2200.0
CI,GH,668.0
ЕТ,Ил,255.0
KGZ,ТДж,858.0
Бен,РН,266.0
КР,PY,1290.0
БГ,ГР,494.0
КР,CO,1643.0
ЭАК,ЕАС,933.0
КАМ,G,298.0
РБ,RSA,1840.0
AL,МНП,172.0
РСС,КБК,467.0
BZ,СУА,266.0
