name,area,longitude,latitude
Ферло,70000.0,-14.0,15.0
Арабская пустыня,50000.0,26.0,33.0
Азауад,80000.0,0.0,20.0
Большой бассейн,300000.0,-117.0,38.0
Великий Эрг Эст,150000.0,8.0,31.0
Намиб,95000.0,15.0,-25.0
Пустыня,13000.0,141.0,-29.0
Хамада дю Драа,35000.0,,
Дарфур,500000.0,27.0,15.0
Калахари,1200000.0,21.0,-22.0
Хамада аль-Хамра,84000.0,12.0,30.0
Дашт-е-Кавир,77600.0,55.0,32.5
Кум Таг,22000.0,92.0,40.0
Нефуд,78000.0,42.0,28.0
Нубийская пустыня,50000.0,21.0,32.0
Эрг Ребиана,200000.0,22.0,23.0
Руб аль-Чали,780000.0,51.0,21.0
Эрг Мактейр,40000.0,-11.0,22.0
Пустыня Симпсон,176500.0,137.0,-25.0
Большая песчаная пустыня,360000.0,123.0,-20.0
Каракум,400000.0,60.0,40.0
Mojave,57000.0,-115.2,36.2
Фесан,300000.0,13.0,26.0
Танами,37500.0,130.0,-20.0
Сонора,320000.0,-113.0,32.0
