sea1,sea2
Восточно-Китайское море,Тихоокеанский океан
Восточно-Китайское море,Японское море
Атлантический океан,Средиземное море
Северный Ледовитый океан,Атлантический океан
Малаккский пролив,Южно-Китайское море
Море Баренцев,Сибирианское море
Атлантический океан,Северное море
Аденский залив,Красное море
Восточно-Китайское море,Южно-Китайское море
Индийский океан,Тихоокеанский океан
Атлантический океан,Канал
Японское море,Желтое море
Черное море,Азовское море
Индийский океан,Сундское море
Северное море,Скагеррак
Северное море,Канал
Тихоокеанский океан,Сундское море
Андаманское море,Бенгальский залив
Южно-Китайское море,Сундское море
Балтийское море,Северное море
Тихоокеанский океан,Охотское море
Арабское море,Аденский залив
Тихоокеанский океан,Южно-Китайское море
Бенгальский залив,Сундское море
Андаманское море,Малаккский пролив
Атлантический океан,Норвежское море
Черное море,Средиземное море
Тихоокеанский океан,Японское море
Северный Ледовитый океан,Сибирианское море
Японское море,Охотское море
Восточно-Китайское море,Желтое море
Андаманское море,Индийский океан
Атлантический океан,Тихоокеанский океан
Арабское море,Оманский залив
Атлантический океан,Мексиканский залив
Арабское море,Индийский океан
Атлантический океан,Карибское море
Каттегат,Скагеррак
Бенгальский залив,Тихоокеанский океан
Беременное море,Тихоокеанский океан
Южно-Китайское море,Море Сулавеси
Тихоокеанский океан,Море Сулавеси
Аденский залив,Индийский океан
Карибское море,Мексиканский залив
Море Сулавеси,Сундское море
Атлантический океан,Ирландское море
