country,organization,type
ЕАС,ЮНЕСКО,Член
BS,ВПС,Член
MS,Интелсат,Член
BS,ЮНЕСКО,Член
И,МВФ,Член
Z,МОК,Национальный олимпийский комитет
CZ,ZC,Член
ЛАР,ИБР,Член
БД,ВПС,Член
GQ,FZ,Член
М,МКСП,Член
ПНГ,АКТ,Член
ДА,МФОКК,Член
США,О-2,Член
MK,ЮНИДО,Член
ДЖА,WFTU,Член
UA,СПРООН,Член
КАМ,WTRO,Член
ES,БКИ,Член
РВА,МФСР,Категория III
HR,Интерпол,Член
AZ,ЮНИДО,Член
ЕС,ДН,Член
SLO,ОМЧП,Член
MD,МАР,Часть II
ЗРЕ,Интелсат,Член
Новой Зеландии,МФСР,Категория I
С.А.,Интелсат,Член
DZ,Интелсат,Член
IRL,МФОКК,Член
F,ЭСКАТО,Член
CZ,ФАО,Член
NEP,Интелсат,Член
HR,ДН,наблюдатель
МЬЯ,МКПТ,Национальное общество
РСС,ВПС,Член
ЕТ,ВОИС,Член
D,ОАГ,наблюдатель
