name,country,province,population,longitude,latitude
Hohhot,ТДж,Нэй Монголь,652534.0,113.0,41.0
Санта-Ана,ES,Сальвадор,202337.0,,
Усть-Илимск,Р,Иркутская область,110000.0,,
Тумбы,ПЭ,Тумбы,,,
Чимойо,МПК,Маника,108818.0,,
Браззавиль,КБК,Конго,,15.25,-4.25
Эффон Алайе,ВАН,Нигерия,135000.0,,
Морено долина,США,Калифорния,118779.0,,
Топека,США,Канзас,119883.0,-95.6333,39.0667
Архангелск,Р,Архангельская область,374000.0,40.5333,64.55
Чимбот,ПЭ,Наличными,268979.0,,
Гаухати,СИН,Ассам,584342.0,,
Воронеж,Р,Воронежская область,908000.0,,
Маринга,КР,Парана,267878.0,,
Такна,ПЭ,Такна,174336.0,,
Ксалапа Энрикес,МЕКС,Веракрус,279451.0,,
Остролека,PL,Остролеки,,,
Мокегуа,ПЭ,Мокегуа,,,
Ульхаснагар,СИН,Махараштра,369077.0,,
Мардин,ТR,Мардин,,,
Менонг,АНГ,Куандо Кубинго,,,
Аккра,GH,Гана,867459.0,-0.2,5.55
Пардубица,CZ,Виходосекский,163000.0,,
Ярославл,Р,Ярославская область,629000.0,,
Синоп,ТR,Синоп,,,
Ташкент,Юзеф,Тоскент,2106000.0,69.3,41.3333
Сяоган,ТДж,Хабэй,166280.0,,
Сьюдад Боливар,YV,Боливар,225340.0,,
Бенин,ВАН,Нигерия,203000.0,,
Луанда,АНГ,Луанда,,13.2,-8.6
Гэри,США,Индианаa,116646.0,,
Калиан,СИН,Махараштра,1014557.0,,
Монтгомери,США,Алабама,190350.0,-86.3667,32.3833
Кезон,РП,Филиппины,1989000.0,,
Киквит,ЗРЕ,Бандунду,182142.0,,
Ла-Пас,HCA,Ла-Пас,,,
Оланчито,HCA,Йоро,15900.0,,
Пуэрто-Лемпира,HCA,Грациалы,,,
Уорвик,ГБ,Уорвикшир,118600.0,,
Медан,РИ,Индонезия,1730752.0,98.6833,3.58333
Хильдесхайм,D,Нидераксен,106095.0,,
Тавой,МЬЯ,Тадемарий,,,
Такамацу,J,Кагава,,,
Бийск,Р,Альтайский крей,228000.0,,
Рио-Бранко,КР,Акре,228907.0,-67.5,-9.5
Прайа Гранде,КР,Санта-Катарина,150574.0,,
Тханги,МЬЯ,Шан,108200.0,,
Итаги,CO,Антиокия,169374.0,,
Батом,PL,Катовики,230000.0,,
Как Самава,ИРК,Аль-Мутанна,,,
Торонто,КН,Онтарио,635395.0,-79.5,43.5
Спрингфилд,США,Массачусетс,156983.0,,
Мейдж,КР,Рио-де-Жанейро,180550.0,,
Пхеньян,Норк,Северная Корея,2335000.0,125.683,39.0333
Ларкана,ПК,Пакистан,123890.0,,
Шибин-эль-Ком,ЕТ,Эль-Минуфия,136000.0,,
Тамбов,Р,Тамбовская область,316000.0,,
Сан-Хосе-ду-Рио-Прето,КР,Сан-Паулу,323418.0,,
