country,continent,percentage
ИРК,Азия,100.0
KGZ,Азия,100.0
МВ,Азия,100.0
PY,Америки,100.0
МАКХ,Азия,100.0
АГ,Америки,100.0
AXA,Америки,100.0
IRL,Европа,100.0
РГ,Америки,100.0
IR,Азия,100.0
ПНГ,Австралия/Океания,100.0
ЧП,Африка,100.0
ГБ,Европа,100.0
АМСА,Австралия/Океания,100.0
WS,Австралия/Океания,100.0
ЕАТ,Африка,100.0
WD,Америки,100.0
РММ,Африка,100.0
МАРТ,Америки,100.0
JOR,Азия,100.0
ЭВ,Европа,100.0
GBJ,Европа,100.0
AUS,Австралия/Океания,100.0
ВРЕМЯ,Австралия/Океания,100.0
ТМ,Азия,100.0
ЗРЕ,Африка,100.0
ДН,Африка,100.0
KOS,Европа,100.0
Парень,Америки,100.0
СМАРТ,Америки,100.0
СУД,Африка,100.0
ГРОКС,Америки,100.0
ВАФА,Австралия/Океания,100.0
HCA,Америки,100.0
МНТ,Америки,100.0
NAU,Австралия/Океания,100.0
ZW,Африка,100.0
SLB,Австралия/Океания,100.0
МПГ,Азия,100.0
CH,Европа,100.0
БД,Азия,100.0
MD,Европа,100.0
МЕКС,Америки,100.0
КОК,Австралия/Океания,100.0
ТЗА,Азия,100.0
UA,Европа,100.0
WL,Америки,100.0
Ру,Америки,100.0
РИ,Австралия/Океания,20.0
СП,Африка,100.0
ГБГ,Европа,100.0
МПК,Африка,100.0
SF,Европа,100.0
СПМИ,Америки,100.0
CV,Африка,100.0
МК,Европа,100.0
ФСО,Австралия/Океания,100.0
ВАГ,Африка,100.0
ГНБ,Африка,100.0
БОЛ,Америки,100.0
DZ,Африка,100.0
ЛБ,Африка,100.0
KN,Америки,100.0
КБК,Африка,100.0
Н,Европа,100.0
ПЭ,Америки,100.0
SK,Европа,100.0
ДЖА,Америки,100.0
Н,Европа,100.0
Кл,Азия,100.0
L,Европа,100.0
ЛАР,Африка,100.0
ГБЦ,Европа,100.0
RSA,Африка,100.0
РШМ,Европа,100.0
