name,mountains,height,type,longitude,latitude
Альпамайо,Кордильера Бланка,5947.0,,-77.7,-8.9
Барбо Пик,Британская империя,2616.0,,-75.0,81.9
Пели,,1397.0,вулкан,-61.15,14.8
Снэфелл,,1833.0,вулканическое,-15.2,64.5
Piton des Neiges,,3069.0,вулканическое,55.5,-21.1
Пик Хамфриса,Скалистые горы,3850.0,вулканическое,-111.65,35.3
Невадо де Колима,Кордильера Вулканика,4330.0,вулкан,-104.0,20.0
Бабушка Сассо,Апеннин,2912.0,,13.55,42.5
Гора Эверест,Гималаи,8848.0,,86.9,28.0
Сильвисили,,1858.0,вулканическое,-172.4,-13.6
Mt Hood,Диапазон каскадов,3424.0,вулкан,-121.5,45.2
Г-н Бабель,,952.0,,-68.7,51.45
Мауна Луа,Гавайи,4170.0,вулкан,-155.6,19.5
Пик Победа,Тянь Шан,7439.0,,80.1,42.0
Гунунг Агунг,,3142.0,вулкан,115.5,-8.3
Тупангато,Анды,6550.0,вулкан,-69.87,-33.35
Псилорит,Крит,2456.0,,24.7,35.2
Меру,Восточноафриканский хребет,4567.0,вулкан,36.8,-3.2
Гора Апо,,2954.0,вулканическое,125.45,7.0
Фельдберг,Шварцвальд,1493.0,,7.5,47.5
Ключевская Сопка,Камчатка,4750.0,вулкан,160.6,56.1
Мавензи,Восточноафриканский хребет,5148.0,вулкан,37.45,-3.1
Изтациуатль,Кордильера Вулканика,5286.0,вулканическое,-98.6,19.2
Пик Чан-Тенгри,Тянь Шан,6995.0,,80.0,43.0
Герлаховский Стит,Бескиды,2655.0,,20.1,49.2
Монт-Орохена,,2241.0,вулканическое,-149.5,-17.6
Гран-Парадисо,Альпы,4061.0,,7.25,45.5
Джабал Марра,Дарфур,3088.0,вулканическое,24.6,13.0
Сулитжелма,,1914.0,,16.2,67.1
Пиз Бернина,Альпы,4048.0,,9.9,46.4
Диаблотины морна,,1447.0,вулкан,-61.4,15.5
Г-н Богонг,Снежные горы,1986.0,,147.5,-37.0
Зугспитц,Альпы,2963.0,,11.1,47.3
Пинатубо,,1486.0,вулкан,120.3,15.1
Г-н Косцийко,Снежные горы,2228.0,,148.0,-36.5
Финстераархорн,Альпы,4274.0,,8.1,46.5
Mt Elbert,Скалистые горы,4401.0,,-106.4,39.1
Халекала,Гавайи,3055.0,вулкан,-156.25,20.7
Lhotsse,Гималаи,8516.0,,86.9,28.0
Граница,Сьерра-Невада Калифорния,4006.0,,-118.3,37.9
Ллульяльяко,Анды,6739.0,вулкан,-68.5,-24.7
Шникоппе,Судьбы,1602.0,,15.7,50.7
Харни Пик,Скалистые горы,2207.0,,-103.4,44.0
Иллюминатор,Кордильера реальность,6368.0,Гранит,-68.5,-15.8
Ла Суфриер,,1467.0,вулкан,-61.65,16.05
Уиллер Пик,Скалистые горы,4011.0,,-105.4,36.55
Пулог,,2928.0,вулканическое,121.0,17.0
Невадо де Толука,Кордильера Вулканика,4558.0,вулкан,-99.0,19.0
Большой Баллон,Влагалище,1424.0,,7.1,47.9
Сабалан,Курдистан,4811.0,вулканическое,47.8,38.3
Керинчи,,3805.0,вулкан,101.45,-1.7
Короли пик,Скалистые горы,4123.0,,-110.4,40.5
Тахат,Ахаггер,3003.0,вулканическое,5.5,23.3
