country,name,percentage
ARM,Азербайджан,3.0
Кейм,Черный,20.0
ЗАХОД,Еврейский,17.0
РТ,Африка,99.0
JOR,Армянский,1.0
МПГ,Монголь,90.0
HR,словенский,0.5
ПДТ,Европейцы,100.0
KAZ,Немецкий,4.7
MD,Гагауз,3.5
KAZ,Украинский,5.2
ЛТ,Литовский,80.1
ЕАС,Руанда,6.0
Z,Европейская,1.1
МЬЯ,Берман,68.0
БВ,Шот,50.0
PL,Украинский,0.6
SLO,Сербский,2.0
WL,Восточная Индия,3.2
Н,Рома,4.0
KGZ,Киргиз,52.4
MD,Украинский,13.8
БРУ,Китайцы,20.0
БиГ,Мусульмане,38.0
Р,Украинский,3.0
СУА,Индейцы индейцы,44.0
Р,Русский,81.5
КОК,Полинезийский,93.5
CZ,Венгерский,0.2
AZ,Русский,2.5
ФАЛК,Кристиан,67.2
ЛВ,Белорусский,4.5
AZ,Армянский,2.3
ЛВ,Украинский,3.4
БВ,Непал,35.0
PL,Немецкий,1.3
ЭАК,Меру,6.0
Р,Татар,3.8
МНП,Боснийцыk,8.0
HELX,Белый,25.0
SK,Словацкий,85.7
РСС,MBaka,4.0
HR,Хорватский,78.0
JOR,Арабский,98.0
TAD,Русский,3.5
AUS,Белый,95.0
NAU,Европейская,8.0
ЭТО,Сомали,6.0
SN,Тукулёр,9.0
SN,Фулани,17.0
РТ,Европейская сирийско-ливанская,1.0
KAZ,Русский,37.0
МЬЯ,Китайцы,3.0
B,Валлония,33.0
SK,Венгерский,10.7
РИМ,Черный мавр,40.0
RO,Рома,1.6
РИ,Мадурез,7.5
ТЗА,Китайцы,32.0
ЕАС,Баганда,17.0
Р,Молдавский,0.7
NAU,Науру,58.0
RCH,Европейская европейско-индийская,95.0
УР,Африка,97.0
МАРТ,Китайцы,5.0
КАМ,Северо-западный Банту,8.0
СУД,Беджа,6.0
AZ,Азербайджан,90.0
РН,Туарег,8.0
Клянусь!,Русский,13.2
SK,Украинский,0.3
D,Греческий,0.4
IR,Арабский,3.0
LAO,Лао Сун Хмонг Яо,9.0
ЧП,Тигре Кунама,40.0
RSA,Индейцы,2.6
ЕАС,Басого,8.0
CI,Маклинке,11.0
Кейм,Белый,20.0
ФЛ,Алеманский,95.0
КАМ,Фулани,10.0
Кейм,Смешанные,40.0
ЛВ,Русский,33.8
