desert,country,province
Руб аль-Чали,ОАЭ,Абу-Даби
Калахари,ДН,Намибия
Кысилкум,Юзеф,Каракальпогистон
Сонора,США,Калифорния
Большой бассейн,США,Юта
Азауад,РММ,Мали
Гоби,МПГ,Монголия
Ферло,SN,Луга
Пустыня,AUS,Северная территория
Thar,СИН,Гуджарат
Эрг Чеч,РММ,Мали
Сонора,США,Аризона
Ливийская пустыня,ЛАР,Ливия
Калахари,Z,Западный
Такла-Макан,ТДж,Синьцзян Уйгур
Чиуауа,США,Техас
Большая песчаная пустыня,AUS,Западная Австралия
Гоби,ТДж,Нэй Монголь
Руб аль-Чали,ОАЭ,Аль-Фуджайра
Ферло,SN,Сент-Луис
Ust Urt,KAZ,Aqtobe
Ливийская пустыня,СУД,Дарфур
Площадь Нулларбора,AUS,Южная Австралия
Ливийская пустыня,ЕТ,Эль-Вади-эль-Джадид
Эрг Чеч,DZ,Алжир
Эрг Мактейр,РИМ,Мавритания
Руб аль-Чали,РОУ,Оман
Дашт-е-Лут,IR,Эсфахан
Гоби,ТДж,Нинксиа Хуидзу
Сонора,МЕКС,Сонора
Руб аль-Чали,ДА,Йемен
Эрг Игиди,РИМ,Мавритания
Thar,СИН,Харьяна
Талак,РН,Нигер
Thar,ПК,Пакистан
Эрг Игиди,РММ,Мали
Пустыня Симпсон,AUS,Северная территория
Тенере,TCH,Чад
Чиуауа,США,Новая Мексика
Организация &lt; &lt; Организация Объединенных Наций &gt; &gt;,ТДж,Цинхай
Эрг Уаран,РИМ,Мавритания
Ust Urt,Юзеф,Каракальпогистон
Дашт-е-Кавир,IR,Хорасан
Каракум,Юзеф,Каракальпогистон
Руб аль-Чали,С.А.,Саудовская Аравия
Пустыня Гибсон,AUS,Западная Австралия
Пустыня в Нижней Калифорнии,МЕКС,Нижняя Калифорния
Кысилкум,Юзеф,Самарканд
Великий Эрг Эст,DZ,Алжир
Большая пустыня Соленого озера,США,Юта
