island,country,province
Великобритании,ГБ,Гвинедд
Князь острова Уэльс,КН,Северо-западные территории
Куба,C,Сьенфуэгос
Молокай,США,Гавайи
Хонсю,J,Ямагата
Суматра,РИ,Индонезия
Филикуди,I,Калабрия
Великобритании,ГБ,Торфаен
Гомера,E,Канарские острова
Куба,C,Тунецы
Великобритании,ГБ,Гумберсайд
Фор,D,Шлезвиг Гольштейн
Сент-Китс,KN,Сент-Китс и Невис
Гавайи,США,Гавайи
Великобритании,ГБ,Оксфордшир
Мартиника,МАРТ,Мартиника
Великобритании,ГБ,Ньюпорт
Ниуэ,НЬЮ,Ниуэ
Косс,ГР,Звук Айяон
Сингапур,SGP,Сингапур
Хонсю,J,Вакаяма
Сент-Томас,ВИРГ,Виргинские острова
Фуэртевентура,E,Канарские острова
Тристан-да-Кунья,HELX,Остров Св. Елены
Озель,ЭВ,Литва
Саваи,WS,Самоа
Гернси,ГБГ,Гернси
Фейлиал,Р,Азоры
Науру,NAU,Науру
Сан-Томе,ПДТ,Сан-Томе и Принсипи
Великобритании,ГБ,Стаффордшир
Шетландский материк,ГБ,Шетланд
Хонсю,J,Гифу
Лолланд,ДК,Дания
Борнхольм,ДК,Дания
Вестрей,ГБ,Оркни
Тайвань,КР,Тайвань
Великобритании,ГБ,Дэнбишир
Великобритании,ГБ,Западные Мидленды
Великобритании,ГБ,Нортгемптоншир
Вангерож,D,Нидераксен
Лампедуза,I,Сицилия
Ибица,E,Балеарские острова
Сент-Мартин,СМАРТ,Сент-Мартин
Нантакет,США,Массачусетс
Великобритании,ГБ,Лестершир
Бальтрум,D,Нидераксен
Остров Сан-Мигель,США,Калифорния
Борнео,БРУ,Бруней
