abbreviation,name,city,country,province,established
ЕКА,Европейское космическое агентство,Париж,F,Иль де Франция,1973-07-31
ОЧЭС,Зона Черноморского экономического сотрудничества,,,,1992-06-25
КМООНА III,Контрольная миссия Организации Объединенных Наций в Анголе,Нью-Йорк,США,Нью-Йорк,1988-12-20
О-3,Группа 3,,,,1990-10-01
WTRO,Всемирная торговая организация,,,,1994-04-15
МУС,Международная торговая палата,Париж,F,Иль де Франция,1919-01-01
Интерпол,Международная организация уголовной полиции,Лион,F,Рон-Алпес,1956-06-13
АМП,Арабский валютный фонд,Абу-Даби,ОАЭ,Абу-Даби,1976-04-27
О-7,Группа 7,,,,1985-09-22
СЕ,Совет Европы,Страсбург,F,Alsace,1949-05-05
АТЭС,Азиатско-тихоокеанское экономическое сотрудничество,Сингапур,SGP,Сингапур,1989-11-07
ОАЕ,Организация африканского единства,Аддис-Абеба,ЭТО,Эфиопия,1963-05-25
МНООНТ,Миссия наблюдателей Организации Объединенных Наций в Таджикистане,Нью-Йорк,США,Нью-Йорк,1994-12-16
ЭКЛАК,Экономическая комиссия для Латинской Америки и Карибского бассейна,Сантьяго,RCH,Чили,1948-02-25
МАГАТЭ,Международное агентство по атомной энергии,Вена,A,Вена,1956-10-26
Кариком,Карибское сообщество и Общий рынок,Джорджтаун,Парень,Гайана,1973-07-04
ВСООНЛ,Временные силы Организации Объединенных Наций в Ливане,Нью-Йорк,США,Нью-Йорк,1978-03-19
ЮНЕСКО,"Организация Объединенных Наций по вопросам образования, науки и культуры",Париж,F,Иль де Франция,1945-11-16
ЭКА,Экономическая комиссия для Африки,Аддис-Абеба,ЭТО,Эфиопия,1958-04-29
АНК,Совет сотрудничества в Северной Атлантике,Брюссель,B,Брабант,1991-11-08
ОНВУП,Организация Объединенных Наций по наблюдению за выполнением условий перемирия,Иерусалим,Ил,Центральный,1948-05-01
АКТ,"Страны Африки, Карибского бассейна и Тихоокеанского региона",Брюссель,B,Брабант,1976-04-01
СБС,Совет государств Балтийского моря,,,,1992-03-05
ДН,Движение неприсоединения,Джакарта,РИ,Индонезия,1961-09-01
КСП,Южнотихоокеанская комиссия,Нумеа,НКА,Новая Каледония,1947-02-06
О-6,Группа 6,,,,1984-05-22
О-9,Группа 9,,,,
ВОТ,Всемирная туристская организация,Мадрид,E,Мадрид,1975-01-02
МФОКК,Международная федерация обществ Красного Креста и Красного Полумесяца,Женева,CH,ГЭ,1919-05-05
Интелсат,Международная организация спутниковой связи,Вашингтон,США,ЕВРОПЕЙСКАЯ ЭКОНОМИЧЕСКАЯ КОМИССИЯ,1971-08-20
ЦЕИ,Центральноевропейская инициатива,Будапешт,Н,Будапешт (муниципалитет),1991-07-27
ГВНООНИП,Группа военных наблюдателей Организации Объединенных Наций в Индии и Пакистане,Нью-Йорк,США,Нью-Йорк,1948-08-13
ИСО,Международная организация по стандартизации,Женева,CH,ГЭ,1947-02-01
СНГ,Содружество Независимых Государств,Минск,Клянусь!,Беларусь,1991-12-08
АФЭСР,Арабский фонд экономического и социального развития,,,,1968-05-16
ЦЕРН,Европейская организация ядерных исследований,Женева,CH,ГЭ,1953-07-01
О-5,Группа 5,,,,1985-09-22
Группа 15,Группа 15,Женева,CH,ГЭ,
АБЕДА,Арабский банк экономического развития в Африке,Хартум,СУД,Аль-Хартум,1974-02-18
МАБР,Межамериканский банк развития,Вашингтон,США,ЕВРОПЕЙСКАЯ ЭКОНОМИЧЕСКАЯ КОМИССИЯ,1959-04-08
МКПТ,Международное движение Красного Креста и Красного Полумесяца,Женева,CH,ГЭ,1928-01-01
ЮНКТАД,Конференция Организации Объединенных Наций по торговле и развитию,Женева,CH,ГЭ,1964-12-30
ТСЮА,Таможенный союз южной части Африки,Претория,RSA,Гаутенг,1969-12-11
АНЗЫ,Договор о безопасности между Австралией и Новой Зеландией и Соединенными Штатами,Канберра,AUS,Австралийская столичная территория,1951-09-01
АСЕАН,Ассоциация государств Юго-Восточной Азии,Джакарта,РИ,Индонезия,1967-08-09
ППТС,Постоянная палата третейского суда,,,,1899-07-29
ВПС,Всемирный почтовый союз,Берн,CH,БУДЬ,1874-10-09
ЮДЕАК,Таможенный и экономический союз Центральной Африки,Банги,РСС,Центральноафриканская Республика,1964-12-08
ЕИБ,Европейский инвестиционный банк,Люксембург,L,Люксембург,1957-03-25
ОЭС,Организация экономического сотрудничества,Тегеран,IR,Тегеран,1985-01-01
Меркосур,Общий рынок стран Южного Конуса,Буэнос-Айрес,РЭ,Федеральный департамент,1991-03-26
ОПЕК,Организация стран-экспортеров нефти,Вена,A,Вена,1960-09-14
C,Содружество,Лондон,ГБ,Большой Лондон,1931-12-31
Группа &lt; &lt; Меконг &gt; &gt;,Группа АСЕАН по вопросам развития бассейна реки Меконг,,,,1995-12-01
ЭКОВАС,Экономическое сообщество западноафриканских государств,Лагос,ВАН,Нигерия,1975-05-28
ЕАБР,Восточноафриканский банк развития,Кампала,ЕАС,Уганда,1967-06-06
МОВЗР,Межправительственный орган по вопросам засухи и развития,Джибути,ДСО,Джибути,1986-01-15
CP,План Коломбо,Коломбо,Кл,Шри-Ланка,1951-07-01
