island,sea,lake,river
Гешм,Персидский залив,,
Корс,Средиземное море,,
Тонгатапу,Тихоокеанский океан,,
Родос,Средиземное море,,
Крета,Средиземное море,,
Корво,Атлантический океан,,
Негры,Море Сулавеси,,
Сыпь,Северное море,,
Сент-Томас,Атлантический океан,,
Аруба,Карибское море,,
Гренландия,Северный Ледовитый океан,,
Суматра,Южно-Китайское море,,
Нантакет,Атлантический океан,,
Шикоку,Тихоокеанский океан,,
Микелон-Ланглайд,Атлантический океан,,
Вулкан,Средиземное море,,
Куба,Мексиканский залив,,
Линоза,Средиземное море,,
Лангёг,Северное море,,
Великобритании,Атлантический океан,,
Организация &lt; &lt; Новая Каледония &gt; &gt;,Тихоокеанский океан,,
Сан-Томе,Атлантический океан,,
Norderney,Северное море,,
Великобритании,Северное море,,
Сент-Китс,Атлантический океан,,
Тайвань,Южно-Китайское море,,
Понапе,Тихоокеанский океан,,
Провиденсьялес,Атлантический океан,,
Принсипи,Атлантический океан,,
Хоккайдо,Охотское море,,
Мах,Индийский океан,,
Виноградник Марты,Атлантический океан,,
Италия,Норвежское море,,
Новая Гвинея,Тихоокеанский океан,,
Южное Уист,Атлантический океан,,
Борнео,Южно-Китайское море,,
Лэнди,Атлантический океан,,
Ньюфаундленд,Атлантический океан,,
Рота,Тихоокеанский океан,,
Антигуа,Атлантический океан,,
Бангка,Южно-Китайское море,,
Фальстер,Балтийское море,,
Сингапур,Южно-Китайское море,,
Филикуди,Средиземное море,,
Южный Рональдси,Северное море,,
Остров Кангару,Индийский океан,,
Готландия,Балтийское море,,
Корфу,Средиземное море,,
Липари,Средиземное море,,
Паней,Море Сулавеси,,
Флорес,Атлантический океан,,
Вануа Леву,Тихоокеанский океан,,
Закинтос,Средиземное море,,
Остеринсел,Тихоокеанский океан,,
Кипр,Средиземное море,,
Амрум,Северное море,,
Бишоп Рок,Атлантический океан,,
Большой Кайман,Карибское море,,
Борнхольм,Балтийское море,,
Пико,Атлантический океан,,
Тасмания,Индийский океан,,
Тортола,Атлантический океан,,
