sea,country,province
Тихоокеанский океан,J,Мие
Бенгальский залив,БД,Бангладеш
Атлантический океан,КАМ,Судоэст
Средиземное море,I,Тоскана
Тихоокеанский океан,ФСО,Фиджи
Атлантический океан,RCH,Чили
Атлантический океан,GQ,Экваториальная Гвинея
Японское море,J,Аомори
Аденский залив,СП,Сомали
Бенгальский залив,СИН,Западный Бенгал
Средиземное море,ГР,Иониои Нисои
Атлантический океан,КР,Духовный дух Санто
Тихоокеанский океан,Р,Магаданская область
Атлантический океан,ГБ,Великобритании и Северной Ирландии
Тихоокеанский океан,ПЭ,Пиура
Средиземное море,М,Мальта
Атлантический океан,ФАЛК,Фолклендские острова
Южно-Китайское море,VN,Вьетнам
Андаманское море,МЬЯ,Мон
Норвежское море,ГРОКС,Гренландия
Атлантический океан,МСП,Суринам
Тихоокеанский океан,США,Вашингтон
Средиземное море,ГР,Фессалия
Атлантический океан,C,Ольгин
Тихоокеанский океан,МЕКС,Нижняя Калифорния
Тихоокеанский океан,КН,Британская Колумбия
Южно-Китайское море,МАКХ,Макао
Скагеррак,ДК,Дания
Атлантический океан,ИУ,Италия
Атлантический океан,Р,Алгарв
Средиземное море,SLO,Словения
Сундское море,РИ,Индонезия
Тихоокеанский океан,J,Аомори
Атлантический океан,МЭТ,Марокко
Каттегат,И,Мальмохус
Средиземное море,ТR,Адана
Карибское море,МНТ,Монтсеррат
Канал,F,Басс Норманди
Атлантический океан,WV,Сент-Винсент и Гренадины
Атлантический океан,G,Габон
Скагеррак,Н,Вентилятор
Тихоокеанский океан,HCA,Чолутека
Атлантический океан,E,Канарские острова
Карибское море,ПА,Бокас дель Торо
