river,country,province
Маас,Нл,Норд Брабант
Река Детройт,КН,Онтарио
Река Святого Лоуренса,КН,Квебек
Доуро,Р,Порто
Ква,ЗРЕ,Бандунду
Рио Магдалена,CO,Атлантико
Джокулса Фьоэллум,ИУ,Италия
Ньюа,Р,Ленинградская область
Эбро,E,Каталония
Касаи,ЗРЕ,Бандунду
Бенуэ,ВАН,Нигерия
Оулуйоки,SF,Оулу
Парагвай,РЭ,Чако
Хорошо.,Р,Нижегородская область
Луалаба,ЗРЕ,Верхний Заир
Нил,ЕТ,Эль-Бухайра
Далаэльв,И,Уппсала
Мюррей Ривер,AUS,Южная Австралия
Вааль,RSA,Северный мыс
Adda,I,Ломбардия
Атбара,СУД,Эш Шамалия
Миссури,США,Миссури
Сена,F,Достоинство Нормандии
