mountain,country,province
Чанбай Шан,Норк,Северная Корея
Тупангато,РЭ,Мендоса
Пик Хамфриса,США,Аризона
Снэфелл,ИУ,Италия
Mt Elbert,США,Колорадо
Бьелуха,KAZ,Шиггиз Казакстан
Макалу,ТДж,Тибет
Рувензори,ЕАС,Уганда
Гранитный пик,США,Монтана
Бабушка Сассо,I,Абруццо
Охос-дель-Саладо,РЭ,Тукуман
Килиманджаро,ЕАТ,Килиманджаро
Монте Роза,I,Валье dAosta
Сабалан,IR,Азарбайян и Шарки
Мавензи,ЕАТ,Килиманджаро
Иллимани,БОЛ,Боливия
Ринджани,РИ,Индонезия
Тубкхаль,МЭТ,Марокко
Монте Фальтерона,I,Тоскана
Пик Ленина,KGZ,Кыргызстан
Мауна Кеа,США,Гавайи
Бен Невис,ГБ,Нагорья
K2,ТДж,Синьцзян Уйгур
Пик Чан-Тенгри,KGZ,Кыргызстан
Канлаон,РП,Филиппины
Макалу,NEP,Непал
Финстераархорн,CH,БУДЬ
Пик Победа,KGZ,Кыргызстан
Мт Митчелл,США,Северная Каролина
Гилуве,ПНГ,Папуа-Новая Гвинея
Кайляш,ТДж,Тибет
Монте Писсис,РЭ,Тукуман
Карисимби,ЗРЕ,Киву
Большой Баллон,F,Лоррейн
Короли пик,США,Юта
Тамбора,РИ,Индонезия
Касбек,Р,Северная Оссетия
