country,independence,dependent,government
,,Нл,часть нидерландского королевства
ОПП,2006-06-05,,парламентская демократия
ФПОЛ,,F,Зарубежная территория Франции с 1946 года
COCO,,AUS,территории Австралии
ВАЛ,1961-04-27,,конституционная демократия
VN,1945-09-02,,Коммунистическое государство
ЛВ,1991-09-06,,Республика
БиГ,1992-04-01,,Формирующаяся демократия
AZ,1991-08-30,,Республика
LAO,1949-07-19,,Коммунистическое государство
ИУ,1944-06-17,,Республика
E,1492-01-01,,Парламентская монархия
ГБ,1801-01-01,,конституционная монархия
РИМ,1960-11-28,,Республика
РТ,1960-04-27,,Республика в процессе перехода к многопартийному демократическому правлению
ТR,1923-10-29,,Республиканская парламентская демократия
SF,1917-12-06,,Республика
РЭ,1816-07-09,,Республика
ТДж,,,Коммунистическое государство
СП,1960-07-01,,нет
РГ,1974-02-07,,парламентская демократия
CV,1975-07-05,,Республика
НИК,1821-09-15,,Республика
ТТ,1962-08-31,,парламентская демократия
ГУАМ,,США,организован
KGZ,1991-08-31,,Республика
NEP,1768-01-01,,по состоянию на 12 мая 1991 года
СИН,1947-08-15,,Федеративная республика
ГНБ,1974-09-10,,Республика
МК,1419-01-01,,конституционная монархия
RG,1958-10-02,,Республика
IR,1979-04-01,,Метрополитическая республика
ЭТО,,,Федеративная республика
ARU,,Нл,часть нидерландского королевства
ZW,1980-04-18,,парламентская демократия
НЬЮ,1974-10-19,,свободного объединения с Новой Зеландией
МПК,1975-06-25,,Республика
ВИРГ,,,организован
КАМ,1960-01-01,,унитарная республика
БРИН,1971-08-15,,Традиционная монархия
SK,1993-01-01,,парламентская демократия
FARX,,ДК,части датской территории
YV,1811-07-05,,Республика
И,,,конституционная монархия
ВАФА,,F,Зарубежная территория Франции
SLB,1978-07-07,,парламентская демократия
CH,,,Федеративная республика
ГРАД,,F,Министерство иностранных дел Франции
ЛАР,1951-12-24,,Теоретически Джамахирия
США,1776-07-04,,Федеративная республика
ЧР,1821-09-15,,Демократическая Республика
БИ,1962-07-01,,Республика
ГР,1829-01-01,,парламентская республика
ТУКА,,ГБ,Британские заморские территории
AUS,1901-01-01,,Федеральный парламентский штат
УРБ,1966-11-30,,парламентская демократия
РШМ,0301-01-01,,Республика
