city,province,country,island
Тайтунг,Тайвань,КР,Тайвань
Санкти Спиритус,Санкти Спиритус,C,Куба
Блэкпуль,Ланкашир,ГБ,Великобритании
Стэнли,Фолклендские острова,ФАЛК,Восточный Фолкленд
Саутенд в море,Эссекс,ГБ,Великобритании
Виктория,Сейшельские Острова,SY,Мах
Труро,Корнуолл,ГБ,Великобритании
Ньюарк на Тренте,Ноттингемшир,ГБ,Великобритании
Сэлфорд,Большой Манчестер,ГБ,Великобритании
Фунафути,Тувалу,ТВЧ,Фонгафейл
Катания,Сицилия,I,Сицилия
Стокпорт,Большой Манчестер,ГБ,Великобритании
Самаринда,Индонезия,РИ,Борнео
Колония,Микронезия,ФШМ,Понапе
Сува,Фиджи,ФСО,Вити Леву
Манчестер,Большой Манчестер,ГБ,Великобритании
Каназава,Ишикава,J,Хонсю
Гсинтьен,Тайвань,КР,Тайвань
Токио,Токио,J,Хонсю
Кедири,Индонезия,РИ,Ява
Оксфорд,Оксфордшир,ГБ,Великобритании
