statement_no,member_no,statement_dt,due_dt,statement_amt,statement_code
943,943,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,0.0,
2040,2040,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,4076.0,
2230,2230,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,0.0,
2922,2922,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,5725.0,
3767,3767,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,8243.0,
4875,4875,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,7833.0,
5550,5550,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,14160.0,
5591,5591,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,5653.0,
7460,7460,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,15426.0,
7488,7488,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,15668.0,
9023,9023,1999 - 08 - 13 ч. 00 м.,1999-09-02T00:00:00,35506.0,
13276,3276,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,0.0,
13889,3889,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,4249.0,
14338,4338,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,0.0,
15045,5045,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,2585.0,
16151,6151,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,1513.0,
16180,6180,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,2733.0,
16469,6469,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,11011.0,
17569,7569,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,1408.0,
18153,8153,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,21726.0,
18647,8647,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,10676.0,
19354,9354,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,28786.0,
19457,9457,1999 - 2009 - 13 ч. 00 м.,1999-10-03T00:00:00,7314.0,
