franchid,franchname,active,naassoc
MLU,Milwaukee Brewers,N,
TBD,Tampa Bay Rays,Y,
BLU,Baltimore Monumentals,N,
HAR,Hartford Dark Blues,N,HNA
WNT,Washington Nationals,NA,
CNA,Chicago White Stockings,NA,CHC
LGR,Louisville Grays,N,
PNA,Philadelphia Athletics,NA,ATH
WNL,Washington Nationals,N,
TRO,Troy Haymakers,NA,
PRO,Providence Grays,N,
TRT,Troy Trojans,N,
HOU,Houston Astros,Y,
CLI,Cleveland Infants,N,
WBL,Washington Blue Legs,NA,
PHK,Philadelphia Keystones,N,
NYI,New York Giants,N,
IHO,Indianapolis Hoosiers,N,
KCC,Kansas City Cowboys,N,
COR,Cincinnati Outlaw Reds,N,
CPI,Chicago/Pittsburgh (Union League),N,
CHP,Chicago Pirates,N,
BFL,Buffalo Bisons,N,
PHQ,Philadelphia Athletics,N,
SDP,San Diego Padres,Y,
BLC,Baltimore Canaries,NA,
BWW,Brooklyn Ward's Wonders,N,
BRA,Brooklyn Atlantics,NA,
RIC,Richmond Virginians,N,
CIN,Cincinnati Reds,Y,
BNA,Boston Red Stockings,NA,ATL
BLO,Baltimore Orioles,N,
DET,Detroit Tigers,Y,
DTN,Detroit Wolverines,N,
WOR,Worcester Ruby Legs,N,
LAD,Los Angeles Dodgers,Y,
ECK,Brooklyn Eckfords,NA,
KCU,Kansas City Cowboys,N,
MAR,Baltimore Marylands,NA,
TEX,Texas Rangers,Y,
CBL,Cleveland Blues,N,
WSN,Washington Nationals,Y,
NEW,Newark Pepper,N,
KCP,Kansas City Packers,N,
BRD,Boston Reds,N,
SFG,San Francisco Giants,Y,
STL,St. Louis Cardinals,Y,
MAN,Middletown Mansfields,NA,
MIN,Minnesota Twins,Y,
STP,St. Paul Apostles,N,
CHH,Chicago Whales,N,
CHC,Chicago Cubs,Y,CNA
CLS,Columbus Solons,N,
FLA,Florida Marlins,Y,
CLV,Cleveland Spiders,N,
MLA,Milwaukee Brewers,N,
PBB,Pittsburgh Burghers,N,
KCR,Kansas City Royals,Y,
NNA,New York Mutuals,NA,NYU
CNR,Cincinnati Reds,N,
CHW,Chicago White Sox,Y,
PIT,Pittsburgh Pirates,Y,
IBL,Indianapolis Blues,N,
WAS,Washington Senators,N,
TLM,Toledo Maumees,N,
BRG,Brooklyn Gladiators,N,
