managerid,awardid,yearid,lgid,tie,notes
mauchge01m,TSN Manager of the Year,1973,ML,,
manueje01m,BBWAA Manager of the year,2000,AL,,
zimmedo01m,TSN Manager of the Year,1989,NL,,
bakerdu01m,TSN Manager of the Year,1997,NL,,
durocle01m,TSN Manager of the Year,1939,ML,,
mccarjo99m,TSN Manager of the Year,1938,ML,,
mckeoja99m,BBWAA Manager of the year,2003,NL,,
melesa01m,TSN Manager of the Year,1965,ML,,
sewellu01m,TSN Manager of the Year,1944,ML,,
ozarkda99m,TSN Manager of the Year,1976,ML,,
larusto01m,BBWAA Manager of the year,1988,AL,,
oatesjo01m,BBWAA Manager of the year,1996,AL,Y,
leylaji99m,TSN Manager of the Year,1992,NL,,
mckecbi01m,TSN Manager of the Year,1937,ML,,
alstowa01m,TSN Manager of the Year,1959,ML,,
bowala01m,BBWAA Manager of the year,2001,NL,,
torboje01m,TSN Manager of the Year,1990,AL,,
keanejo99m,TSN Manager of the Year,1964,ML,,
mcnamjo99m,BBWAA Manager of the year,1986,AL,,
lasorto01m,BBWAA Manager of the year,1983,NL,,
leylaji99m,BBWAA Manager of the year,2006,AL,,
coxbo01m,TSN Manager of the Year,2005,NL,,
tracyji01m,BBWAA Manager of the year,2009,NL,,
virdobi01m,TSN Manager of the Year,1980,ML,,
larusto01m,TSN Manager of the Year,1992,AL,,
guilloz01m,TSN Manager of the Year,2005,AL,,
rodgebu01m,TSN Manager of the Year,1987,NL,,
oatesjo01m,TSN Manager of the Year,1993,AL,,
bluegos01m,TSN Manager of the Year,1945,ML,,
hodgegi01m,TSN Manager of the Year,1969,ML,,
girarjo01m,BBWAA Manager of the year,2006,NL,,
coxbo01m,BBWAA Manager of the year,2005,NL,,
hutchfr01m,TSN Manager of the Year,1957,ML,,
bochybr01m,TSN Manager of the Year,1996,NL,,
showabu99m,TSN Manager of the Year,1994,AL,,
sciosmi01m,BBWAA Manager of the year,2002,AL,,
wedgeer01m,BBWAA Manager of the year,2007,AL,,
johnsda02m,BBWAA Manager of the year,1997,AL,,
torboje01m,BBWAA Manager of the year,1990,AL,,
coxbo01m,TSN Manager of the Year,2002,NL,,
kellyto01m,TSN Manager of the Year,1991,AL,,
sciosmi01m,TSN Manager of the Year,2002,AL,,
stengca01m,TSN Manager of the Year,1953,ML,,
melvibo01m,BBWAA Manager of the year,2007,NL,,
bochybr01m,TSN Manager of the Year,1998,NL,,
showabu99m,BBWAA Manager of the year,2004,AL,,
coxbo01m,TSN Manager of the Year,1985,ML,,
oatesjo01m,TSN Manager of the Year,1996,AL,,
girarjo01m,TSN Manager of the Year,2006,NL,,
torrejo01m,BBWAA Manager of the year,1996,AL,Y,
johnsda02m,BBWAA Manager of the year,2012,NL,,
williji03m,BBWAA Manager of the year,1999,AL,,
baylodo01m,TSN Manager of the Year,1995,NL,,
coxbo01m,BBWAA Manager of the year,1991,NL,,
leylaji99m,TSN Manager of the Year,1990,NL,,
showabu99m,BBWAA Manager of the year,1994,AL,,
coxbo01m,TSN Manager of the Year,2003,NL,,
foxch01m,TSN Manager of the Year,1971,ML,,
robinfr02m,TSN Manager of the Year,1989,AL,,
larusto01m,BBWAA Manager of the year,2002,NL,,
weaveea99m,TSN Manager of the Year,1979,ML,,
bowala01m,TSN Manager of the Year,2001,NL,,
coxbo01m,TSN Manager of the Year,2004,NL,,
pinielo01m,BBWAA Manager of the year,1995,AL,,
penato01m,BBWAA Manager of the year,2003,AL,,
pinielo01m,TSN Manager of the Year,2001,AL,,
mckecbi01m,TSN Manager of the Year,1940,ML,,
coxbo01m,TSN Manager of the Year,1993,NL,,
smithma01m,TSN Manager of the Year,1968,ML,,
andersp01m,BBWAA Manager of the year,1984,AL,,
aloufe01m,BBWAA Manager of the year,1994,NL,,
durocle01m,TSN Manager of the Year,1954,ML,,
larusto01m,BBWAA Manager of the year,1983,AL,,
guilloz01m,BBWAA Manager of the year,2005,AL,,
stengca01m,TSN Manager of the Year,1949,ML,,
leylaji99m,BBWAA Manager of the year,1992,NL,,
virdobi01m,TSN Manager of the Year,1974,ML,,
torrejo01m,BBWAA Manager of the year,1998,AL,,
southbi01m,TSN Manager of the Year,1942,ML,,
johnsda01m,TSN Manager of the Year,1975,ML,,
alstowa01m,TSN Manager of the Year,1963,ML,,
southbi01m,TSN Manager of the Year,1941,ML,,
martibi02m,TSN Manager of the Year,1981,ML,,
leylaji99m,BBWAA Manager of the year,1990,NL,,
lanieha01m,TSN Manager of the Year,1986,NL,,
pinielo01m,BBWAA Manager of the year,2008,NL,,
tebbebi01m,TSN Manager of the Year,1956,ML,,
houkra01m,TSN Manager of the Year,1961,ML,,
