id,lgid,teamid,franchid,name,park
1,AA,BL2,BLO,Baltimore Orioles,Newington Park
197,NL,CIN,CIN,Cincinnati Reds,Great American Ball Park
203,NL,CL4,CLV,Cleveland Spiders,League Park I
122,FL,CHF,CHH,Chicago Whales,Wrigley Field
201,NL,CIN,CIN,Cincinnati Reds,Riverfront Stadium
310,UA,PHU,PHK,Philadelphia Keystones,
277,NL,SLN,STL,St. Louis Browns,Robison Field
210,NL,FLO,FLA,Florida Marlins,Dolphin Stadium
57,AL,CLE,CLE,Cleveland Indians,Jacobs Field
283,NL,SLN,STL,St. Louis Cardinals,Sportsman's Park IV
246,NL,NYN,NYM,New York Mets,Shea Stadium
64,AL,DET,DET,Detroit Tigers,Briggs Stadium
298,PL,CHP,CHP,Chicago Pirates,
171,NL,BSN,ATL,Boston Beaneaters,South End Grounds I
217,NL,HOU,HOU,Houston Astros,Enron Field
86,AL,NYA,NYY,New York Yankees,Yankee Stadium III
121,FL,CHF,CHH,Chicago Chi-Feds,Wrigley Field
172,NL,BSN,ATL,Boston Beaneaters,South End Grounds II
238,NL,NY1,SFG,New York Giants,Polo Grounds II
291,NL,WAS,WSN,Washington Nationals,Nationals Park
136,,CL1,CFC,Cleveland Forest Citys,National Association Grounds
270,NL,SFN,SFG,San Francisco Giants,AT&T Park
212,NL,FLO,FLA,Florida Marlins,Pro Player Stadium
15,AA,CN3,CKK,Cincinnati Kelly's Killers,East End Park
252,NL,PHI,PHI,Philadelphia Phillies,Philadelphia Baseball Grounds
36,AA,WS7,WST,Washington Nationals,Athletic Park
27,AA,PT1,PIT,Pittsburg Alleghenys,Exposition Park I
12,AA,CL6,CLS,Columbus Solons,Recreation Park II
145,,PH2,PWS,Philadelphia Whites,Jefferson Street Grounds
255,NL,PHI,PHI,Philadelphia Quakers,Philadelphia Baseball Grounds
276,NL,SL5,SLM,St. Louis Maroons,Sportsman's Park I
173,NL,BSN,ATL,Boston Beaneaters,South End Grounds II / Congress Street Grounds / South End Grounds III
59,AL,CLE,CLE,Cleveland Indians,League Park II/Cleveland Stadium
284,NL,SLN,STL,St. Louis Cardinals,Sportsman's Park IV/Busch Stadium II
113,AL,WS1,MIN,Washington Senators,Griffith Stadium I
221,NL,IN3,IND,Indianapolis Hoosiers,Athletic Park I
101,AL,TBA,TBD,Tampa Bay Devil Rays,Tropicana Field
41,AL,BAL,BAL,Baltimore Orioles,Oriole Park at Camden Yards
10,AA,CL3,CLV,Cleveland Blues,National League Park II
25,AA,PH4,PHA,Philadelphia Athletics,Oakdale Park
208,NL,COL,COL,Colorado Rockies,Mile High Stadium
61,AL,CLE,CLE,Cleveland Naps,League Park I
138,,FW1,KEK,Fort Wayne Kekiongas,Hamilton Field
190,NL,CHN,CHC,Chicago White Stockings,Lake Front Park I/Lake Front Park II
53,AL,CHA,CHW,Chicago White Sox,U.S. Cellular Field
39,AL,ANA,ANA,Anaheim Angels,Edison International Field
247,NL,PHI,PHI,Philadelphia Blue Jays,Shibe Park
109,AL,TOR,TOR,Toronto Blue Jays,Rogers Centre
181,NL,BSN,ATL,Boston Rustlers,South End Grounds III
244,NL,NYN,NYM,New York Mets,Citi Field
33,AA,SR2,SYS,Syracuse Stars,Star Park II
4,AA,BL3,BLO,Baltimore Orioles,Union Park
43,AL,BOS,BOS,Boston Americans,Huntington Avenue Grounds
108,AL,TOR,TOR,Toronto Blue Jays,Exhibition Stadium /Skydome
243,NL,NY3,NYU,New York Mutuals,Union Grounds (Brooklyn)
193,NL,CIN,CIN,Cincinnati Redlegs,Crosley Field
308,UA,KCU,KCU,Kansas City Cowboys,
141,,MID,MAN,Middletown Mansfields,Mansfield Club Grounds
34,AA,TL1,TOL,Toledo Blue Stockings,League Park
296,PL,BRP,BWW,Brooklyn Ward's Wonders,
