hofid,yearid,votedby,ballots,needed,votes,inducted,category
torrejo01h,1987,BBWAA,413.0,310.0,47.0,N,Player
guidrro01h,2001,BBWAA,515.0,387.0,27.0,N,Player
kuennha01h,1984,BBWAA,403.0,303.0,106.0,N,Player
colliji01h,1936,BBWAA,226.0,170.0,58.0,N,Player
gehrich01h,1948,BBWAA,121.0,91.0,52.0,N,Player
gowdyha01h,1954,BBWAA,252.0,189.0,51.0,N,Player
hermabi01h,1975,Veterans,,,,Y,Player
blylebe01h,2008,BBWAA,543.0,408.0,336.0,N,Player
saxst01h,2000,BBWAA,499.0,375.0,2.0,N,Player
huggimi01h,1948,BBWAA,121.0,91.0,4.0,N,Manager
mcgeewi01h,2006,BBWAA,520.0,390.0,12.0,N,Player
chandha99h,1982,Veterans,,,,Y,Pioneer/Executive
fernato01h,2007,BBWAA,545.0,409.0,4.0,N,Player
faberre01h,1962,BBWAA,160.0,120.0,30.0,N,Player
nehfar01h,1951,BBWAA,226.0,170.0,4.0,N,Player
mattido01h,2005,BBWAA,516.0,387.0,59.0,N,Player
schalra01h,1942,BBWAA,233.0,175.0,53.0,N,Player
bluegos01h,1954,BBWAA,252.0,189.0,1.0,N,Player
berrych02h,1955,BBWAA,251.0,189.0,1.0,N,Player
martipe01h,1951,BBWAA,226.0,170.0,19.0,N,Player
henrito01h,1964,BBWAA,201.0,151.0,13.0,N,Player
raineti01h,2011,BBWAA,581.0,436.0,218.0,N,Player
willicy01h,1948,BBWAA,121.0,91.0,1.0,N,Player
maglisa01h,1968,BBWAA,283.0,213.0,11.0,N,Player
munsoth01h,1992,BBWAA,430.0,323.0,32.0,N,Player
cansejo01h,2007,BBWAA,545.0,409.0,6.0,N,Player
traynpi01h,1938,BBWAA,262.0,197.0,3.0,N,Player
haineje01h,1953,BBWAA,264.0,198.0,4.0,N,Player
ramospe01h,1978,BBWAA,379.0,285.0,0.0,N,Player
vaughar01h,1958,BBWAA,266.0,200.0,6.0,N,Player
morriha02h,2006,BBWAA,520.0,390.0,5.0,N,Player
thomsbo01h,1973,BBWAA,380.0,285.0,3.0,N,Player
morrija02h,2009,BBWAA,539.0,405.0,237.0,N,Player
perezto01h,2000,BBWAA,499.0,375.0,385.0,Y,Player
hermaba01h,1955,BBWAA,251.0,189.0,5.0,N,Player
wilsoha01h,1939,BBWAA,274.0,206.0,1.0,N,Player
brownga01h,1982,BBWAA,415.0,312.0,0.0,N,Player
conceda01h,1997,BBWAA,473.0,353.0,60.0,N,Player
hernake01h,2002,BBWAA,472.0,354.0,29.0,N,Player
zimmech01h,1938,BBWAA,262.0,197.0,1.0,N,Player
harribu01h,1939,BBWAA,274.0,206.0,1.0,N,Manager
sullibi03h,1937,BBWAA,201.0,151.0,1.0,N,Player
bakerfr01h,1939,BBWAA,274.0,206.0,30.0,N,Player
woodwi01h,1986,BBWAA,425.0,319.0,23.0,N,Player
tennefr02h,1937,BBWAA,201.0,151.0,5.0,N,Player
dihigma99h,1977,Negro League,,,,Y,Player
mcnalda01h,1982,BBWAA,415.0,312.0,5.0,N,Player
longhe01h,1946,Nominating Vote,202.0,,1.0,N,Player
tennefr01h,1946,Nominating Vote,202.0,,1.0,N,Player
mazerbi01h,1990,BBWAA,444.0,333.0,131.0,N,Player
rixeyep01h,1947,BBWAA,161.0,121.0,2.0,N,Player
kellech01h,1964,BBWAA,201.0,151.0,12.0,N,Player
gomezle01h,1946,Nominating Vote,202.0,,4.0,N,Player
ringji01h,1949,BBWAA,153.0,115.0,1.0,N,Player
coopemo01h,1960,BBWAA,269.0,202.0,1.0,N,Player
hoytwa01h,1950,BBWAA,168.0,126.0,11.0,N,Player
wardjo01h,1936,Veterans,78.0,59.0,3.0,N,Player
vaughar01h,1964,BBWAA,201.0,151.0,17.0,N,Player
brocklo01h,1985,BBWAA,395.0,297.0,315.0,Y,Player
kinerra01h,1968,BBWAA,283.0,213.0,118.0,N,Player
suttodo01h,1994,BBWAA,456.0,342.0,259.0,N,Player
cepedor01h,1981,BBWAA,401.0,301.0,77.0,N,Player
meadole01h,1958,BBWAA,266.0,200.0,2.0,N,Player
coopewa01h,1971,BBWAA,360.0,270.0,7.0,N,Player
schumha02h,1955,BBWAA,251.0,189.0,1.0,N,Player
ehmkeho01h,1958,BBWAA,266.0,200.0,7.0,N,Player
wilsoji01h,1962,BBWAA,160.0,120.0,4.0,N,Player
sandbry01h,2004,BBWAA,506.0,380.0,309.0,N,Player
luquedo01h,1952,BBWAA,234.0,176.0,1.0,N,Player
suttebr01h,2000,BBWAA,499.0,375.0,192.0,N,Player
jonesra01h,1988,BBWAA,427.0,321.0,0.0,N,Player
torrejo01h,1992,BBWAA,430.0,323.0,62.0,N,Player
doerrbo01h,1970,BBWAA,300.0,225.0,75.0,N,Player
frymawo01h,1989,BBWAA,447.0,336.0,0.0,N,Player
howarel01h,1982,BBWAA,415.0,312.0,40.0,N,Player
sandbry01h,2003,BBWAA,496.0,372.0,244.0,N,Player
sewellu01h,1958,BBWAA,266.0,200.0,3.0,N,Player
fonsele01h,1948,BBWAA,121.0,91.0,1.0,N,Player
donlimi01h,1945,BBWAA,247.0,186.0,1.0,N,Player
killeha01h,1984,BBWAA,403.0,303.0,335.0,Y,Player
brechha01h,1973,BBWAA,380.0,285.0,3.0,N,Player
niekrph01h,1996,BBWAA,470.0,353.0,321.0,N,Player
burdele01h,1976,BBWAA,388.0,291.0,21.0,N,Player
thomsbo01h,1967,BBWAA,292.0,219.0,10.0,N,Player
bakerfr01h,1947,BBWAA,161.0,121.0,49.0,N,Player
johnsda02h,1984,BBWAA,403.0,303.0,3.0,N,Player
schalra01h,1950,BBWAA,168.0,126.0,16.0,N,Player
scottev01h,1937,BBWAA,201.0,151.0,2.0,N,Player
langebi01h,1953,BBWAA,264.0,198.0,1.0,N,Player
riceji01h,2003,BBWAA,496.0,372.0,259.0,N,Player
martipe01h,1958,BBWAA,266.0,200.0,46.0,N,Player
gowdyha01h,1951,BBWAA,226.0,170.0,26.0,N,Player
ofarrbo01h,1958,BBWAA,266.0,200.0,3.0,N,Player
zeileto01h,2010,BBWAA,539.0,405.0,0.0,N,Player
phillde01h,1942,BBWAA,233.0,175.0,1.0,N,Player
bunniji01h,1982,BBWAA,415.0,312.0,138.0,N,Player
whitewi01h,1976,BBWAA,388.0,291.0,7.0,N,Player
conceda01h,2001,BBWAA,515.0,387.0,74.0,N,Player
gullibi01h,2000,BBWAA,499.0,375.0,1.0,N,Player
durocle01h,1962,BBWAA,160.0,120.0,1.0,N,Manager
bentola01h,1958,BBWAA,266.0,200.0,1.0,N,Player
bottoji01h,1948,BBWAA,121.0,91.0,4.0,N,Player
bakerdu01h,1992,BBWAA,430.0,323.0,4.0,N,Player
minosmi01h,1993,BBWAA,423.0,318.0,67.0,N,Player
maranra01h,1948,BBWAA,121.0,91.0,38.0,N,Player
olivato01h,1987,BBWAA,413.0,310.0,160.0,N,Player
rixeyep01h,1938,BBWAA,262.0,197.0,2.0,N,Player
wheatza01h,1937,BBWAA,201.0,151.0,5.0,N,Player
nichoki01h,1942,BBWAA,233.0,175.0,5.0,N,Player
cepedor01h,1986,BBWAA,425.0,319.0,152.0,N,Player
luquedo01h,1958,BBWAA,266.0,200.0,15.0,N,Player
wilsoha01h,1951,BBWAA,226.0,170.0,21.0,N,Player
grichbo01h,1992,BBWAA,430.0,323.0,11.0,N,Player
erskica01h,1970,BBWAA,300.0,225.0,2.0,N,Player
ruelmu01h,1950,BBWAA,168.0,126.0,4.0,N,Player
granted01h,1938,BBWAA,262.0,197.0,1.0,N,Player
drysddo01h,1979,BBWAA,432.0,324.0,233.0,N,Player
gordojo01h,1955,BBWAA,251.0,189.0,1.0,N,Player
