lahmanid,playerid,managerid,hofid,birthyear,birthmonth,birthday,birthcountry,birthstate,birthcity,deathyear,deathmonth,deathday,deathcountry,deathstate,deathcity,namefirst,namelast,namenote,namegiven,namenick,weight,height,bats,throws,debut,finalgame,college,lahman40id,lahman45id,retroid,holtzid,bbrefid
488,baineha01,,baineha01h,1959.0,3.0,15.0,USA,MD,Easton,,,,,,,Harold,Baines,,Harold Douglas,,175.0,74.0,L,L,4/10/1980,9/27/2001,,baineha01,baineha01,bainh001,baineha01,baineha01
751,bauerru01,,,1914.0,5.0,10.0,USA,WI,Townsend,1995.0,1.0,21.0,USA,IL,Hines,Russ,Bauers,,Russell Lee,,195.0,75.0,L,R,8/20/1936,5/6/1950,,bauerru01,bauerru01,bauer101,bauerru01,bauerru01
908,beltres01,,,1967.0,12.0,26.0,D.R.,,Quisqueya,,,,,,,Esteban,Beltre,,Esteban (Valera),,155.0,70.0,R,R,9/3/1991,6/5/1996,,beltres01,beltres01,belte001,beltres01,beltres01
943,bensokr01,,,1974.0,11.0,7.0,USA,WI,Superior,,,,,,,Kris,Benson,,,,205.0,76.0,R,R,4/9/1999,,,bensokr01,bensokr01,bensk001,bensokr01,bensokr01
1896,burtoji01,,,1949.0,10.0,27.0,USA,MI,Royal Oak,,,,,,,Jim,Burton,,Jim Scott,,195.0,75.0,R,L,6/10/1975,9/17/1977,,burtoji01,burtoji01,burtj101,burtoji01,burtoji01
1975,cabrejo01,,,1969.0,3.0,24.0,D.R.,,Santiago,,,,,,,Jose,Cabrera,,Jose Alberto,,205.0,72.0,R,R,7/15/1997,9/25/2002,,cabrejo01,cabrejo01,cabrj001,cabrejo01,cabrejo01
2087,canizja01,,,1973.0,7.0,4.0,USA,TX,Beaumont,,,,,,,Jay,Canizaro,,Jason Kyle,,170.0,69.0,R,R,4/28/1996,5/31/2002,Oklahoma State,canizja01,canizja01,canij001,canizja01,canizja01
2492,clarkji03,,,1947.0,4.0,30.0,USA,KS,Kansas City,,,,,,,Jim,Clark,,James Edward,,190.0,73.0,R,R,7/16/1971,8/3/1971,,clarkji03,clarkji03,clarj104,clarkji03,clarkji03
2520,clarkni01,,,1882.0,12.0,15.0,CAN,ON,Amherstburg,1949.0,6.0,15.0,USA,MI,River Rouge,Nig,Clarke,,Jay Justin,,165.0,68.0,L,R,4/26/1905,4/24/1920,,clarkni01,clarkni01,clarn101,clarkni01,clarkni01
2829,coopegu01,,,1893.0,1.0,28.0,USA,GA,Rome,1951.0,8.0,2.0,USA,CA,Santa Monica,Guy,Cooper,,Guy Evans,Rebel,185.0,73.0,B,R,5/2/1914,9/24/1915,,coopegu01,coopegu01,coopg102,coopegu01,coopegu01
2895,costejo01,,,1960.0,12.0,24.0,USA,NY,Bronx,,,,,,,John,Costello,,John Reilly,,190.0,73.0,R,R,6/2/1988,10/5/1991,Mercyhurst,costejo01,costejo01,costj001,costejo01,costejo01
3076,crowlbi01,,,1857.0,4.0,8.0,USA,PA,Philadelphia,1891.0,7.0,14.0,USA,NJ,Gloucester,Bill,Crowley,,William Michael,,159.0,67.0,R,R,4/26/1875,10/10/1885,,crowlbi01,crowlbi01,crowb101,crowlbi01,crowlbi01
3433,dehlmhe01,,,1852.0,,,USA,NY,Brooklyn,1885.0,3.0,13.0,USA,PA,Wilkes-Barre,Herman,Dehlman,,Herman J.,Dutch,,,,,5/2/1872,,,dehlmhe01,dehlmhe01,dehlh101,dehlmhe01,dehlmhe01
3487,dempsma01,,,1957.0,12.0,17.0,USA,OH,Dayton,,,,,,,Mark,Dempsey,,Mark Steven,,220.0,78.0,R,R,9/4/1982,10/2/1982,Ohio State,dempsma01,dempsma01,dempm101,dempsma01,dempsma01
3536,devinha01,,,1893.0,4.0,11.0,USA,MA,Newton,1933.0,1.0,4.0,USA,MA,Westwood,Hal,Deviney,,Harold John,,,,R,R,7/30/1920,7/30/1920,,devinha01,devinha01,devih101,devinha01,devinha01
3757,dowseto01,,,1866.0,8.0,12.0,Ireland,,,1946.0,12.0,14.0,USA,CA,Riverside,Tom,Dowse,,Thomas Joseph,,175.0,71.0,R,R,4/21/1890,10/12/1892,,dowseto01,dowseto01,dowst101,dowseto01,dowseto01
3960,eastepa01,,,1905.0,9.0,28.0,USA,GA,Reidsville,1993.0,3.0,15.0,USA,GA,Reidsville,Paul,Easterling,,Paul,,180.0,71.0,R,R,4/11/1928,5/11/1938,,eastepa01,eastepa01,eastp101,eastepa01,eastepa01
3987,edeleed01,,,1912.0,3.0,16.0,USA,MD,Bryantown,1982.0,2.0,1.0,USA,MD,LaPlata,Ed,Edelen,,Edward Joseph,Doc,191.0,72.0,R,R,8/20/1932,8/21/1932,,edeleed01,edeleed01,edele101,edeleed01,edeleed01
