schoolid,schoolname,schoolcity,schoolstate,schoolnick
mntclairst,Montclair State University,Upper Montclair,NJ,Red Hawks
deltast,Delta State University,Cleveland,MS,Statesmen
creighton,Creighton University,Omaha,NE,Bluejays
indiana,Indiana University,Bloomington,IN,Hoosiers
hobartny,Hobart and William Smith Colleges,Geneva,NY,Statesmen
clevst,Cleveland State University,Cleveland,OH,Vikings
sanfran,University of San Francisco,San Francisco,CA,Dons
utah,University of Utah,Salt Lake City,UT,Utes
eurekail,Eureka College,Eureka,IL,Red Devils
millsapsms,Millsaps College,Jackson,MS,Majors
cshayward,"California State University, Hayward",Hayward,CA,Pioneers
presbytrn,Presbyterian College,Clinton,SC,Blue Hose
california,University of California,Berkeley,CA,Golden Bears
dominican,Dominican College,Orangeburg,NY,Chargers
texasam,Texas A&M University,College Station,TX,Aggies
ohwesleyan,Ohio Wesleyan University,Delaware,OH,Battling Bishops
loyolamd,Loyola College in Maryland,Baltimore,MD,Greyhounds
tuftsma,Tufts University,Medford,MA,Jumbos
loyolamary,Loyola Marymount University,Los Angeles,CA,Lions
fayetvilst,Fayetteville State University,Fayetteville,NC,Broncos
sacheart,Sacred Heart University,Fairfield,CT,Pioneers
evansville,University of Evansville,Evansville,IN,Purple Aces
cincy,University of Cincinnati,Cincinnati,OH,Bearcats
emporiast,Emporia State University,Emporia,KS,Hornets
gannon,Gannon University,Erie,PA,Golden Knights
troyst,Troy State University,Troy,AL,Trojans
samford,Samford University,Birmingham,AL,Bulldogs
loyolano,Loyola University New Orleans,New Orleans,LA,Wolfpack
washleeva,Washington and Lee University,Lexington,VA,Generals
calstfull,"California State University, Fullerton",Fullerton,CA,Titans
tulsa,University of Tulsa,Tulsa,OK,Golden Hurricane
bowlgreen,Bowling Green State University,Bowling Green,OH,Falcons
concordny,Concordia College,Bronxville,NY,Clippers
schreiner,Schreiner University,Kerrville,TX,Mountaineers
gardwebb,Gardner-Webb University,Boiling Springs,NC,Bulldogs
upenn,University of Pennsylvania,Philadelphia,PA,Quakers
uab,University of Alabama at Birmingham,Birmingham,AL,Blazers
albany,"University at Albany, State University of New York",Albany,NY,Great Danes
adelphi,Adelphi University,Garden City,NY,Panthers
portland,University of Portland,Portland,OR,Pilots
csdomhills,"California State University, Dominguez Hills",Carson,CA,Toros
uncwilm,University of North Carolina at Wilmington,Wilmington,NC,Seahawks
sflorida,University of South Florida,Tampa,FL,Bulls
depaul,DePaul University,Chicago,IL,Blue Demons
olemiss,University of Mississippi,Oxford,MS,Rebels
occidental,Occidental College,Los Angeles,CA,Tigers
utchat,University of Tennessee at Chattanooga,Chattanooga,TN,Mocs
pfeiffer,Pfeiffer University,Misenheimer,NC,Falcons
middlbryvt,Middlebury College,Middlebury,VT,Panthers
georgiast,Georgia State University,Atlanta,GA,Panthers
idahost,Idaho State University,Pocatello,ID,Bengals
scstate,South Carolina State University,Orangeburg,SC,Bulldogs
brandeisma,Brandeis University,Waltham,MA,Judges
sonomast,Sonoma State University,Rohnert Park,CA,Seawolves
swesternks,Southwestern College,Winfield,KS,Moundbuilders
longwoodva,Longwood University,Farmville,VA,Lancers
montana,University of Montana-Missoula,Missoula,MT,Grizzlies
lincolnmem,Lincoln Memorial University,Harrogate,TN,Railsplitters
umbc,"University of Maryland, Baltimore County",Catonsville,MD,Retrievers
wioshkosh,University of Wisconsin-Oshkosh,Oshkosh,WI,Titans
newhamp,University of New Hampshire,Durham,NH,Wildcats
wofford,Wofford College,Spartanburg,SC,Terriers
howard,Howard University,Washington,DC,Bison
umass,University of Massachusetts Amherst,Amherst,MA,Minutemen
charleston,College of Charleston,Charleston,SC,Cougars
warnerpac,Warner Pacific College,Portland,OR,Knights
nwstate,Northwestern State University of Louisiana,Natchitoches,LA,Demons
catholic,Catholic University of America,Washington,DC,Cardinals
mowestern,Missouri Western State College,Saint Joseph,MO,Griffons
stanselm,Saint Anselm College,Manchester,NH,Hawks
laverneca,University of La Verne,La Verne,CA,Leopards
wileytx,Wiley College,Marshall,TX,
lafayette,Lafayette College,Easton,PA,Leopards
wistvnspt,University of Wisconsin-Stevens Point,Stevens Point,WI,Pointers
franklinin,Franklin College,Franklin,IN,Grizzlies
lemoynowen,LeMoyne-Owen College,Memphis,TN,Magicians
harvard,Harvard University,Cambridge,MA,Crimson
kentucky,University of Kentucky,Lexington,KY,Wildcats
wshngtonmo,Washington University in Saint Louis,Saint Louis,MO,Bears
lsu,Louisiana State University,Baton Rouge,LA,Tigers
nillinois,Northern Illinois University,DeKalb,IL,Huskies
florida,University of Florida,Gainesville,FL,Gators
heidelberg,Heidelberg College,Tiffin,OH,Princes
clarksonny,Clarkson University,Potsdam,NY,Knights
abilchrist,Abilene Christian University,Abilene,TX,Wildcats
nmhighland,New Mexico Highlands University,Las Vegas,NM,Cowboys
