playerid,yearid,round,teamid,lgid,w,l,g,gs,cg,sho,sv,ipouts,h,er,hr,bb,so,baopp,era,ibb,wp,hbp,bk,bfp,gf,r,sh,sf,gidp
pennybr01,2003,WS,FLO,NL,2,0,2,2,0,0,0,37,15,3,1,5,7,0.0,2.0,0.0,0.0,0.0,0.0,53.0,0,4,0.0,1.0,3.0
feldmsc01,2011,ALDS2,TEX,AL,0,0,1,0,0,0,0,9,2,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0,0,,,0.0
smoltjo01,1999,NLDS1,ATL,NL,1,0,1,1,0,0,0,21,6,4,2,3,3,0.0,5.0,0.0,0.0,1.0,0.0,32.0,0,4,1.0,0.0,0.0
lowdegr01,1919,WS,CHA,AL,0,0,1,0,0,0,0,3,2,1,0,1,0,0.0,9.0,0.0,0.0,1.0,0.0,7.0,1,1,1.0,0.0,0.0
marquja01,2004,NLDS1,SLN,NL,0,0,1,1,0,0,0,10,4,3,3,4,0,0.0,8.0,0.0,0.0,0.0,0.0,17.0,0,3,0.0,0.0,1.0
hershor01,1985,NLCS,LAN,NL,1,0,2,2,1,0,0,46,17,6,0,6,5,0.0,3.0,0.0,1.0,0.0,0.0,66.0,0,6,0.0,0.0,1.0
drabomo01,1970,WS,BAL,AL,0,0,2,0,0,0,0,10,2,1,1,1,1,0.0,2.0,0.0,0.0,0.0,0.0,12.0,1,1,1.0,0.0,0.0
rodrifr03,2002,WS,ANA,AL,1,1,4,0,0,0,0,26,6,2,1,1,13,0.0,2.0,0.0,1.0,0.0,0.0,32.0,1,3,0.0,0.0,0.0
kimby01,2001,WS,ARI,NL,0,1,2,0,0,0,0,10,6,5,3,1,6,0.0,13.0,0.0,0.0,0.0,0.0,17.0,1,5,0.0,0.0,0.0
carutbo01,1886,WS,SL4,AA,2,1,3,3,3,1,0,78,18,7,3,6,12,,2.0,,,,,,0,14,,,
shielsc01,2005,ALDS2,LAA,AL,1,1,4,0,0,0,0,15,4,2,0,3,5,0.0,3.0,0.0,0.0,0.0,0.0,23.0,1,2,0.0,1.0,0.0
forscbo01,1985,WS,SLN,NL,0,1,2,1,0,0,0,9,6,4,0,1,3,0.0,12.0,0.0,1.0,0.0,0.0,15.0,0,4,0.0,0.0,1.0
sprinru01,2005,NLDS2,HOU,NL,0,0,2,0,0,0,0,7,5,1,0,1,1,0.0,3.0,0.0,0.0,0.0,0.0,11.0,0,1,1.0,0.0,1.0
lopezau01,1984,ALCS,DET,AL,1,0,1,0,0,0,0,9,4,0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1,0,0.0,0.0,0.0
byrdpa01,2008,ALCS,BOS,AL,0,0,1,0,0,0,0,10,5,4,2,0,2,0.0,10.0,0.0,0.0,0.0,0.0,15.0,1,4,0.0,0.0,0.0
swindgr01,2001,WS,ARI,NL,0,0,3,0,0,0,0,8,1,0,0,1,2,0.0,0.0,0.0,1.0,0.0,0.0,10.0,2,0,0.0,0.0,0.0
rincoju01,2006,ALDS2,MIN,AL,0,0,2,0,0,0,0,9,1,1,0,0,3,0.0,3.0,0.0,0.0,0.0,0.0,10.0,0,1,0.0,0.0,0.0
morrima01,2005,NLDS1,SLN,NL,1,0,1,1,0,0,0,18,5,2,0,3,4,0.0,3.0,0.0,0.0,0.0,0.0,26.0,0,2,0.0,0.0,0.0
weaveje01,2009,NLDS1,LAN,NL,1,0,1,0,0,0,0,4,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0,0,0.0,0.0,0.0
