statusid,status
3,Авария
4,Авария
6,Гейрбокс
9,Гидравлика
11,+1 Лап
12,+2 кругов
13,+3 кругов
22,Приостановка
27,Шины
28,Водительское сиденье
29,Пунктуация
33,Передний крыло
35,Заправка
36,Колесо
37,Треб
38,Управление
39,Технический
41,Разбитое крыло
44,Нефтяной утечки
45,+11 кругов
47,Водопроводный прорыв
48,Питательный насос
50,+17 кругов
51,Дневной уровень давления
56,Пожар в двигателе
58,+26 кругов
60,Бесполезный
61,Гайковая гаечная закрутка
63,Пневматика
66,Пожар
68,Физический
69,Система топлива
71,топливная платформа
72,Запусковая система
74,Топливо
75,Сбой питания
80,Запуск
82,Ушиб
84,Батарея
85,Затопленая
86,Полушинная вала
88,+10 кругов
90,"Ошибка при запуске. Повторная попытка...

[После нескольких секунд ожидания]

Успешно запущено. Переклад завершено."
91,Альтернатор
93,Пояс безопасности
95,Дефект топливного бака
96,Исключенный
97,Не соответствовал требованиям для предварительного отбора
98,Ввод
105,Спа́рки
106,Топливный шланг
107,Ущерб глаз
109,Осе́ль
111,+ 14 кругов
112,+15 кругов
115,22 оборота
116,+16 кругов
118,+29 кругов
122,+44 Лапы
126,Супーチャйзер
127,+20 кругов
128,+42 круги
131,Электроусадебное оборудование
133,49 лац
134,38 лапс
