raceid,year,round,circuitid,name,date,time,url
9,2009,9,20,Гран-при Германии,2009-07-12,12:00:00,"Гран-при Германии 2009 года — гоночный этап, прошедший 31 августа на трассе Хоккенхайм в Германии в рамках чемпионата мира в классе «Формула-1» сезона 2009 года."
27,2008,10,10,Гран-при Германии,2008-07-20,12:00:00,"2008 Гран-при Германии

Гран-при Германии 2008 года, 11-й этап чемпионата мира в сезоне 2008 года, прошёл на трассе Хоккенхайм, Германия.

Квалификация:

Льюис Хэмилтон (McLaren) квалифицировался первым, обойдя Фелипе Массу (Ferrari), а также установив новый рекорд трассы."
45,2007,10,20,Европейский Гран-при,2007-07-22,12:00:00,"2007 года, Гран-при Европы

Эта статья содержит информацию о Гран-при Европы 2007 года в рамках чемпионата мира по автогонкам в классе «Формула-1», который прошёл 24 июня 2007 года на Нюрбургринге в Германии.

Полный порядок старта:

1. Кими Райкконен, Ferrari

2. Льюис Хэмилтон, McLaren-Mercedes

3. Ник Хайдфельд, BMW Sauber

4. Роберт Кубица, BMW Sauber

5. Фернандо Алонсо, McLaren-Mercedes

6. Марк Уэббер, Red Bull Racing

7. Дэймон Хилл, Toyota

8. Дэвид Коултар, Red Bull Racing

9. Джанкарло Физикелла, Renault

10. Тьягу Монтейро, BMW Sauber

11. Нельсон Пике, Renault

12. Якуб Кайс, Scuderia Toro Rosso

13. Sébastien Bourdais, Toro Rosso

14. Vitantonio Liuzzi, Williams-Toyota

15. Александр Врюкс, Spyker-Ferrari

16. Ярно Трулли, Toyota

17. Адам К레이, Super Aguri-Honda

18. Рубенс Баррикелло, Honda

19. Антонио Пиццония, Williams-Toyota

20. Джанкарло Физикелла, Renault

21. Александр Врюкс, Spyker-Ferrari

22. Ярно Трулли, Toyota

Стартовали не по порядку расположения на решетке:

1. Кими Райкконен, Ferrari

2. Льюис Хэмилтон, McLaren-Mercedes

3. Ник Хайдфельд, BMW Sauber

4. Роберт Кубица, BMW Sauber

5. Фернандо Алонсо, McLaren-Mercedes

6. Марк Уэббер, Red Bull Racing

7. Дэймон Хилл, Toyota

8. Джанкарло Физикелла, Renault

9. Тьягу Монтейро, BMW Sauber

10. Ярно Трулли, Toyota

11. Нельсон Пике, Renault

12. Рубенс Баррикелло, Honda

13. Себастьян Феттель, Toro Rosso

14. Якуб Кайс, Scuderia Toro Rosso

15. Vitantonio Liuzzi, Williams-Toyota

16. Дэвид Коултар, Red Bull Racing

17. Александр Врюкс, Spyker-Ferrari

18. Джанкарло Физикелла, Renault

19. Адам Крей, Super Aguri-Honda

20. Рубенс Баррикелло, Honda

21. Якуб Кайс, Scuderia Toro Rosso

22. Vitantonio Liuzzi, Williams-Toyota

Из-за технических проблем со стартовали с пит-лейна:

Адам Крей (Super Aguri)

Из-за аварии на старте сошли:

Деймон Хилл (Toyota)

Дэвид Коултар (Red Bull)

Джанкарло Физикелла (Renault)

 Rubens Barrichello (Honda)

Якуб Кайс (Scuderia Toro Rosso)

Vitantonio Liuzzi (Williams)

Александр Врюкс (Spyker)

Ярно Трулли (Toyota)

Нельсон Пике (Renault)"
57,2006,5,20,Европейский Гран-при,2006-05-07,14:00:00,2006 Гран-при Европы
64,2006,12,10,Гран-при Германии,2006-07-30,14:00:00,"2006 года в Германии
2006 год, Гран-при Германии
2006 год, Нюрбургринг
Гран-при Германии 2006 года — автогонка, проведённая 3 сентября 2006 года на трассе Нюрбургринг в Германии. Это был одиннадцатый этап чемпионата мира в сезоне 2006 года среди пилотов и девятый — среди конструкторов."
77,2005,7,20,Европейский Гран-при,2005-05-29,14:00:00,2005 Европейский Гран-при
82,2005,12,10,Гран-при Германии,2005-07-24,14:00:00,Википедия: 2005 Немецкий Гран-при
96,2004,7,20,Европейский Гран-при,2004-05-30,,2004 ГП Европы
101,2004,12,10,Гран-при Германии,2004-07-25,,"2004 год, Гран-при Германии"
116,2003,9,20,Европейский Гран-при,2003-06-29,,"Гран-при Европы 2003 года — автогонка, которая прошла в Испании 1 июня на трассе Каталония в Барселоне."
