playerid,year,stint,tmid,lgid,gp,min,w,l,t/ol,eng,sho,ga,sa,postgp,postmin,postw,postl,postt,posteng,postsho,postga,postsa
delguma01,1991,1,BOS,NHL,10,424,2,5,1,0,0,28,239,,,,,,,,,
smithbi01,1986,1,NYI,NHL,40,2252,14,18,5,3,1,132,1007,2,67,0,0,,1,0,1,22
karakmi01,1939,1,MTL,NHL,5,310,0,4,1,,0,18,,,,,,,,,,
osgooch01,2001,1,NYI,NHL,66,3743,32,25,6,6,4,156,1727,7,392,3,4,,3,0,17,193
sawchte01,1959,1,DET,NHL,58,3480,24,20,14,,5,156,,6,405,2,4,,,0,20,
winklha01,1926,1,NYR,NHL,8,514,3,4,1,,2,16,,,,,,,,,,
melocgi01,1979,1,MNS,NHL,54,3141,27,20,5,1,1,160,,11,564,5,4,,0,1,34,
bowerjo01,1954,1,NYR,NHL,5,300,2,2,1,,0,13,,,,,,,,,,
hoganpa01,1975,1,NEW,WHA,4,224,1,2,0,0,0,16,108,,,,,,,,,
plantja01,1955,1,MTL,NHL,64,3840,42,12,10,,7,119,,10,600,8,2,,,2,18,
mcleaki01,1987,1,VAN,NHL,41,2380,11,27,3,4,1,147,1178,,,,,,,,,
millegr01,1989,3,CHI,NHL,10,575,5,4,1,1,0,32,267,14,613,6,6,,0,0,40,300
thibajo01,2000,1,CHI,NHL,66,3844,27,32,7,7,6,180,1711,,,,,,,,,
aubryse01,1976,1,QUN,WHA,21,769,6,5,0,2,1,51,369,3,18,0,0,,0,0,1,10
faveldo01,1970,1,PHI,NHL,44,2434,16,15,9,3,2,108,,2,120,0,2,,0,0,8,
fitzpma01,1993,1,FLO,NHL,28,1603,12,8,6,3,1,73,844,,,,,,,,,
healygl01,1994,1,NYR,NHL,17,888,8,6,1,0,1,35,377,5,230,2,1,,0,0,13,93
masonch02,2008,1,STL,NHL,57,3215,27,21,7,7,6,129,1544,4,256,0,4,,1,0,10,119
bishobe01,2011,1,OTT,NHL,10,532,3,3,2,0,0,22,243,,,,,,,,,
esposto01,1968,1,MTL,NHL,13,746,5,4,4,2,2,34,,,,,,,,,,
toskave01,2006,1,SJS,NHL,38,2142,26,10,1,3,4,84,915,,,,,,,,,
aitkean01,1932,1,NYR,NHL,48,2970,23,17,8,,3,107,,8,488,6,1,1,,2,13,
millegr01,1988,1,STL,NHL,52,3019,22,20,7,3,6,170,1411,10,649,5,5,,0,0,34,308
huetcr01,2005,1,MTL,NHL,36,2103,18,11,4,1,7,77,1085,6,386,2,4,,0,0,15,212
fuhrgr01,1996,1,STL,NHL,73,4261,33,27,11,4,3,193,1940,6,357,2,4,,0,2,13,183
fisetst01,1993,1,QUE,NHL,50,2798,20,25,4,7,2,158,1434,,,,,,,,,
zimmely01,1977,1,HOU,WHA,20,1166,10,9,0,2,0,84,641,4,131,1,2,,0,0,8,
poppeto01,2006,1,CBS,NHL,2,45,0,0,0,0,0,1,14,,,,,,,,,
clemmsc01,2007,1,TOR,NHL,3,154,1,1,0,0,0,10,62,,,,,,,,,
myllyja01,1989,1,MNS,NHL,4,156,0,3,0,1,0,16,83,,,,,,,,,
gambltr01,1986,1,VAN,NHL,1,60,0,1,0,1,0,4,23,,,,,,,,,
bouchda01,1977,1,ATF,NHL,58,3340,25,12,19,0,2,153,,2,120,0,2,,1,0,7,
gossema01,1988,1,QUE,NHL,39,2064,11,19,3,0,0,146,1105,,,,,,,,,
caseyjo01,1991,1,MNS,NHL,52,2911,19,23,5,6,2,165,1401,7,437,3,4,,1,0,22,225
roachjo01,1934,1,DET,NHL,23,1460,7,11,5,,4,62,,,,,,,,,,
weekeke01,2000,1,TBL,NHL,61,3378,20,33,3,8,4,177,1742,,,,,,,,,
smithbi01,1974,1,NYI,NHL,58,3368,21,18,17,3,3,156,,6,333,1,4,,1,0,23,
benedcl01,1929,1,MTM,NHL,14,752,6,6,1,,0,38,,,,,,,,,,
waiteji01,1995,1,CHI,NHL,1,31,0,0,0,0,0,0,8,,,,,,,,,
puppada01,1999,1,TBL,NHL,5,249,1,2,0,0,0,19,129,,,,,,,,,
garrejo01,1975,1,MFS,WHA,52,3179,26,22,4,3,2,177,1733,,,,,,,,,
bouchda01,1976,1,ATF,NHL,42,2378,17,17,5,2,1,139,,1,60,0,1,,0,0,5,
luongro01,2007,1,VAN,NHL,73,4233,35,29,9,3,6,168,2029,,,,,,,,,
brodema01,1998,1,NJD,NHL,70,4239,39,21,10,4,4,162,1728,7,425,3,4,,1,0,20,139
benedcl01,1918,1,OTS,NHL,18,1152,12,6,0,,2,53,,5,300,1,4,0,,0,26,
holmeha01,1922,1,SEA,PCHA,30,1838,15,15,0,,3,106,,,,,,,,,,
chevral01,1989,2,PIT,NHL,3,166,1,2,0,0,0,14,89,,,,,,,,,
aubryse01,1974,1,QUN,WHA,31,1762,17,11,0,0,0,109,959,,,,,,,,,
rutheji01,1973,1,PIT,NHL,26,1432,7,12,4,1,0,82,,,,,,,,,,
budajpe01,2010,1,COL,NHL,45,2439,15,21,4,8,1,130,1234,,,,,,,,,
olescbi01,1975,1,KCS,NHL,1,60,0,1,0,0,0,4,,,,,,,,,,
edwardo01,1980,1,BUF,NHL,45,2700,23,10,12,4,3,133,,8,503,4,4,,2,0,28,
smithal02,1976,1,BUF,NHL,7,265,0,3,0,0,0,19,,,,,,,,,,
taylobo02,1975,2,PIT,NHL,2,78,0,1,0,1,0,7,,,,,,,,,,
garrejo01,1984,1,VAN,NHL,10,407,1,5,0,0,0,44,243,,,,,,,,,
dafoeby01,2000,1,BOS,NHL,45,2536,22,14,7,1,2,101,1076,,,,,,,,,
brodema01,2003,1,NJD,NHL,75,4555,38,26,11,4,11,154,1845,5,298,1,4,,1,0,13,133
norrefr01,2007,1,CBS,NHL,37,1960,10,19,6,6,2,89,856,,,,,,,,,
fernama01,1994,1,DAL,NHL,1,59,0,1,0,0,0,3,27,,,,,,,,,
landobr01,1975,1,NEW,WHA,38,2181,14,19,5,3,0,126,1094,4,197,3,0,,0,0,7,104
dubnyde01,2010,1,EDM,NHL,35,2061,12,13,8,4,2,93,1103,,,,,,,,,
rinnepe01,2009,1,NAS,NHL,58,3246,32,16,5,5,7,137,1541,6,358,2,4,,1,0,16,179
jenseal01,1986,1,WAS,NHL,6,328,1,3,1,1,0,27,184,,,,,,,,,
vezinge01,1924,1,MTL,NHL,30,1860,17,11,2,,5,56,,2,120,2,0,0,,1,2,
thomati01,2010,1,BOS,NHL,57,3364,35,11,9,3,9,112,1811,25,1542,16,9,,2,4,51,849
aebisda01,2002,1,COL,NHL,22,1235,7,12,0,4,1,50,593,,,,,,,,,
belfoed01,1995,1,CHI,NHL,50,2956,22,17,10,3,1,135,1373,9,666,6,3,,0,1,23,323
lehmahu01,1926,1,CHI,NHL,44,2797,19,22,3,,5,116,,2,120,0,1,1,,0,10,
bromlga01,1977,1,WIJ,WHA,39,2252,25,12,1,1,1,124,1090,5,268,4,0,,0,0,7,
beaupdo01,1993,1,WAS,NHL,53,2853,24,16,8,3,2,135,1122,8,429,5,2,,0,1,21,191
josepcu01,2007,1,CAL,NHL,9,400,3,2,0,1,0,17,181,2,79,1,0,,0,0,1,33
stanied01,1975,1,STL,NHL,11,620,5,3,2,0,0,33,,3,206,1,2,,0,0,7,
conklty01,2009,1,STL,NHL,26,1451,10,10,2,2,4,60,764,,,,,,,,,
huetcr01,2009,1,CHI,NHL,48,2731,26,14,4,1,4,114,1083,1,20,0,0,,0,0,0,3
stefagr01,1984,1,DET,NHL,46,2635,21,19,3,1,0,190,1361,3,138,0,3,,0,0,17,69
berthda01,1989,1,WIN,NHL,24,1387,10,11,3,2,1,86,667,,,,,,,,,
berthda01,1991,1,BOS,NHL,8,399,1,4,2,0,0,21,156,,,,,,,,,
levaslo01,1977,1,NEW,WHA,27,1655,14,11,2,3,3,91,796,12,719,8,4,,1,0,31,
halakja01,2009,1,MTL,NHL,45,2630,26,13,5,3,5,105,1386,18,1013,9,9,,3,0,43,562
vanbijo01,1981,1,NYR,NHL,1,60,1,0,0,0,0,1,,,,,,,,,,
munrodu01,1924,1,MTM,NHL,1,2,0,0,0,,0,0,,,,,,,,,,
maniace01,1973,1,MNS,NHL,40,2378,12,18,10,0,1,138,,,,,,,,,,
benedcl01,1912,1,OT1,NHA,4,215,2,1,0,,1,11,,,,,,,,,,
khabini01,2006,1,CHI,NHL,60,3425,25,26,5,7,1,163,1668,,,,,,,,,
gerbema01,2008,2,TOR,NHL,12,706,6,5,0,1,0,38,402,,,,,,,,,
brodatu01,1942,1,TOR,NHL,50,3000,22,19,9,,1,159,,6,439,2,4,,,0,20,
berthda01,1986,1,WIN,NHL,31,1758,18,7,3,1,1,93,810,8,439,4,4,,0,0,21,210
brathfr01,1994,1,EDM,NHL,14,601,2,5,1,1,0,40,292,,,,,,,,,
shtalmi01,1996,1,ANA,NHL,24,1079,7,8,1,4,2,52,539,4,211,0,3,,1,0,10,162
bryzgil01,2009,1,PHO,NHL,69,4084,42,20,6,6,8,156,1961,7,419,3,4,,2,0,24,255
raycran01,2002,1,BOS,NHL,5,300,2,3,0,0,0,12,146,,,,,,,,,
stephwa01,1980,1,WAS,NHL,20,1010,4,7,5,0,1,66,,,,,,,,,,
dejorde01,1966,1,CHI,NHL,44,2536,22,12,7,0,4,104,,4,184,1,2,,0,0,10,
billicr01,1991,1,NJD,NHL,26,1363,13,7,1,2,2,69,637,,,,,,,,,
hebencl01,1975,1,PHR,WHA,2,80,0,1,0,0,0,9,48,,,,,,,,,
garonma01,2000,1,MTL,NHL,11,589,4,5,1,1,2,24,233,,,,,,,,,
coxab01,1933,2,NYA,NHL,1,24,0,1,0,,0,3,,,,,,,,,,
goverda01,1992,1,LAK,NHL,2,98,0,2,0,1,0,13,51,,,,,,,,,
pangda01,1988,1,CHI,NHL,35,1644,10,11,6,1,0,120,915,2,10,0,0,,0,0,0,4
lehmahu01,1925,1,VMR,WCHL,30,1826,10,18,2,,3,90,,,,,,,,,,
pietrfr01,1991,2,HAR,NHL,5,306,3,1,1,0,0,12,156,7,425,3,4,,1,0,19,244
boycear01,1913,1,MOW,NHA,4,220,0,3,0,,0,31,,,,,,,,,,
peetepe01,1988,1,WAS,NHL,33,1854,20,7,3,0,4,88,790,6,359,2,4,,1,0,24,164
kerrda01,1935,1,NYR,NHL,47,2980,18,17,12,,8,95,,,,,,,,,,
kurtga01,1971,1,CLF,NHL,16,838,1,7,5,1,0,60,,,,,,,,,,
mcelhcu01,2010,2,OTT,NHL,7,399,3,4,0,1,0,17,205,,,,,,,,,
melocgi01,1985,1,PIT,NHL,34,1989,13,15,5,5,0,119,1003,,,,,,,,,
plassmi01,1981,1,QUE,NHL,8,388,2,3,1,1,0,35,,,,,,,,,,
veisomi01,1976,1,CHI,NHL,3,180,1,2,0,0,0,13,,,,,,,,,,
bouchda01,1984,1,QUE,NHL,29,1738,12,13,4,1,0,101,824,1,60,0,1,,0,0,7,24
laforma01,1993,1,OTT,NHL,5,182,0,2,0,0,0,17,96,,,,,,,,,
wolfebe01,1976,1,WAS,NHL,37,1779,7,15,9,2,1,114,,,,,,,,,,
basseha01,1965,1,DET,NHL,11,406,3,3,0,1,0,17,,1,54,0,1,,0,0,2,
montoal01,2010,1,NYI,NHL,21,1154,9,5,5,1,1,46,585,,,,,,,,,
dunhami01,1999,1,NAS,NHL,52,3077,19,27,6,3,0,146,1584,,,,,,,,,
fitzpma01,1988,1,LAK,NHL,17,957,6,7,3,3,0,64,566,,,,,,,,,
perrebo01,1955,1,MTL,NHL,6,360,3,3,0,,1,12,,,,,,,,,,
jonesch01,1909,1,COB,NHA,12,724,4,8,0,,0,104,,,,,,,,,,
mcleodo01,1970,1,DET,NHL,14,698,3,7,0,2,0,60,,,,,,,,,,
ellisda01,2010,1,TBL,NHL,31,1679,13,7,6,4,2,82,741,,,,,,,,,
neuvimi01,2011,1,WAS,NHL,38,2020,13,13,5,4,3,95,976,,,,,,,,,
romanro01,1985,1,PIT,NHL,46,2684,21,20,3,6,2,159,1394,,,,,,,,,
graharo02,1973,1,HOU,WHA,4,250,3,0,1,0,1,5,123,,,,,,,,,
gamblbr01,1969,1,TOR,NHL,52,3057,19,24,9,0,5,156,,,,,,,,,,
dunhami01,2003,1,NYR,NHL,57,3148,16,30,6,1,2,159,1522,,,,,,,,,
wilsodu01,1976,1,PIT,NHL,45,2627,18,19,8,1,5,129,,,,,,,,,,
caprifr01,1986,1,VAN,NHL,25,1390,8,11,2,2,0,89,643,,,,,,,,,
bironma01,2005,1,BUF,NHL,35,1934,21,8,3,2,1,93,980,,,,,,,,,
moranpa01,1916,1,QU1,NHA,6,377,1,5,0,,0,34,,,,,,,,,,
tabarri01,1991,1,WIN,NHL,18,966,6,7,3,1,0,52,470,7,387,3,4,,0,0,26,212
burkese01,1997,2,VAN,NHL,16,838,2,9,4,1,0,49,396,,,,,,,,,
worslgu01,1969,1,MTL,NHL,6,360,3,1,2,0,0,14,,,,,,,,,,
giacoed01,1974,1,NYR,NHL,37,2069,13,12,8,1,1,120,,2,86,0,2,,0,0,4,
hoffobr01,1990,1,PHI,NHL,2,39,1,0,1,0,0,3,20,,,,,,,,,
sawchte01,1955,1,BOS,NHL,68,4080,22,33,13,,9,181,,,,,,,,,,
fisetst01,1989,1,QUE,NHL,6,342,0,5,1,1,0,34,199,,,,,,,,,
croziro01,1976,1,WAS,NHL,3,103,1,0,0,0,0,2,,,,,,,,,,
niittan01,2003,1,PHI,NHL,3,180,3,0,0,0,0,3,77,,,,,,,,,
kurtga01,1974,1,PHR,WHA,47,2841,25,16,4,1,2,156,1356,4,207,1,2,,1,0,12,81
cheevge01,1975,1,CLC,WHA,28,1570,11,14,1,1,1,95,834,,,,,,,,,
almasre01,1952,1,DET,NHL,1,60,0,0,1,,0,3,,,,,,,,,,
kochadi01,2001,1,TBL,NHL,5,237,0,3,1,0,0,16,129,,,,,,,,,
dionmi01,1977,1,CIN,WHA,45,2356,21,17,1,2,4,140,1220,,,,,,,,,
fosteno01,1991,1,EDM,NHL,10,439,5,3,0,0,0,20,183,,,,,,,,,
