year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1921,WCHL,REG,6,3,1,2,7,8,,,,,,,,
1976,NHL,TOR,9,4,5,0,31,29,115,0,14,43,1,8,28,0
1978,NHL,NYI,10,6,4,0,27,21,144,0,3,31,0,3,27,1
2002,NHL,PHI,13,6,7,0,34,33,152,4,5,50,4,9,50,1
1952,NHL,CHI,7,3,4,0,14,18,59,,,,,,,
1986,NHL,STL,6,2,4,0,12,15,182,2,5,30,0,2,28,0
1918,NHL,OTS,5,1,4,0,18,26,69,,,,,,,
1975,NHL,LAK,9,5,4,0,17,27,151,2,5,41,2,11,43,0
1929,NHL,BOS,6,3,3,0,14,12,90,,,,,,,
1960,NHL,CHI,12,8,4,0,35,27,162,,,,,,,
2000,NHL,PIT,18,9,9,0,38,44,214,2,11,61,3,16,73,1
2002,NHL,NYI,5,1,4,0,7,13,108,0,3,31,0,4,30,0
1931,NHL,NYR,7,3,4,0,23,27,98,,,,,,,
1958,NHL,CHI,6,2,4,0,16,21,93,,,,,,,
1960,NHL,TOR,5,1,4,0,8,15,46,,,,,,,
2007,NHL,MIN,6,2,4,0,12,17,141,2,3,21,1,6,30,2
1946,NHL,TOR,11,8,3,0,31,27,144,,,,,,,
1962,NHL,CHI,6,2,4,0,19,25,104,,,,,,,
2009,NHL,BOS,13,7,6,0,36,37,175,4,11,45,0,5,50,0
1981,NHL,CAL,3,0,3,0,5,10,112,2,2,12,0,2,10,0
1985,NHL,QUE,3,0,3,0,7,16,116,0,3,16,1,5,14,1
1994,NHL,BOS,5,1,4,0,5,14,47,2,2,20,1,5,17,0
2003,NHL,STL,5,1,4,0,9,12,68,0,1,22,1,3,31,2
1980,NHL,VAN,3,0,3,0,7,13,77,0,1,12,0,4,11,0
2009,NHL,OTT,6,2,4,0,19,24,123,6,7,22,1,7,28,0
1996,NHL,DAL,7,3,4,0,18,21,136,0,3,40,1,6,34,1
1983,NHL,DET,4,1,3,0,12,13,131,0,4,25,1,5,17,1
1933,NHL,DET,9,4,5,0,18,21,65,,,,,,,
1973,NHL,MTL,6,2,4,0,17,21,91,,2,,0,3,,0
1982,NHL,QUE,4,1,3,0,8,11,117,0,2,12,0,3,24,1
1940,NHL,CHI,5,2,3,0,10,12,62,,,,,,,
1979,NHL,BOS,10,4,6,0,35,33,346,0,6,37,1,8,33,2
2008,NHL,MTL,4,0,4,0,6,17,103,2,0,8,0,4,16,0
1991,NHL,MTL,11,4,7,0,29,32,208,0,9,59,2,10,57,1
2002,NHL,WAS,6,2,4,0,15,14,88,4,5,27,1,4,27,0
1985,NHL,STL,19,10,9,0,64,70,579,0,13,91,3,26,96,3
2003,NHL,CAL,26,15,11,0,60,53,444,0,15,108,0,21,121,3
2005,NHL,SJS,11,6,5,0,29,29,144,2,11,72,2,12,62,0
1953,NHL,MTL,11,7,4,0,28,18,160,,,,,,,
1971,NHL,BOS,15,12,3,0,64,34,389,,18,,1,11,,5
2001,NHL,OTT,12,7,5,0,29,18,115,0,9,55,0,6,41,0
1939,NHL,CHI,2,0,2,0,3,5,14,,,,,,,
2000,NHL,STL,15,9,6,0,40,34,183,0,9,62,1,8,64,3
2010,NHL,VAN,25,15,10,0,58,69,435,12,19,93,6,19,99,1
1979,NHL,NYR,9,4,5,0,21,22,194,0,5,39,2,4,40,1
2010,NHL,TBL,18,11,7,0,59,45,207,8,17,67,1,6,78,1
1940,NHL,MTL,3,1,2,0,7,8,34,,,,,,,
2009,NHL,NJD,5,1,4,0,9,15,92,4,4,32,0,8,29,1
1975,NHL,NYI,13,7,6,0,43,39,247,0,9,49,2,7,60,1
1987,NHL,EDM,19,16,2,1,87,56,635,8,32,117,,20,117,2
2009,NHL,DET,12,5,7,0,43,33,178,4,12,57,1,12,64,0
2005,NHL,NJD,9,5,4,0,27,21,140,2,11,58,0,11,45,4
1955,NHL,NYR,5,1,4,0,9,24,62,,,,,,,
1960,NHL,DET,11,6,5,0,27,27,108,,,,,,,
1985,NHL,MTL,20,15,5,0,56,41,689,6,17,93,3,10,82,4
1952,NHL,DET,6,2,4,0,21,21,50,,,,,,,
1945,NHL,DET,5,1,4,0,10,16,22,,,,,,,
1967,NHL,BOS,4,0,4,0,8,15,56,,1,,0,3,,0
1983,NHL,NYI,21,12,9,0,62,60,405,0,13,81,1,18,101,2
2007,NHL,NYR,10,5,5,0,31,27,150,4,7,42,0,10,48,1
2007,NHL,NJD,5,1,4,0,12,19,56,0,5,24,1,4,17,0
2010,NHL,SJS,18,9,9,0,51,58,276,6,14,73,0,18,76,0
1993,NHL,TOR,18,9,9,0,50,47,375,0,22,74,1,13,86,4
1984,NHL,WAS,5,2,3,0,12,14,90,0,4,28,0,3,17,0
1975,NHL,CHI,4,0,4,0,3,13,67,2,2,16,1,3,17,0
1948,NHL,BOS,5,1,4,0,10,16,50,,,,,,,
2010,NHL,PHI,11,4,7,0,29,38,173,4,7,49,0,9,47,0
2009,NHL,NAS,6,2,4,0,15,17,52,4,1,27,1,4,23,1
1974,NHL,NYI,17,9,8,0,47,50,377,0,15,77,3,9,72,2
1931,NHL,MTM,4,1,1,2,6,5,24,,,,,,,
2005,NHL,BUF,18,11,7,0,60,49,220,0,16,99,2,16,92,5
1991,NHL,NJD,7,3,4,0,25,28,177,4,5,29,4,9,35,1
2005,NHL,NAS,5,1,4,0,10,17,88,0,6,32,0,9,37,1
1996,NHL,PHI,19,12,7,0,67,55,245,4,18,94,5,19,89,3
1990,NHL,VAN,6,2,4,0,16,26,154,0,5,23,0,5,24,1
1998,NHL,TOR,17,9,8,0,43,46,252,0,12,87,3,13,71,0
1976,NHL,NYI,12,8,4,0,36,32,160,0,6,34,1,9,43,1
1990,NHL,NYR,6,2,4,0,16,16,183,0,4,36,1,2,28,0
1943,NHL,DET,5,1,4,0,8,17,39,,,,,,,
1995,NHL,VAN,6,2,4,0,17,24,99,0,7,39,0,8,36,0
2010,NHL,NYR,5,1,4,0,8,13,62,4,1,20,0,3,16,0
1921,NHL,TRS,2,1,0,1,5,4,28,,,,,,,
2002,NHL,BOS,5,1,4,0,8,13,70,0,3,18,0,3,22,0
1981,NHL,CHI,15,8,7,0,50,51,547,4,11,62,1,14,72,2
1978,NHL,TOR,6,2,4,0,19,24,192,0,3,19,0,9,30,1
1998,NHL,NJD,7,3,4,0,18,21,86,2,5,27,0,4,26,1
1944,NHL,MTL,6,2,4,0,21,15,45,,,,,,,
1983,NHL,MTL,15,9,6,0,42,32,450,6,9,70,1,8,58,1
1931,NHL,CHI,2,1,1,0,2,6,18,,,,,,,
1972,NHL,BOS,5,1,4,0,11,22,66,,1,,0,4,,1
1973,NHL,ATF,4,0,4,0,6,17,123,,2,,1,5,,0
