year,lgid,tmid,oppid,w,l,t,otl
1940,NHL,TOR,NYA,4,1,3.0,
1973,NHL,PHI,MTL,2,2,1.0,
2001,NHL,ANA,ATL,2,0,0.0,0
2002,NHL,FLO,BOS,1,1,1.0,1
1997,NHL,STL,NYI,0,1,1.0,
1970,NHL,BOS,BUF,4,1,1.0,
1992,NHL,EDM,MNS,3,0,1.0,
1972,WHA,LAS,QUN,3,2,1.0,
1993,NHL,HAR,NYR,1,3,0.0,
2006,NHL,STL,SJS,1,2,,1
1998,NHL,NYI,TOR,1,3,0.0,
1996,NHL,HAR,SJS,1,1,0.0,
1974,WHA,MIB,WIJ,2,4,0.0,
1992,NHL,STL,TOR,0,4,3.0,
1994,NHL,DAL,WIN,2,2,0.0,
2011,NHL,NAS,TBL,1,0,,0
2007,NHL,BUF,STL,0,1,,0
1967,NHL,NYR,STL,3,1,0.0,
2000,NHL,EDM,MTL,1,2,0.0,0
1999,NHL,SJS,WAS,2,0,0.0,0
1989,NHL,CAL,CHI,2,0,1.0,
1997,NHL,WAS,DET,0,2,0.0,
1990,NHL,TOR,CAL,0,3,0.0,
1988,NHL,DET,EDM,2,1,0.0,
2000,NHL,ANA,CAL,2,0,2.0,0
1992,NHL,NYI,NYR,4,2,1.0,
1993,NHL,BOS,TOR,0,2,0.0,
1968,NHL,TOR,CHI,4,3,1.0,
1973,NHL,NYR,LAK,2,1,2.0,
2006,NHL,DET,LAK,3,1,,0
1995,NHL,NJD,SJS,0,1,1.0,
2003,NHL,MIN,TOR,0,1,0.0,0
1971,NHL,LAK,BOS,1,4,1.0,
1985,NHL,MTL,PIT,2,0,1.0,
1986,NHL,NYI,MNS,3,0,0.0,
1975,WHA,PHR,CAC,3,1,0.0,
1977,NHL,TOR,COR,4,0,0.0,
2011,NHL,VAN,MTL,1,1,,0
1989,NHL,MTL,BOS,3,4,1.0,
1993,NHL,STL,SJS,4,1,0.0,
2003,NHL,CAL,NYR,1,0,0.0,0
2006,NHL,SJS,VAN,1,1,,2
2007,NHL,VAN,NYI,1,0,,0
1994,NHL,PHI,TBL,4,0,0.0,
1989,NHL,VAN,STL,1,2,0.0,
2011,NHL,WPG,MTL,1,3,,0
2000,NHL,TOR,COL,0,0,1.0,0
1926,NHL,DTC,NYR,1,3,2.0,
2002,NHL,STL,CAL,4,0,0.0,0
1949,NHL,DET,NYR,7,5,2.0,
2001,NHL,NJD,NYI,3,2,0.0,0
1979,NHL,NYI,MNS,0,2,2.0,
1938,NHL,NYA,TOR,4,3,1.0,
2010,NHL,PIT,NJD,4,1,,1
2005,NHL,VAN,NJD,0,1,,0
1922,NHL,TRS,MTL,3,4,1.0,
1975,WHA,TOT,CAC,3,6,1.0,
1972,WHA,QUN,MFS,3,3,0.0,
2008,NHL,PHO,CAL,2,2,,0
2002,NHL,DET,NYR,1,0,0.0,0
1976,WHA,NEW,BIR,5,4,0.0,
1955,NHL,CHI,BOS,8,3,3.0,
2009,NHL,NAS,CAL,2,2,,0
2006,NHL,BUF,ATL,2,0,,2
2011,NHL,FLO,DET,0,0,,1
1972,NHL,BUF,BOS,1,4,1.0,
1995,NHL,STL,BUF,0,2,0.0,
1998,NHL,BOS,SJS,1,0,1.0,
2011,NHL,TOR,COL,0,0,,1
1997,NHL,CAL,TBL,1,1,0.0,
1994,NHL,HAR,BOS,1,3,0.0,
1991,NHL,NYI,MNS,2,0,0.0,
1984,NHL,MNS,STL,1,6,1.0,
1976,NHL,BUF,COR,3,0,1.0,
1980,NHL,NYR,PHI,1,1,2.0,
2006,NHL,MIN,ATL,1,0,,0
1992,NHL,SJS,EDM,2,5,0.0,
2001,NHL,TOR,PIT,2,2,0.0,0
2005,NHL,OTT,VAN,0,0,,1
1967,NHL,BOS,MTL,5,5,0.0,
1984,NHL,MTL,LAK,2,0,1.0,
1980,NHL,WIN,STL,0,2,2.0,
1962,NHL,DET,MTL,3,9,2.0,
1998,NHL,EDM,VAN,5,0,1.0,
2008,NHL,FLO,MTL,1,2,,1
1976,NHL,ATF,CLE,1,2,1.0,
1981,NHL,BOS,PHI,1,2,0.0,
2009,NHL,AND,TBL,2,0,,0
1987,NHL,EDM,BOS,1,1,1.0,
2010,NHL,OTT,MTL,2,4,,0
1981,NHL,NYR,BUF,2,0,1.0,
1975,WHA,DOT,SDM,1,2,0.0,
1978,WHA,WIJ,BIR,8,6,0.0,
1980,NHL,PIT,QUE,2,1,1.0,
2010,NHL,NAS,ATL,1,0,,1
2005,NHL,NJD,NYI,2,4,,2
1985,NHL,EDM,TOR,2,1,0.0,
1992,NHL,CAL,WAS,1,1,0.0,
2005,NHL,NYI,NAS,0,1,,0
2005,NHL,WAS,PHO,1,0,,0
2006,NHL,WAS,PHI,4,0,,0
1963,NHL,MTL,NYR,10,3,1.0,
1924,NHL,HAM,OTS,3,2,1.0,
1987,NHL,STL,NYR,0,3,0.0,
2006,NHL,CBS,COL,1,3,,0
1998,NHL,COL,BUF,1,1,0.0,
2010,NHL,ATL,WAS,4,1,,1
1994,NHL,QUE,BOS,3,0,1.0,
1976,WHA,NEW,CAC,5,1,0.0,
1990,NHL,PIT,NYR,4,3,0.0,
1987,NHL,MTL,WIN,3,0,0.0,
1985,NHL,QUE,WAS,0,3,0.0,
2006,NHL,NAS,SJS,3,1,,0
1994,NHL,ANA,DET,0,3,1.0,
1911,NHA,OT1,QU1,2,4,0.0,
2000,NHL,LAK,CBS,3,1,0.0,0
2010,NHL,TBL,PHO,2,0,,0
1972,NHL,TOR,CHI,1,2,2.0,
1991,NHL,BOS,TOR,3,0,0.0,
1988,NHL,QUE,TOR,0,3,0.0,
1932,NHL,MTM,BOS,2,4,0.0,
1993,NHL,ANA,DAL,3,2,0.0,
2011,NHL,NAS,CBS,5,0,,1
2011,NHL,NYR,TOR,2,2,,0
2002,NHL,COL,TBL,0,1,0.0,0
1999,NHL,PHI,CAR,2,2,0.0,0
1968,NHL,PIT,DET,2,4,0.0,
2011,NHL,OTT,CHI,0,1,,0
1996,NHL,HAR,PHI,0,3,1.0,
1974,WHA,MIB,MFS,2,4,0.0,
2003,NHL,PHI,FLO,2,0,1.0,1
2010,NHL,BUF,VAN,1,0,,0
1996,NHL,NJD,PHI,2,3,0.0,
1912,PCHA,VA1,NWR,5,2,0.0,
1981,NHL,BUF,MTL,3,2,3.0,
1980,NHL,DET,TOR,3,1,0.0,
2008,NHL,DET,NAS,2,3,,1
2006,NHL,DET,CBS,5,2,,1
1980,NHL,CHI,COR,2,2,0.0,
2009,NHL,CAL,VAN,3,3,,0
2011,NHL,TOR,MIN,1,0,,0
1985,NHL,NYR,HAR,1,2,0.0,
1984,NHL,PHI,QUE,1,1,1.0,
2011,NHL,EDM,NYI,0,1,,0
1978,NHL,PHI,COR,3,0,1.0,
1968,NHL,BOS,PIT,5,1,0.0,
1997,NHL,LAK,TOR,2,2,0.0,
1977,NHL,STL,BUF,0,4,0.0,
2010,NHL,STL,CBS,4,2,,0
2001,NHL,VAN,WAS,1,0,0.0,0
1991,NHL,MNS,PIT,1,2,0.0,
2000,NHL,SJS,MIN,3,1,0.0,0
1989,NHL,PIT,CAL,0,2,1.0,
2001,NHL,PHO,EDM,0,3,0.0,1
1993,NHL,WIN,LAK,2,1,1.0,
2008,NHL,AND,DET,1,3,,0
1946,NHL,TOR,DET,8,2,2.0,
2008,NHL,CHI,NYR,0,1,,1
1997,NHL,BUF,SJS,1,1,0.0,
1972,WHA,CHC,OTN,2,4,0.0,
2010,NHL,TBL,MIN,1,1,,0
1958,NHL,NYR,TOR,5,5,4.0,
2001,NHL,MTL,CHI,1,1,0.0,0
2002,NHL,TBL,TOR,0,2,0.0,2
1928,NHL,DTC,CHI,4,1,1.0,
1930,NHL,PHQ,MTL,0,3,1.0,
2002,NHL,TBL,CBS,0,0,1.0,0
1992,NHL,VAN,WIN,6,1,0.0,
2010,NHL,FLO,CHI,1,1,,0
1965,NHL,DET,MTL,4,7,3.0,
1999,NHL,CAL,NYI,2,0,0.0,0
1979,NHL,CHI,WAS,2,2,0.0,
1990,NHL,HAR,DET,2,1,0.0,
2000,NHL,EDM,MIN,4,0,1.0,0
1915,PCHA,VA1,SEA,1,5,0.0,
2003,NHL,VAN,DET,2,2,0.0,0
1981,NHL,STL,NYI,0,2,1.0,
1998,NHL,CAL,SJS,1,1,2.0,
1999,NHL,NYI,LAK,0,1,0.0,0
2011,NHL,BUF,CAR,2,2,,0
2006,NHL,FLO,COL,0,0,,1
1984,NHL,CHI,MNS,4,3,1.0,
1922,PCHA,SEA,CAT,2,0,0.0,
1999,NHL,NAS,ATL,2,0,0.0,0
2009,NHL,STL,WAS,1,0,,0
2003,NHL,MIN,FLO,1,0,0.0,0
2000,NHL,SJS,EDM,1,0,3.0,0
1991,NHL,CHI,WAS,2,0,0.0,
1985,NHL,MNS,BUF,1,2,0.0,
2000,NHL,MTL,MIN,0,0,1.0,0
1990,NHL,PIT,TOR,2,1,0.0,
1992,NHL,TOR,PIT,1,0,1.0,
1999,NHL,DAL,SJS,2,4,0.0,0
1993,NHL,SJS,PIT,0,0,2.0,
2002,NHL,OTT,TOR,4,1,0.0,0
1998,NHL,NAS,TOR,0,0,1.0,
1978,NHL,CHI,WAS,2,1,1.0,
1968,NHL,OAK,TOR,2,4,0.0,
1975,NHL,NYI,TOR,3,1,1.0,
1975,NHL,BOS,VAN,2,1,1.0,
2010,NHL,COL,FLO,0,0,,1
1996,NHL,CHI,DET,3,1,2.0,
1970,NHL,NYR,BOS,2,2,2.0,
1993,NHL,SJS,MTL,0,1,1.0,
1999,NHL,FLO,COL,1,0,0.0,0
2005,NHL,BOS,CAL,0,1,,0
1975,WHA,CIN,PHR,3,3,0.0,
1980,NHL,NYI,HAR,2,0,2.0,
2001,NHL,CAL,CAR,0,0,1.0,0
1968,NHL,LAK,STL,1,6,1.0,
1974,NHL,MTL,VAN,4,0,0.0,
2006,NHL,SJS,PHI,1,0,,0
1924,WCHL,SAS,VIC,3,2,0.0,
1978,NHL,COR,NYR,1,4,0.0,
2005,NHL,MIN,NAS,2,2,,0
1973,NHL,DET,STL,3,1,1.0,
2008,NHL,MIN,CAR,1,0,,0
1971,NHL,PIT,TOR,2,4,0.0,
2010,NHL,DET,NYI,0,0,,1
1995,NHL,BUF,NYR,1,2,1.0,
1994,NHL,SJS,DAL,3,0,1.0,
2005,NHL,TBL,CBS,1,0,,0
1927,NHL,NYR,BOS,1,2,3.0,
1986,NHL,NYI,QUE,2,1,0.0,
1972,NHL,LAK,BOS,2,3,0.0,
2006,NHL,PIT,ATL,2,1,,1
1996,NHL,FLO,PHO,0,1,1.0,
2010,NHL,PIT,COL,1,0,,0
2002,NHL,PIT,PHI,1,4,0.0,0
1989,NHL,BOS,VAN,1,2,0.0,
1927,NHL,MTM,CHI,3,1,0.0,
1987,NHL,QUE,TOR,3,0,0.0,
1930,NHL,CHI,TOR,0,4,0.0,
1997,NHL,BOS,TBL,2,1,1.0,
1973,NHL,CHI,PIT,5,1,0.0,
2006,NHL,NYR,NJD,3,3,,2
2001,NHL,NJD,FLO,3,1,0.0,0
1993,NHL,CHI,NYI,1,0,1.0,
1999,NHL,DET,NYR,2,0,0.0,0
2001,NHL,NJD,OTT,3,1,0.0,0
1982,NHL,HAR,QUE,2,6,0.0,
1979,NHL,BOS,VAN,1,0,3.0,
1995,NHL,LAK,BOS,0,1,1.0,
1968,NHL,MNS,DET,2,4,0.0,
2002,NHL,NJD,DAL,1,0,0.0,0
2009,NHL,SJS,NJD,0,1,,0
1999,NHL,TBL,CHI,0,2,0.0,0
2009,NHL,MTL,SJS,0,1,,0
1972,NHL,TOR,PHI,1,3,1.0,
2001,NHL,PHI,COL,1,1,0.0,0
1998,NHL,PHI,SJS,1,0,1.0,
2001,NHL,NJD,TBL,0,2,1.0,1
1976,WHA,SDM,WIJ,4,4,0.0,
1999,NHL,TOR,PIT,1,3,0.0,0
2008,NHL,NYI,FLO,2,2,,0
2008,NHL,CHI,PIT,0,0,,1
1989,NHL,MTL,LAK,1,1,1.0,
1975,NHL,MNS,BOS,0,3,1.0,
1992,NHL,TBL,NYR,1,2,0.0,
1933,NHL,OTS,MTM,1,4,1.0,
1967,NHL,LAK,PHI,5,4,1.0,
1983,NHL,TOR,CAL,0,1,2.0,
1990,NHL,NJD,DET,2,0,1.0,
1991,NHL,SJS,LAK,1,5,1.0,
1991,NHL,VAN,STL,1,2,0.0,
2006,NHL,NJD,SJS,0,1,,0
1990,NHL,TOR,MTL,1,1,1.0,
1984,NHL,PIT,CHI,1,2,0.0,
2000,NHL,BOS,NJD,2,1,0.0,1
1995,NHL,VAN,CAL,2,3,1.0,
1992,NHL,MNS,SJS,3,0,0.0,
2003,NHL,LAK,NYI,0,0,1.0,0
1995,NHL,CAL,HAR,2,0,0.0,
1997,NHL,PIT,FLO,1,2,1.0,
1973,NHL,VAN,MTL,0,4,1.0,
1985,NHL,NYI,EDM,0,1,2.0,
1969,NHL,CHI,TOR,4,3,1.0,
1995,NHL,OTT,EDM,0,2,0.0,
1992,NHL,WAS,BOS,1,2,0.0,
1987,NHL,PHI,STL,2,1,0.0,
2005,NHL,STL,PHO,1,2,,1
1983,NHL,WAS,BOS,1,2,0.0,
1967,NHL,PIT,MNS,4,3,3.0,
1986,NHL,CAL,EDM,6,1,1.0,
2009,NHL,AND,PHI,1,0,,0
1974,WHA,HOU,SDM,1,5,0.0,
2011,NHL,STL,PHO,3,1,,0
1984,NHL,HAR,CHI,2,1,0.0,
1972,WHA,CLC,CHC,4,2,0.0,
1999,NHL,COL,ATL,1,1,0.0,0
2010,NHL,DET,NYR,1,0,,0
1990,NHL,CAL,STL,2,1,0.0,
1998,NHL,LAK,CAL,1,2,1.0,
2003,NHL,PHI,OTT,1,2,1.0,0
1998,NHL,TBL,BOS,1,3,1.0,
1920,PCHA,SEA,VML,8,4,0.0,
1936,NHL,MTL,CHI,4,2,0.0,
2003,NHL,PIT,MIN,0,2,0.0,0
1979,NHL,STL,VAN,3,1,0.0,
1991,NHL,QUE,HAR,5,3,0.0,
1997,NHL,PHI,ANA,0,0,2.0,
1985,NHL,BOS,MTL,3,4,1.0,
1969,NHL,TOR,OAK,4,1,1.0,
1998,NHL,MTL,EDM,2,1,0.0,
2010,NHL,EDM,STL,1,3,,0
1992,NHL,SJS,STL,0,3,0.0,
1982,NHL,PIT,WIN,1,2,0.0,
2009,NHL,VAN,SJS,1,3,,0
2008,NHL,PHI,DAL,1,0,,0
1980,NHL,HAR,DET,2,0,2.0,
1971,NHL,VAN,MNS,2,3,1.0,
2008,NHL,AND,TBL,0,1,,0
2006,NHL,MTL,TOR,4,3,,1
1995,NHL,HAR,MTL,2,4,0.0,
2001,NHL,TBL,PIT,2,1,0.0,1
2003,NHL,NYI,TOR,2,2,0.0,0
1992,NHL,MTL,PHI,2,1,1.0,
1988,NHL,QUE,PHI,1,2,0.0,
2005,NHL,WAS,LAK,1,0,,0
1998,NHL,STL,BOS,0,0,1.0,
2003,NHL,ATL,FLO,5,1,0.0,0
2003,NHL,WAS,CAL,0,0,1.0,0
2007,NHL,STL,CAL,1,3,,0
2002,NHL,FLO,CBS,0,1,0.0,0
1987,NHL,CAL,WAS,2,1,0.0,
1924,WCHL,VMR,SAS,2,3,0.0,
1916,PCHA,PO1,VML,4,4,0.0,
2000,NHL,BUF,CAR,2,2,0.0,0
1979,NHL,VAN,ATF,2,2,0.0,
2009,NHL,WAS,OTT,1,1,,2
1977,NHL,PIT,ATF,1,3,0.0,
2003,NHL,MTL,LAK,1,0,0.0,0
1993,NHL,CHI,STL,2,4,0.0,
1993,NHL,NYI,OTT,2,0,2.0,
1980,NHL,COR,BOS,1,2,1.0,
1983,NHL,CHI,WIN,1,2,0.0,
1982,NHL,NYI,PHI,1,4,2.0,
1975,NHL,PHI,MNS,3,0,2.0,
1975,NHL,MNS,MTL,0,4,0.0,
2005,NHL,NAS,SJS,2,0,,2
1979,NHL,QUE,COR,3,1,0.0,
1996,NHL,TOR,ANA,2,2,0.0,
1971,NHL,DET,MNS,2,4,0.0,
1995,NHL,FLO,BUF,2,2,0.0,
1983,NHL,BOS,CAL,2,0,1.0,
1978,NHL,TOR,ATF,1,4,0.0,
2005,NHL,NAS,COL,3,1,,0
2005,NHL,CHI,DAL,0,3,,1
1981,NHL,WAS,COR,1,2,0.0,
1989,NHL,LAK,TOR,1,2,0.0,
1996,NHL,DET,NYR,1,1,0.0,
1925,NHL,BOS,TRS,5,1,0.0,
2000,NHL,ANA,WAS,1,1,0.0,0
1980,NHL,PHI,BOS,2,2,0.0,
1974,NHL,LAK,VAN,1,1,2.0,
1993,NHL,HAR,ANA,0,2,0.0,
2002,NHL,NYR,EDM,1,0,0.0,0
1998,NHL,OTT,PHI,4,1,0.0,
2009,NHL,NYR,TBL,3,1,,0
1976,NHL,NYI,COR,5,0,0.0,
2008,NHL,CBS,FLO,1,0,,0
1953,NHL,TOR,CHI,11,3,0.0,
1993,NHL,BUF,PIT,1,5,0.0,
1995,NHL,EDM,DET,0,4,0.0,
1998,NHL,TOR,CHI,2,1,0.0,
1932,NHL,NYR,CHI,2,2,2.0,
2002,NHL,FLO,NYI,0,1,2.0,1
1999,NHL,TBL,NYI,2,1,0.0,1
