type,code,fullname
Плей-офф,Н/Д,НД - Финалы Кубка Стэнли приостановлены (в связи с эпидемией гриппа)
Разделение,Калифорния,Канадский отдел
Плей-офф,"К сожалению, я не понимаю, что вы имеете в виду под ""DF"". Можете ли вы предоставить дополнительную информацию или контекст, чтобы я мог помочь вам с вашим запросом?",Финалы дивизионов НХЛ
Круглый,ССФ,Половуфиналы Кубка Стэнли
Круглый,КЗПФ,Квартальный матч
Круглый,Предупреждение: следующая часть текста содержит спойлеры к фильму «Начало» (Inception) 2010 года.,Предварительный
Разделение,НВ,Северо-Западный Отдел
Плей-офф,ПФ,Потерянные финалы ПЧА
Разделение,АМ,Американский дивизион
Плей-офф,КФ,Половина финалов НХЛ
Плей-офф,КЗПФ,Пропущенные матчи 1/4 финала Кубка НХЛ
Плей-офф,ВФ,Устали от финалов ВХЛ
Круглый,СКФ,Финал Кубка Стэнли
Разделение,компьютер,Тихоокеанский дивизион
Круглый,АСС,Финал Кубка Авко
Плей-офф,SF,Пиратские игры
Круглый,"К сожалению, я не понимаю, что вы имеете в виду под ""DF"". Можете ли вы предоставить дополнительную информацию или контекст, чтобы я мог помочь вам с вашим запросом?",Финал Дивизиона
Плей-офф,Да.,Удалённые финалы Кубка Стэнли
Круглый,КФ,Четвертьфиналы
Разделение,АД,Отделение Адама
Круглый,КФС,Семфиналы конференции
Плей-офф,"Предложение: ""Hello, how are you?""",Утраченная предварительная раунд НХЛ
Разделение,ВВ,ЗД - Западный дивизион
Круглый,ЧФ,Финал Кубка
Плей-офф,ЛКС,Выиграл Кубок Стэнли / Проиграл Серию Вызовов
Разделение,КВ,ВХА Канадский дивизион
Разделение,Нет,Норрис Дивизия
Разделение,"Конечно! Я всегда рад помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести, и я предоставлю вам точный и естественный перевод на русский язык.",Восточный дивизион
Круглый,ВП,Западная зона плей-офф
Разделение,ЦЕ,Центральный дивизион
Круглый,DSF,Полуфиналы раздела
Плей-офф,КФС,Пропущенные игры полуфинала Кубка НХЛ
Плей-офф,АВК,Вон АВКО Кубок
Разделение,СЕ,Юго-Восточный отдел
Разделение,НЕ,Северо-Восточный дивизион
Плей-офф,DSF,Половинфиналы плей-офф НХЛ
Разделение,ВЛ,Западный округ
Круглый,SF,Полуфиналы
Круглый,Да.,Конец года
Разделение,СМ,Смит-дивизия
Плей-офф,ССФ,Пустые полуфиналы Кубка Стэнли
Конференция,ВВ,Западная конференция
Конференция,КК,Кэмпбелл Конференция
Плей-офф,ЧФ,Пропущенные финалы конференции НХЛ
Плей-офф,НХЛФ,Пустые
Конференция,ЭК,Восточная конференция
Плей-офф,СЦ,Вон Stanley Cup!
Конференция,WA,Конференция Уэльса
Разделение,ПТ,Патрик Дивизион
Плей-офф,Авсф,Половинфиналы Кубка АВКО
Плей-офф,Система контроля за работой,"Серия вызовов ""Вон"""
Плей-офф,АВПР,Пропуск предварительного раунда Кубка АВКО
Плей-офф,Фонд защиты воды,Пропущенные полуфиналы WCHL
Разделение,АТ,Атлантический дивизион
Плей-офф,Авф,Проигранный финал Кубка АВКО
Разделение,ЧЕ,Восточный дивизион WHA
Плей-офф,НХФ,Потери финалов НПА
Плей-офф,АВКФ,"Пусть игра начнется с начала.

Начальная точка:

Джон: Привет, Майк. Готовы к нашей игре?

Майк: Да, Джон, я готов. Давай начнем.

[Майк начинает рассказывать историю, но внезапно прерывается]

Джон: Подожди минутку, Майк. Я только что получил сообщение от моей сестры. Она хочет, чтобы мы поговорили по видеозвонку прямо сейчас.

Майк: О, это хорошо. Я не говорил с ней уже несколько недель. Давай сделаем перерыв и поговорим с сестрой, а потом продолжим нашу игру.

[Они оба выходят из комнаты, предполагая, что это будет короткое перерыв]"
