name,id,award,year,lgid,note
Пат Лафон,lafonpa01,Патрик,1996,NHL,
Марио Лемьо,lemiema01,Патрик,1999,NHL,
Джон Б. Солленбергер,,Патрик,1970,NHL,потерянный
Джерри Йорк,,Патрик,2009,NHL,
Брюс Макналл,,Патрик,1992,NHL,
Буд Поле,poilebu01,Патрик,1988,NHL,
Уолтер Буш,bushwa01h,Патрик,1972,NHL,
Том Фицджеральд,,Патрик,1977,NHL,
Тери Сэкчу,sawchte01,Патрик,1970,NHL,потерянный
Артур Вартц,wirtzar01h,Патрик,1984,NHL,
Нил Бротен,brotene01,Патрик,1997,NHL,
Брайан Муллен,mullebr01,Патрик,1994,NHL,
Лу Ламорелло,lamorlo01c,Патрик,1991,NHL,
Уилли О'Ри,oreewi01,Патрик,2002,NHL,
Сайрмор Х. Кнокс III,,Патрик,1996,NHL,потерянный
Лэн Цегельский,,Патрик,1989,NHL,
Дэйв Эндрюс,,Патрик,2009,NHL,
Шарль Л. Кроват,,Патрик,1973,NHL,потерянный
Мюррей Мурдок,murdomu01,Патрик,1973,NHL,
Эмиль Франциск,francem01,Патрик,1981,NHL,
Дэвид Поил,,Патрик,2000,NHL,
Ред Беренсон,berenre01,Патрик,2005,NHL,
Джек Адамс,adamsja01,Патрик,1965,NHL,
Кит Аллен,allenke01,Патрик,1987,NHL,
Дэн Келли,kellyda01,Патрик,1988,NHL,
Хоби Бейкер,bakerho01h,Патрик,1986,NHL,потерянный
Джордж Лидер,,Патрик,1975,NHL,
Лу Нэнн,nannelo01,Патрик,1988,NHL,
Джим Девелло,,Патрик,2008,NHL,
Джим Хендри,hendyji01h,Патрик,1969,NHL,потерянный
Алекс Дельвеккио,delveal01,Патрик,1973,NHL,
Эрб Брукс,brookhe01c,Патрик,2001,NHL,
Джефф Сёр,,Патрик,2010,NHL,
Рей Мирон,,Патрик,2003,NHL,
Кони Виланд,weilaco01,Патрик,1971,NHL,
Аркт Росс,rossar01,Патрик,1983,NHL,потерянный
Джон Бюкек,bucykjo01,Патрик,1976,NHL,
Марк Джонсон,johnsma02,Патрик,2010,NHL,
Макс Макнаб,mcnabma01,Патрик,1997,NHL,
Филип Хаусли,houslph01,Патрик,2007,NHL,
Джек Паркер,,Патрик,2009,NHL,
Команда США по хоккею на Олимпийских играх 1960 года,,Патрик,2001,NHL,
Джек Баттерфилд,butteja01h,Патрик,1984,NHL,
Джон Циглер,ziegljo01h,Патрик,1983,NHL,
Глен Сонмор,sonmogl01,Патрик,2005,NHL,
Гил Штайн,,Патрик,1992,NHL,
Реймонд Бёрк,bourqra01,Патрик,2002,NHL,
Эдди Шор,shoreed01,Патрик,1969,NHL,
Скоти Боумен,bowmasc01c,Патрик,2000,NHL,
