playerid,coachid,hofid,firstname,lastname,namenote,namegiven,namenick,height,weight,shootcatch,legendsid,ihdbid,hrefid,firstnhl,lastnhl,firstwha,lastwha,pos,birthyear,birthmon,birthday,birthcountry,birthstate,birthcity,deathyear,deathmon,deathday,deathcountry,deathstate,deathcity
litzeed01,,,Эд,Литценбергер,,Эдвард Ц. Дж.,Лиц,73,174,R,13403,3169,litzeed01,1952,1963,,,R,1932,7,15,Канада,СК,Ньордорф,2010,11,1,Канада,Да,Торонто
donnepa01,,,Пэт,Доннелли,,Патрик,,70,185,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",,34018,donnepa01,,,1975,1975,С/Р,1953,2,24,США,МИ,Детройт,,,,,,
fogarbr01,,,Брайан,Фогарті,,Брайан,,74,206,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",10487,1725,fogarbr01,1989,1994,,,Да,1969,6,11,Канада,Качество,Монреаль,2002,3,6,США,СЦ,Мёртл-Бич
cumaty01,,,Тейлор,Пятница,,,,74,180,,,,cumaty01,2011,2011,,,Да,1990,1,19,,,,,,,,,
satanmi01,,,Мировир,Сатан,,Мировир,,75,191,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",14871,16367,satanmi01,1995,2009,,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",1974,10,22,Словакия,,Тополецаны,,,,,,
mojzito01,,,Томас,Можнис,,,,73,192,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",20163,55401,mojzito01,2005,2008,,,Да,1982,5,2,Чехия,,Колин,,,,,,
rutheji01,,,Джим,Рутерфорд,,Джеймс Эйрл,,68,168,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",18684,4713,rutheji01,1970,1982,,,"Доброго дня! Я готов допомогти вам з перекладу. Надішліть мені текст, який потрібно перекласти, і я надам вам точний та якісний переклад.",1949,2,17,Канада,Да,Беетон,,,,,,
wilsoal01,,,Аллан,Уильямс,,Аллан,,,,,,,,,,,,,,,,,,,,,,,,
cowanje01,,,Джефф,Ковань,,Джеффри,,74,205,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",15199,19376,cowanje01,1999,2007,,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",1976,9,27,Канада,Да,Скарабей,,,,,,
meekemi01,,,Майк,Меер,,Майкл Томас,,71,195,R,13696,8500,meekemi01,1978,1978,,,R,1958,2,23,Канада,Да,Кингстон,,,,,,
walzwe01,,,Вэс,Пеший поход,,Уэсли,,70,189,R,11718,5632,walzwe01,1989,2007,,,В,1970,5,15,Канада,АВ,Калгари,,,,,,
,,dunnji01h,Джимми,Дунн,,Джеймс А.,,,,,B196602,,,,,,,,1898,3,24,Канада,МБ,Ванкувер,1979,1,7,,,
fitzpro01,,,Росс,Фитцпатрик,,Росс Эдвард,,72,195,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",12600,1693,fitzpro01,1982,1985,,,В,1960,10,7,Канада,БК,Пентиктон,,,,,,
chornma01,,,Марк,Чорней,,Марк П.,,72,200,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",12264,6452,chornma01,1980,1983,,,Да,1959,11,8,Канада,Да,Свидгер,,,,,,
kellyre01,kellyre01c,kellyre01h,красный,Келли,,Леонард Патрик,,71,180,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",P196903,2680,kellyre01,1947,1966,,,В,1927,7,9,Канада,Да,Симко,,,,,,
hopkila01,,,Ларри,Хопкинс,,Лэрри Харольд,,73,215,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",12990,7547,hopkila01,1977,1982,,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",1954,3,17,Канада,Да,Ошава,,,,,,
shaunsc01,,,Скотт,Шаунесси,,Скотт,,76,220,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",14288,4902,shaunsc01,1986,1988,,,Да,1964,1,22,США,Р,Ньютон-по-Тейсе,,,,,,
brunemu01,,,Грязь,Брунето,,Модер Фернанд,,71,185,R,12131,632,brunemu01,1935,1945,,,R,1914,11,28,Канада,МБ,св. Бонифаций,1982,4,15,США,Техас,Хьюстон
anderjo02,,,Иона́с,Андерссон,,,,74,202,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",19302,45120,anderjo02,2001,2010,,,R,1981,2,24,Швеция,,Стокгольм,,,,,,
randake01,randake01c,,Кен,Рэналл,,Кеннет Фервюин,Перецкид,70,180,R,14074,25815,randake01,1917,1926,,,R,1888,12,14,Канада,Да,Кингстон,1947,6,17,Канада,Да,Торонто
ledinwa01,,,Вальт,Ледингем,,Уолтер Норман,,71,180,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",13347,6641,ledinwa01,1972,1976,,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",1950,10,26,Канада,СК,Мидале,,,,,,
dipenjo01,,,Джо,ДиПента,,,,74,199,R,16720,35562,dipenjo01,2002,2007,,,Да,1979,2,25,Канада,Да,Бари,,,,,,
rocheer01,,,Эрни,Роше,,Эрнест Чарльз,,73,170,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",14157,12083,rocheer01,1950,1950,,,Да,1930,2,4,Канада,Качество,Монреаль,,,,,,
,,bakerho01h,Хобей,Пекарь,,Хобарт Эмори Хар,,,,,P194502,,bakerho01,,,,,Да,1892,1,15,США,ПА,Виссахикон,1918,12,21,Франция,,Экскурсии
mcmulda01,,,Дэйл,Макмэллен,,Дэйл,,70,175,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",,7907,mcmulda01,,,1977,1977,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",1955,3,13,Канада,БК,Проктор,,,,,,
mcculfr01,,,Фред,Маккуллок,,Фредерик,,,,,,,,,,,,"Доброго дня! Я готов допомогти вам з перекладу. Надішліть мені текст, який потрібно перекласти, і я надам вам точний та якісний переклад.",,,,,,,,,,,,
petroro02,,,Рональд,Петровицкий,,,,71,190,R,10515,28802,petroro02,2000,2006,,,R,1977,2,15,Словакия,,Зилина,,,,,,
tsygude01,,,Денис,Цыгуров,,Денис,,75,198,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",14893,10162,tsygude01,1993,1995,,,Да,1971,2,26,Россия,,Челябинск,,,,,,
mccafbe01,,,Берт,Макффирей,,Альберт Джон,Макс,70,180,R,13589,21450,mccafbe01,1924,1930,,,Да,1893,4,12,Канада,Да,Чесли,1955,4,15,Канада,Да,Торонто
bashkan01,,,Андрей,Башкиров,,Андрей,,72,215,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",16492,10738,bashkan01,1998,2000,,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",1970,6,22,Россия,,Шелехов,,,,,,
gaulije01,,,Жан-Марк,Гаулен,,Жан Марк,,70,180,R,12692,8203,gaulije01,1982,1985,,,R,1962,3,3,Германия,,Балве,,,,,,
shinsri01,,,Рик,Шинске,,Ричард Чарльз,,71,165,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",14307,6414,shinsri01,1976,1978,,,R,1955,5,31,Канада,СК,Вейберн,,,,,,
giroucl01,,,Клод,Гиро,,,,71,180,R,21945,89489,giroucl01,2007,2011,,,R,1988,1,12,Канада,Да,Херст,,,,,,
craigjo01,,,Джон,Крейгхед,,Джон,,72,195,R,11580,7029,craigjo01,1996,1996,,,R,1971,11,23,США,Ва,Ричмонд,,,,,,
korotse01,,,Сергей,Коротов,,,,,,,,,korotse01,,,1977,1977,Да,,,,,,,,,,,,
mcmahmi01,,,Майк,Макмаон,,Майкл Кларенс (старший),,68,215,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",13673,14187,mcmahmi01,1942,1945,,,Да,1915,2,1,Канада,Да,Броквилл,1974,12,3,Канада,Да,Форт-Эри
aliuak01,,,Аким,Алью,,,,76,225,,,,aliuak01,2011,2011,,,R,1989,4,24,,,,,,,,,
careyji01,,,Джим,Кэри,,Джеймс,,74,205,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",18230,13060,careyji01,1994,1998,,,"Доброго дня! Я готов допомогти вам з перекладу. Надішліть мені текст, який потрібно перекласти, і я надам вам точний та якісний переклад.",1974,5,31,США,МЭ,Дорчестер,,,,,,
rydmabl01,,,Блейн,Ридман,,Блейн,,74,195,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",,10337,rydmabl01,,,1972,1973,Да,1949,12,16,Канада,СК,Вейберн,,,,,,
malonjo01,,malonjo01h,Джо,Малоне,,Маурис Джозеф,Фантом,70,150,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",P195006,3353,malonjo01,1917,1923,,,В,1890,2,28,Канада,Качество,Кебец,1969,5,15,,,
dudleri01,dudleri01c,,Рик,Дудли,,Ричард Кларенс,Дуды,72,190,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",12498,1461,dudleri01,1972,1980,1975,1978,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",1949,1,31,Канада,Да,Торонто,,,,,,
,,mcgeefr01h,Франк,МакГи,,,,66,150,,P194506,,mcgeefr01,,,,,Д/Ц,1882,11,4,Канада,Да,Оттава,1916,9,16,,,
branian01,,,Анди,Браниген,,Андрюш Джон,,71,190,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",12088,11540,branian01,1940,1941,,,Да,1922,4,11,Канада,МБ,Ванкувер,1995,4,13,,,
dyeba01,,dyeba01h,Бебе,Пигмент,,Целек Генри,,68,150,R,P197001,23813,dyeba01,1919,1930,,,R,1898,5,13,Канада,Да,Хамильтон,1962,1,3,США,Ял,Чикаго
loganda01,,,Дэйв,Логан,,Дэвид Джордж,,70,190,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",13408,3182,loganda01,1975,1980,,,Да,1954,7,2,Канада,Качество,Монреаль,,,,,,
brydsgl01,,,Гленн,Брыдсон,,Гленн,Улига,70,170,R,12134,639,brydsgl01,1930,1937,,,R,1910,11,7,Канада,Да,Свонси,1993,12,8,Канада,Да,Роксвуд
