statusid,status
1,Завершено
2,Дисквалифицированные
3,Несчастный случай
4,Столкновение
6,Коробка передач
7,Передача
8,Сцепление
9,Гидравлика
10,Электротехническое оборудование
11,+1 лап
12,+2 лапы
13,+3 лапы
14,+4 лапы
15,+5 Лапы
16,+6 лап
17,+7 лапы
18,+8 лапы
19,+9 лап
20,Отскочила.
22,Приостановление действия
23,Тормозные системы
25,Перегрева
27,Шины
28,Сиденье водителя
29,Прокол
30,Водитель
31,Выбыли в отставку
32,Давление топлива
33,Переднее крыло
34,Давление воды
35,Заправка топливом
36,Колесо
37,Дроссельная заслонка
38,Рулевое управление
39,Технические вопросы
40,Электроника
42,Пожар теплозащитных экранов
43,Выхлоп
44,Утечка нефти
45,+11 Лапы
46,Колесный обод
47,Утечка воды
48,Топливный насос
49,Железнодорожный стержень
50,+17 Лапы
51,Давление масла
53,+13 лапы
54,Снято
55,+12 лапы
56,Пожар двигателя
58,+26 лап
59,Прокол шины
60,Закончилось топливо
61,Колесный орех
62,Не классифицированы
63,Пневматические
64,Обработка
65,Заднее крыло
66,Огонь
67,Колесный подшипник
69,Топливная система
70,Нефтяная линия
71,Топливная установка
72,Контроль за запуском
73,Раненые
74,Топливо
76,Вибрации
77,107% Правило
78,Безопасность
79,Водитель
80,3.2 Зажигание
81,Не отвечает требованиям
82,Увечье
83,Шасси
84,Аккумуляторная батарея
85,Стационарная
86,Полуслойный
87,Кранкшафт
88,+10 лапы
89,Проблемы безопасности
90,Не возобновляется
91,Переносчик
92,Пониженный вес
93,Ремень безопасности
94,Нефтяной насос
95,Утечка топлива
96,Исключено
97,Не проходил предквалификационный отбор
98,Инжекторное впрыскивание
99,Распределитель
100,Водитель нездоров
101,Турбо
102,Косяк CV
103,Водонасыщенный насос
104,несчастный случай со смертельным исходом
105,Свечи зажигания
106,Топливная труба
107,Повреждение глаз
108,Нефтяная труба
109,5.1.1 Мост
110,Водяная труба
111,+14 лап
112,+15 лапы
113,+25 лап
114,+18 Лапы
115,+22 лапы
116,+16 лапы
117,+24 лапы
118,+29 лап
119,+23 лапы
120,+21 лап
121,Магнито
122,+44 лапы
123,+30 лап
124,+19 лап
125,+46 лапы
127,+20 лап
128,+42 лапы
129,Пропуск зажигания в двигателе
130,Ущерб от столкновения
131,Мощность
133,+49 лап
134,+38 лапы
135,Тормозной трубопровод
136,Сиденье
