driverid,driverref,number,code,forename,surname,dob,nationality,url
3,Росберг,6.0,ROS,Нико,Росберг,1985-06-27,Немецкий,http://en.wikipedia.org/wiki/Nico_Rosberg
5,Коровален,,KOV,Хейкки,Ковалайнен,1981-10-19,Финский,http://en.wikipedia.org/wiki/Heikki_Kovalaineen
6,Накаджима,,NAK,Казуки,Накаджима,1985-01-11,Японский,http://en.wikipedia.org/wiki/Kazuki_Nakajima
12,Пикет_jr,,PIQ,Нельсон,Пикет-младший.,1985-07-25,Бразилия,"http://en.wikipedia.org/wiki/Nelson_Piquet,_Jr."
13,массаa,19.0,МАС,Фелипе,Масса,1981-04-25,Бразилия,http://en.wikipedia.org/wiki/Felipe_Massa
17,Веббер,,ВЭБ,Марк,Веббер,1976-08-27,Австралия,http://en.wikipedia.org/wiki/mark_Webber
20,Ветерель,5.0,VET,Себастьян,Веттель,1987-07-03,Немецкий,http://en.wikipedia.org/wiki/Sebastian_Vettel
22,Баррихелло,,БАР,Рубены,Баррихелло,1972-05-23,Бразилия,http://en.wikipedia.org/wiki/Rubens_Barrichello
26,скорость,,ОИН,Скотт,Скорость,1983-01-24,Американцы,http://en.wikipedia.org/wiki/Scott_Speed
27,Альберы,,ALB,Кристиджан,Альберы,1979-04-16,Датч,http://en.wikipedia.org/wiki/Cristijan_Albers
28,markus_winkelhock,,ВИН,Маркус,Винкельхок,1980-06-13,Немецкий,http://en.wikipedia.org/wiki/Markus_Winkelhock
31,Монтойя,,МОН,Хуан,Пабло Монтойя,1975-09-20,Колумбия,http://en.wikipedia.org/wiki/Juan_Pablo_Montoya
32,Клиен,,KLI,Кристиан,Клиен,1983-02-07,Австрия,http://en.wikipedia.org/wiki/christian_Klien
37,Роза,,ДЛР,Педро,&lt; &lt; Роза &gt; &gt;,1971-02-24,Испанский,http://en.wikipedia.org/wiki/Pedro_de_la_Rosa
49,Френтен,,,Хайнц-Харальд,Френцен,1967-05-18,Немецкий,http://en.wikipedia.org/wiki/Heinz-Harald_Frentzen
