coachid,year,tmid,lgid,stint,won,lost,post_wins,post_losses
brownhu01,1976,ATL,NBA,1,31.0,51.0,0.0,0.0
wanzebo01,1956,ROC,NBA,1,31.0,41.0,0.0,0.0
brownla01,1978,DEN,NBA,1,28.0,25.0,0.0,0.0
fitchbi01,1976,CLE,NBA,1,43.0,39.0,1.0,2.0
laydefr01,1986,UTA,NBA,1,44.0,38.0,2.0,3.0
littlge01,1994,DEN,NBA,2,3.0,13.0,0.0,0.0
castejo01,1959,MNL,NBA,1,11.0,25.0,0.0,0.0
skilesc01,2008,MIL,NBA,1,34.0,48.0,0.0,0.0
juliaal01,1949,BOS,NBA,1,22.0,46.0,0.0,0.0
rosegl01,1947,OKD,PBLA,1,2.0,3.0,,
saundfl01,1997,MIN,NBA,1,45.0,37.0,2.0,3.0
cheekma01,2006,PHI,NBA,1,35.0,47.0,0.0,0.0
mclenjo01,1961,CLP,ABL1,1,26.0,25.0,,
calipjo01,1997,NJN,NBA,1,43.0,39.0,0.0,3.0
corbity01,2011,UTA,NBA,1,36.0,30.0,0.0,4.0
rambiku01,1998,LAL,NBA,3,24.0,13.0,3.0,5.0
moedo01,1984,DEN,NBA,1,52.0,30.0,8.0,7.0
inmanst01,1971,POR,NBA,2,6.0,20.0,0.0,0.0
cartwbi01,2002,CHI,NBA,1,30.0,52.0,0.0,0.0
saundfl01,2001,MIN,NBA,1,50.0,32.0,0.0,3.0
dehnehe01,1947,CHT,PBLA,1,3.0,3.0,,
carlepj01,2007,SEA,NBA,1,20.0,62.0,0.0,0.0
carrojo02,2003,BOS,NBA,2,14.0,22.0,0.0,4.0
rileypa01,1986,LAL,NBA,1,65.0,17.0,15.0,3.0
eganjo01,1973,HOU,NBA,1,32.0,50.0,0.0,0.0
hillbo01,1990,IND,NBA,2,32.0,25.0,2.0,3.0
auerbre01,1965,BOS,NBA,1,54.0,26.0,11.0,6.0
braunca01,1960,NYK,NBA,1,21.0,58.0,0.0,0.0
schaufr01,1963,LAL,NBA,1,42.0,38.0,2.0,3.0
biancal01,1969,WSA,ABA,1,44.0,40.0,3.0,4.0
hannual01,1972,DNR,ABA,1,47.0,37.0,1.0,4.0
wilkele01,1982,SEA,NBA,1,48.0,34.0,0.0,2.0
eurasge01,1950,KCH,NPBL,2,,,,
mitchsa01,2006,TOR,NBA,1,47.0,35.0,2.0,4.0
ramsaja01,1975,BUF,NBA,1,46.0,36.0,4.0,5.0
costela01,1975,MIL,NBA,1,38.0,44.0,1.0,2.0
fitchbi01,1989,NJN,NBA,1,17.0,65.0,0.0,0.0
lucasjo01,1992,SAS,NBA,3,39.0,22.0,5.0,5.0
karlge01,1984,CLE,NBA,1,36.0,46.0,1.0,3.0
irvinge01,1984,IND,NBA,1,22.0,60.0,0.0,0.0
scottby01,2007,NOH,NBA,1,56.0,26.0,7.0,5.0
cunnibi01,1980,PHI,NBA,1,62.0,20.0,9.0,7.0
fitzsco01,1989,PHO,NBA,1,54.0,28.0,9.0,7.0
cowenda01,1998,CHH,NBA,1,4.0,11.0,0.0,0.0
harride01,1982,HOU,NBA,1,14.0,68.0,0.0,0.0
brownhe01,1977,DET,NBA,1,9.0,15.0,0.0,0.0
brownla01,2002,PHI,NBA,1,48.0,34.0,6.0,6.0
woodsmi01,2004,ATL,NBA,1,13.0,69.0,0.0,0.0
