id,draftyear,draftround,draftselection,draftoverall,tmid,firstname,lastname,suffixname,playerid,draftfrom,lgid
66,1967,0,0,0,KEN,Earl,Beecham,,,Midwestern University,ABA
141,1968,0,0,0,DNR,Julius,Keye,,keyeju01,Alcorn A&M,ABA
155,1968,0,0,0,DLC,Gene,Jones,,,Missouri,ABA
177,1968,0,0,0,INA,Don,May,,maydo01,Dayton,ABA
403,1969,0,0,0,NYA,Ed,Siudet,,,Holy Cross,ABA
447,1970,0,0,0,DNR,Mike,Price,,pricemi01,Illinois,ABA
600,1971,0,0,0,DNR,Marv,Roberts,,roberma01,Utah State,ABA
731,1971,0,0,0,PTC,Levi,Wyatt,,,Alcorn A&M,ABA
774,1972,0,0,0,CAR,Henry,Bibby,,bibbyhe01,UCLA,ABA
959,1972,0,0,0,VIR,Mike,Barr,,barrmi01,Duquesne,ABA
1076,1973,2,0,0,UTS,Alvan,Adams,,adamsal01,Oklahoma,ABA
1310,1974,5,0,0,UTS,Steve,Brooks,,,Arkansas State,ABA
1340,1974,8,0,0,SAA,Hercle,Ivy,,,Iowa State,ABA
1456,1947,0,0,0,BOS,George,Felt,,,Northwestern,NBA
1663,1949,0,0,0,NYK,Bill,Litchfield,,,Emporia State,NBA
1733,1950,2,0,0,ROC,George,Stanich,,,UCLA,NBA
1761,1950,5,0,0,BLB,Norm,Mager,,magerno01,CCNY,NBA
1829,1950,10,0,0,TRI,Keith,Bloom,,,Wyoming,NBA
1935,1952,0,0,0,FTW,Bob,Clifton,,,Iowa,NBA
2005,1952,0,0,0,SYR,Ken,McBride,,mcbrike01,Maryland State,NBA
2269,1955,0,0,0,MNL,Bill,Warden,,,North Central (IL),NBA
2359,1956,0,0,0,MNL,Robert,Hodgson,,,Wichita,NBA
2616,1959,2,1,7,DET,Tom,Robitaille,,,Rice,NBA
2799,1961,1,7,7,PHW,Tom,Meschery,,meschto01,St. Mary's (CA),NBA
3081,1963,12,2,79,STL,Hugh,Evans,,,North Carolina A&T,NBA
3185,1964,15,1,98,BAL,Sandy,Williams,,,St. Francis (PA),NBA
3207,1965,3,1,18,SFW,Keith,Erickson,,erickke01,UCLA,NBA
3213,1965,3,7,24,CIN,Jon,McGlocklin,,mcglojo01,Indiana,NBA
3239,1965,6,6,50,STL,John,Rambo,,,Long Beach College,NBA
3300,1966,1,2,2,DET,Dave,Bing,,bingda01,Syracuse,NBA
3337,1966,4,9,39,PHI,Ken,Wilburn,,wilbuke01,Central State (OH),NBA
